start	end	type	var
394040	394041	IS_AST_PARENT	
394040	394042	IS_AST_PARENT	
394039	394040	IS_AST_PARENT	
394038	394039	IS_AST_PARENT	
394044	394045	IS_AST_PARENT	
394046	394047	IS_AST_PARENT	
394049	394050	IS_AST_PARENT	
394048	394049	IS_AST_PARENT	
394053	394054	IS_AST_PARENT	
394055	394056	IS_AST_PARENT	
394055	394057	IS_AST_PARENT	
394053	394055	IS_AST_PARENT	
394052	394053	IS_AST_PARENT	
394051	394052	IS_AST_PARENT	
394048	394051	IS_AST_PARENT	
394046	394048	IS_AST_PARENT	
394044	394046	IS_AST_PARENT	
394043	394044	IS_AST_PARENT	
394038	394043	IS_AST_PARENT	
394060	394061	IS_AST_PARENT	
394060	394062	IS_AST_PARENT	
394059	394060	IS_AST_PARENT	
394058	394059	IS_AST_PARENT	
394066	394067	IS_AST_PARENT	
394065	394066	IS_AST_PARENT	
394070	394071	IS_AST_PARENT	
394070	394072	IS_AST_PARENT	
394069	394070	IS_AST_PARENT	
394068	394069	IS_AST_PARENT	
394065	394068	IS_AST_PARENT	
394064	394065	IS_AST_PARENT	
394063	394064	IS_AST_PARENT	
394058	394063	IS_AST_PARENT	
394038	394058	IS_AST_PARENT	
394073	394074	IS_AST_PARENT	
394038	394073	IS_AST_PARENT	
394075	394076	IS_AST_PARENT	
394038	394075	IS_AST_PARENT	
394079	394080	IS_AST_PARENT	
394078	394079	IS_AST_PARENT	
394082	394083	IS_AST_PARENT	
394081	394082	IS_AST_PARENT	
394084	394085	IS_AST_PARENT	
394081	394084	IS_AST_PARENT	
394087	394088	IS_AST_PARENT	
394087	394089	IS_AST_PARENT	
394086	394087	IS_AST_PARENT	
394081	394086	IS_AST_PARENT	
394078	394081	IS_AST_PARENT	
394077	394078	IS_AST_PARENT	
394038	394077	IS_AST_PARENT	
394092	394093	IS_AST_PARENT	
394094	394095	IS_AST_PARENT	
394094	394096	IS_AST_PARENT	
394092	394094	IS_AST_PARENT	
394091	394092	IS_AST_PARENT	
394091	394097	IS_AST_PARENT	
394090	394091	IS_AST_PARENT	
394038	394090	IS_AST_PARENT	
394100	394101	IS_AST_PARENT	
394100	394102	IS_AST_PARENT	
394100	394103	IS_AST_PARENT	
394104	394105	IS_AST_PARENT	
394104	394106	IS_AST_PARENT	
394100	394104	IS_AST_PARENT	
394099	394100	IS_AST_PARENT	
394098	394099	IS_AST_PARENT	
394109	394110	IS_AST_PARENT	
394108	394109	IS_AST_PARENT	
394112	394113	IS_AST_PARENT	
394111	394112	IS_AST_PARENT	
394114	394115	IS_AST_PARENT	
394111	394114	IS_AST_PARENT	
394119	394120	IS_AST_PARENT	
394118	394119	IS_AST_PARENT	
394122	394123	IS_AST_PARENT	
394121	394122	IS_AST_PARENT	
394118	394121	IS_AST_PARENT	
394117	394118	IS_AST_PARENT	
394124	394125	IS_AST_PARENT	
394124	394126	IS_AST_PARENT	
394117	394124	IS_AST_PARENT	
394116	394117	IS_AST_PARENT	
394111	394116	IS_AST_PARENT	
394108	394111	IS_AST_PARENT	
394107	394108	IS_AST_PARENT	
394098	394107	IS_AST_PARENT	
394129	394130	IS_AST_PARENT	
394131	394132	IS_AST_PARENT	
394131	394133	IS_AST_PARENT	
394129	394131	IS_AST_PARENT	
394128	394129	IS_AST_PARENT	
394128	394134	IS_AST_PARENT	
394127	394128	IS_AST_PARENT	
394098	394127	IS_AST_PARENT	
394137	394138	IS_AST_PARENT	
394136	394137	IS_AST_PARENT	
394140	394141	IS_AST_PARENT	
394139	394140	IS_AST_PARENT	
394136	394139	IS_AST_PARENT	
394135	394136	IS_AST_PARENT	
394098	394135	IS_AST_PARENT	
394144	394145	IS_AST_PARENT	
394143	394144	IS_AST_PARENT	
394147	394148	IS_AST_PARENT	
394146	394147	IS_AST_PARENT	
394143	394146	IS_AST_PARENT	
394142	394143	IS_AST_PARENT	
394098	394142	IS_AST_PARENT	
394038	394098	IS_AST_PARENT	
394037	394038	IS_AST_PARENT	
394037	394149	IS_AST_PARENT	
394037	394150	IS_AST_PARENT	
394037	394151	IS_AST_PARENT	
394152	394039	FLOWS_TO	
394039	394043	FLOWS_TO	
394043	394059	FLOWS_TO	
394059	394064	FLOWS_TO	
394059	394073	FLOWS_TO	
394064	394073	FLOWS_TO	
394073	394075	FLOWS_TO	
394075	394077	FLOWS_TO	
394077	394090	FLOWS_TO	
394090	394099	FLOWS_TO	
394099	394107	FLOWS_TO	
394107	394127	FLOWS_TO	
394127	394135	FLOWS_TO	
394135	394142	FLOWS_TO	
394142	394153	FLOWS_TO	
394043	394154	USE	
394044	394154	USE	
394107	394155	USE	
394116	394155	USE	
394059	394156	USE	
394039	394157	DEF	
394040	394157	DEF	
394043	394157	DEF	
394044	394157	DEF	
394059	394157	USE	
394077	394157	USE	
394082	394157	USE	
394090	394157	USE	
394092	394157	USE	
394107	394157	USE	
394114	394157	USE	
394122	394157	USE	
394135	394157	USE	
394140	394157	USE	
394142	394157	USE	
394147	394157	USE	
394127	394158	DEF	
394128	394158	DEF	
394099	394159	DEF	
394100	394159	DEF	
394104	394159	DEF	
394107	394159	USE	
394112	394159	USE	
394127	394159	USE	
394129	394159	USE	
394090	394160	DEF	
394091	394160	DEF	
394043	394059	REACHES	data
394043	394077	REACHES	data
394043	394090	REACHES	data
394043	394107	REACHES	data
394043	394135	REACHES	data
394043	394142	REACHES	data
394099	394107	REACHES	dest
394099	394127	REACHES	dest
394152	394039	CONTROLS	
394152	394043	CONTROLS	
394152	394059	CONTROLS	
394152	394073	CONTROLS	
394152	394075	CONTROLS	
394152	394077	CONTROLS	
394152	394090	CONTROLS	
394152	394099	CONTROLS	
