command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	410369	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-200-c/testcases/000/240/089/CWE415_Double_Free__malloc_free_char_21.c								
ANR	410370	DeclStmt									
ANR	410371	Decl							int	int	badStatic
ANR	410372	Function	badSink	27:0:776:928							
ANR	410373	FunctionDef	badSink (char * data)		410372	0					
ANR	410374	CompoundStatement		28:0:810:928	410372	0					
ANR	410375	IfStatement	if ( badStatic )		410372	0					
ANR	410376	Condition	badStatic	29:7:820:828	410372	0	True				
ANR	410377	Identifier	badStatic		410372	0					
ANR	410378	CompoundStatement		3:4:25:25	410372	1					
ANR	410379	ExpressionStatement	free ( data )	32:8:908:918	410372	0	True				
ANR	410380	CallExpression	free ( data )		410372	0					
ANR	410381	Callee	free		410372	0					
ANR	410382	Identifier	free		410372	0					
ANR	410383	ArgumentList	data		410372	1					
ANR	410384	Argument	data		410372	0					
ANR	410385	Identifier	data		410372	0					
ANR	410386	ReturnType	static void		410372	1					
ANR	410387	Identifier	badSink		410372	2					
ANR	410388	ParameterList	char * data		410372	3					
ANR	410389	Parameter	char * data	27:20:796:806	410372	0	True				
ANR	410390	ParameterType	char *		410372	0					
ANR	410391	Identifier	data		410372	1					
ANR	410392	CFGEntryNode	ENTRY		410372		True				
ANR	410393	CFGExitNode	EXIT		410372		True				
ANR	410394	Symbol	data		410372						
ANR	410395	Symbol	badStatic		410372						
ANR	410396	Function	CWE415_Double_Free__malloc_free_char_21_bad	36:0:933:1284							
ANR	410397	FunctionDef	CWE415_Double_Free__malloc_free_char_21_bad ()		410396	0					
ANR	410398	CompoundStatement		37:0:985:1284	410396	0					
ANR	410399	IdentifierDeclStatement	char * data ;	38:4:992:1003	410396	0	True				
ANR	410400	IdentifierDecl	* data		410396	0					
ANR	410401	IdentifierDeclType	char *		410396	0					
ANR	410402	Identifier	data		410396	1					
ANR	410403	ExpressionStatement	data = NULL	40:4:1037:1048	410396	1	True				
ANR	410404	AssignmentExpression	data = NULL		410396	0		=			
ANR	410405	Identifier	data		410396	0					
ANR	410406	Identifier	NULL		410396	1					
ANR	410407	ExpressionStatement	data = ( char * ) malloc ( 100 * sizeof ( char ) )	41:4:1055:1094	410396	2	True				
ANR	410408	AssignmentExpression	data = ( char * ) malloc ( 100 * sizeof ( char ) )		410396	0		=			
ANR	410409	Identifier	data		410396	0					
ANR	410410	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		410396	1					
ANR	410411	CastTarget	char *		410396	0					
ANR	410412	CallExpression	malloc ( 100 * sizeof ( char ) )		410396	1					
ANR	410413	Callee	malloc		410396	0					
ANR	410414	Identifier	malloc		410396	0					
ANR	410415	ArgumentList	100 * sizeof ( char )		410396	1					
ANR	410416	Argument	100 * sizeof ( char )		410396	0					
ANR	410417	MultiplicativeExpression	100 * sizeof ( char )		410396	0		*			
ANR	410418	PrimaryExpression	100		410396	0					
ANR	410419	SizeofExpression	sizeof ( char )		410396	1					
ANR	410420	Sizeof	sizeof		410396	0					
ANR	410421	SizeofOperand	char		410396	1					
ANR	410422	IfStatement	if ( data == NULL )		410396	3					
ANR	410423	Condition	data == NULL	42:8:1105:1116	410396	0	True				
ANR	410424	EqualityExpression	data == NULL		410396	0		==			
ANR	410425	Identifier	data		410396	0					
ANR	410426	Identifier	NULL		410396	1					
ANR	410427	CompoundStatement		6:22:133:133	410396	1					
ANR	410428	ExpressionStatement	exit ( - 1 )	42:23:1120:1128	410396	0	True				
ANR	410429	CallExpression	exit ( - 1 )		410396	0					
ANR	410430	Callee	exit		410396	0					
ANR	410431	Identifier	exit		410396	0					
ANR	410432	ArgumentList	- 1		410396	1					
ANR	410433	Argument	- 1		410396	0					
ANR	410434	UnaryOperationExpression	- 1		410396	0					
ANR	410435	UnaryOperator	-		410396	0					
ANR	410436	PrimaryExpression	1		410396	1					
ANR	410437	ExpressionStatement	free ( data )	44:4:1220:1230	410396	4	True				
ANR	410438	CallExpression	free ( data )		410396	0					
ANR	410439	Callee	free		410396	0					
ANR	410440	Identifier	free		410396	0					
ANR	410441	ArgumentList	data		410396	1					
ANR	410442	Argument	data		410396	0					
ANR	410443	Identifier	data		410396	0					
ANR	410444	ExpressionStatement	badStatic = 1	45:4:1237:1250	410396	5	True				
ANR	410445	AssignmentExpression	badStatic = 1		410396	0		=			
ANR	410446	Identifier	badStatic		410396	0					
ANR	410447	PrimaryExpression	1		410396	1					
ANR	410448	ExpressionStatement	badSink ( data )	46:4:1268:1281	410396	6	True				
