command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	413282	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-200-c/testcases/000/240/099/CWE415_Double_Free__malloc_free_char_61a.c								
ANR	413283	DeclStmt									
ANR	413284	Decl							char	char * ( char * data )	CWE415_Double_Free__malloc_free_char_61b_badSource
ANR	413285	Function	CWE415_Double_Free__malloc_free_char_61_bad	27:0:747:1009							
ANR	413286	FunctionDef	CWE415_Double_Free__malloc_free_char_61_bad ()		413285	0					
ANR	413287	CompoundStatement		28:0:799:1009	413285	0					
ANR	413288	IdentifierDeclStatement	char * data ;	29:4:806:817	413285	0	True				
ANR	413289	IdentifierDecl	* data		413285	0					
ANR	413290	IdentifierDeclType	char *		413285	0					
ANR	413291	Identifier	data		413285	1					
ANR	413292	ExpressionStatement	data = NULL	31:4:851:862	413285	1	True				
ANR	413293	AssignmentExpression	data = NULL		413285	0		=			
ANR	413294	Identifier	data		413285	0					
ANR	413295	Identifier	NULL		413285	1					
ANR	413296	ExpressionStatement	data = CWE415_Double_Free__malloc_free_char_61b_badSource ( data )	32:4:869:932	413285	2	True				
ANR	413297	AssignmentExpression	data = CWE415_Double_Free__malloc_free_char_61b_badSource ( data )		413285	0		=			
ANR	413298	Identifier	data		413285	0					
ANR	413299	CallExpression	CWE415_Double_Free__malloc_free_char_61b_badSource ( data )		413285	1					
ANR	413300	Callee	CWE415_Double_Free__malloc_free_char_61b_badSource		413285	0					
ANR	413301	Identifier	CWE415_Double_Free__malloc_free_char_61b_badSource		413285	0					
ANR	413302	ArgumentList	data		413285	1					
ANR	413303	Argument	data		413285	0					
ANR	413304	Identifier	data		413285	0					
ANR	413305	ExpressionStatement	free ( data )	34:4:996:1006	413285	3	True				
ANR	413306	CallExpression	free ( data )		413285	0					
ANR	413307	Callee	free		413285	0					
ANR	413308	Identifier	free		413285	0					
ANR	413309	ArgumentList	data		413285	1					
ANR	413310	Argument	data		413285	0					
ANR	413311	Identifier	data		413285	0					
ANR	413312	ReturnType	void		413285	1					
ANR	413313	Identifier	CWE415_Double_Free__malloc_free_char_61_bad		413285	2					
ANR	413314	ParameterList			413285	3					
ANR	413315	CFGEntryNode	ENTRY		413285		True				
ANR	413316	CFGExitNode	EXIT		413285		True				
ANR	413317	Symbol	NULL		413285						
ANR	413318	Symbol	data		413285						
ANR	413319	Symbol	CWE415_Double_Free__malloc_free_char_61b_badSource		413285						
ANR	413320	DeclStmt									
ANR	413321	Decl							char	char * ( char * data )	CWE415_Double_Free__malloc_free_char_61b_goodG2BSource
ANR	413322	Function	goodG2B	44:0:1189:1426							
ANR	413323	FunctionDef	goodG2B ()		413322	0					
ANR	413324	CompoundStatement		45:0:1212:1426	413322	0					
ANR	413325	IdentifierDeclStatement	char * data ;	46:4:1219:1230	413322	0	True				
ANR	413326	IdentifierDecl	* data		413322	0					
ANR	413327	IdentifierDeclType	char *		413322	0					
ANR	413328	Identifier	data		413322	1					
ANR	413329	ExpressionStatement	data = NULL	48:4:1264:1275	413322	1	True				
ANR	413330	AssignmentExpression	data = NULL		413322	0		=			
ANR	413331	Identifier	data		413322	0					
ANR	413332	Identifier	NULL		413322	1					
ANR	413333	ExpressionStatement	data = CWE415_Double_Free__malloc_free_char_61b_goodG2BSource ( data )	49:4:1282:1349	413322	2	True				
ANR	413334	AssignmentExpression	data = CWE415_Double_Free__malloc_free_char_61b_goodG2BSource ( data )		413322	0		=			
ANR	413335	Identifier	data		413322	0					
ANR	413336	CallExpression	CWE415_Double_Free__malloc_free_char_61b_goodG2BSource ( data )		413322	1					
ANR	413337	Callee	CWE415_Double_Free__malloc_free_char_61b_goodG2BSource		413322	0					
ANR	413338	Identifier	CWE415_Double_Free__malloc_free_char_61b_goodG2BSource		413322	0					
ANR	413339	ArgumentList	data		413322	1					
ANR	413340	Argument	data		413322	0					
ANR	413341	Identifier	data		413322	0					
ANR	413342	ExpressionStatement	free ( data )	51:4:1413:1423	413322	3	True				
ANR	413343	CallExpression	free ( data )		413322	0					
ANR	413344	Callee	free		413322	0					
ANR	413345	Identifier	free		413322	0					
ANR	413346	ArgumentList	data		413322	1					
ANR	413347	Argument	data		413322	0					
ANR	413348	Identifier	data		413322	0					
ANR	413349	ReturnType	static void		413322	1					
ANR	413350	Identifier	goodG2B		413322	2					
ANR	413351	ParameterList			413322	3					
ANR	413352	CFGEntryNode	ENTRY		413322		True				
ANR	413353	CFGExitNode	EXIT		413322		True				
ANR	413354	Symbol	NULL		413322						
ANR	413355	Symbol	data		413322						
ANR	413356	Symbol	CWE415_Double_Free__malloc_free_char_61b_goodG2BSource		413322						
ANR	413357	DeclStmt									
ANR	413358	Decl							char	char * ( char * data )	CWE415_Double_Free__malloc_free_char_61b_goodB2GSource
ANR	413359	Function	goodB2G	57:0:1562:1855							
ANR	413360	FunctionDef	goodB2G ()		413359	0					
ANR	413361	CompoundStatement		58:0:1585:1855	413359	0					
ANR	413362	IdentifierDeclStatement	char * data ;	59:4:1592:1603	413359	0	True				
ANR	413363	IdentifierDecl	* data		413359	0					
ANR	413364	IdentifierDeclType	char *		413359	0					
ANR	413365	Identifier	data		413359	1					
ANR	413366	ExpressionStatement	data = NULL	61:4:1637:1648	413359	1	True				
ANR	413367	AssignmentExpression	data = NULL		413359	0		=			
ANR	413368	Identifier	data		413359	0					
ANR	413369	Identifier	NULL		413359	1					
ANR	413370	ExpressionStatement	data = CWE415_Double_Free__malloc_free_char_61b_goodB2GSource ( data )	62:4:1655:1722	413359	2	True				
ANR	413371	AssignmentExpression	data = CWE415_Double_Free__malloc_free_char_61b_goodB2GSource ( data )		413359	0		=			
ANR	413372	Identifier	data		413359	0					
ANR	413373	CallExpression	CWE415_Double_Free__malloc_free_char_61b_goodB2GSource ( data )		413359	1					
ANR	413374	Callee	CWE415_Double_Free__malloc_free_char_61b_goodB2GSource		413359	0					
ANR	413375	Identifier	CWE415_Double_Free__malloc_free_char_61b_goodB2GSource		413359	0					
ANR	413376	ArgumentList	data		413359	1					
ANR	413377	Argument	data		413359	0					
ANR	413378	Identifier	data		413359	0					
ANR	413379	ExpressionStatement		65:4:1800:1800	413359	3	True				
ANR	413380	ReturnType	static void		413359	1					
ANR	413381	Identifier	goodB2G		413359	2					
ANR	413382	ParameterList			413359	3					
ANR	413383	CFGEntryNode	ENTRY		413359		True				
ANR	413384	CFGExitNode	EXIT		413359		True				
ANR	413385	Symbol	CWE415_Double_Free__malloc_free_char_61b_goodB2GSource		413359						
ANR	413386	Symbol	NULL		413359						
ANR	413387	Symbol	data		413359						
ANR	413388	Function	CWE415_Double_Free__malloc_free_char_61_good	68:0:1860:1948							
ANR	413389	FunctionDef	CWE415_Double_Free__malloc_free_char_61_good ()		413388	0					
ANR	413390	CompoundStatement		69:0:1913:1948	413388	0					
ANR	413391	ExpressionStatement	goodG2B ( )	70:4:1920:1929	413388	0	True				
ANR	413392	CallExpression	goodG2B ( )		413388	0					
ANR	413393	Callee	goodG2B		413388	0					
ANR	413394	Identifier	goodG2B		413388	0					
ANR	413395	ArgumentList			413388	1					
ANR	413396	ExpressionStatement	goodB2G ( )	71:4:1936:1945	413388	1	True				
ANR	413397	CallExpression	goodB2G ( )		413388	0					
ANR	413398	Callee	goodB2G		413388	0					
ANR	413399	Identifier	goodB2G		413388	0					
ANR	413400	ArgumentList			413388	1					
ANR	413401	ReturnType	void		413388	1					
ANR	413402	Identifier	CWE415_Double_Free__malloc_free_char_61_good		413388	2					
ANR	413403	ParameterList			413388	3					
ANR	413404	CFGEntryNode	ENTRY		413388		True				
ANR	413405	CFGExitNode	EXIT		413388		True				
ANR	413406	Function	main	83:0:2295:2738							
ANR	413407	FunctionDef	"main (int argc , char * argv [ ])"		413406	0					
ANR	413408	CompoundStatement		84:0:2330:2738	413406	0					
ANR	413409	ExpressionStatement	srand ( ( unsigned ) time ( NULL ) )	86:4:2364:2393	413406	0	True				
ANR	413410	CallExpression	srand ( ( unsigned ) time ( NULL ) )		413406	0					
ANR	413411	Callee	srand		413406	0					
ANR	413412	Identifier	srand		413406	0					
ANR	413413	ArgumentList	( unsigned ) time ( NULL )		413406	1					
ANR	413414	Argument	( unsigned ) time ( NULL )		413406	0					
ANR	413415	CastExpression	( unsigned ) time ( NULL )		413406	0					
ANR	413416	CastTarget	unsigned		413406	0					
ANR	413417	CallExpression	time ( NULL )		413406	1					
ANR	413418	Callee	time		413406	0					
