start	end	type	var
413483	413484	IS_AST_PARENT	
413485	413486	IS_AST_PARENT	
413488	413489	IS_AST_PARENT	
413487	413488	IS_AST_PARENT	
413492	413493	IS_AST_PARENT	
413494	413495	IS_AST_PARENT	
413494	413496	IS_AST_PARENT	
413492	413494	IS_AST_PARENT	
413491	413492	IS_AST_PARENT	
413490	413491	IS_AST_PARENT	
413487	413490	IS_AST_PARENT	
413485	413487	IS_AST_PARENT	
413483	413485	IS_AST_PARENT	
413482	413483	IS_AST_PARENT	
413481	413482	IS_AST_PARENT	
413499	413500	IS_AST_PARENT	
413499	413501	IS_AST_PARENT	
413498	413499	IS_AST_PARENT	
413497	413498	IS_AST_PARENT	
413505	413506	IS_AST_PARENT	
413504	413505	IS_AST_PARENT	
413509	413510	IS_AST_PARENT	
413509	413511	IS_AST_PARENT	
413508	413509	IS_AST_PARENT	
413507	413508	IS_AST_PARENT	
413504	413507	IS_AST_PARENT	
413503	413504	IS_AST_PARENT	
413502	413503	IS_AST_PARENT	
413497	413502	IS_AST_PARENT	
413481	413497	IS_AST_PARENT	
413514	413515	IS_AST_PARENT	
413513	413514	IS_AST_PARENT	
413517	413518	IS_AST_PARENT	
413516	413517	IS_AST_PARENT	
413513	413516	IS_AST_PARENT	
413512	413513	IS_AST_PARENT	
413481	413512	IS_AST_PARENT	
413519	413520	IS_AST_PARENT	
413481	413519	IS_AST_PARENT	
413480	413481	IS_AST_PARENT	
413480	413521	IS_AST_PARENT	
413480	413522	IS_AST_PARENT	
413524	413525	IS_AST_PARENT	
413524	413526	IS_AST_PARENT	
413523	413524	IS_AST_PARENT	
413480	413523	IS_AST_PARENT	
413527	413524	FLOWS_TO	
413524	413482	FLOWS_TO	
413482	413498	FLOWS_TO	
413498	413503	FLOWS_TO	
413498	413512	FLOWS_TO	
413503	413512	FLOWS_TO	
413512	413519	FLOWS_TO	
413519	413528	FLOWS_TO	
413482	413529	USE	
413483	413529	USE	
413498	413530	USE	
413524	413531	DEF	
413482	413531	DEF	
413483	413531	DEF	
413498	413531	USE	
413512	413531	USE	
413517	413531	USE	
413519	413531	USE	
413482	413498	REACHES	data
413482	413512	REACHES	data
413482	413519	REACHES	data
413527	413524	CONTROLS	
413527	413482	CONTROLS	
413527	413498	CONTROLS	
413527	413512	CONTROLS	
413527	413519	CONTROLS	
413498	413503	CONTROLS	
413527	413527	DOM	
413498	413503	DOM	
413527	413524	DOM	
413482	413498	DOM	
413512	413519	DOM	
413498	413512	DOM	
413524	413482	DOM	
413519	413528	DOM	
413524	413527	POST_DOM	
413512	413503	POST_DOM	
413482	413524	POST_DOM	
413512	413498	POST_DOM	
413528	413519	POST_DOM	
413519	413512	POST_DOM	
413498	413482	POST_DOM	
413528	413528	POST_DOM	
413479	413480	IS_FUNCTION_OF_AST	
413479	413527	IS_FUNCTION_OF_CFG	
413478	413479	IS_FILE_OF	
413536	413537	IS_AST_PARENT	
413538	413539	IS_AST_PARENT	
413541	413542	IS_AST_PARENT	
413540	413541	IS_AST_PARENT	
413545	413546	IS_AST_PARENT	
413547	413548	IS_AST_PARENT	
413547	413549	IS_AST_PARENT	
413545	413547	IS_AST_PARENT	
413544	413545	IS_AST_PARENT	
413543	413544	IS_AST_PARENT	
413540	413543	IS_AST_PARENT	
413538	413540	IS_AST_PARENT	
413536	413538	IS_AST_PARENT	
413535	413536	IS_AST_PARENT	
413534	413535	IS_AST_PARENT	
413552	413553	IS_AST_PARENT	
413552	413554	IS_AST_PARENT	
