command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	413478	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-200-c/testcases/000/240/099/CWE415_Double_Free__malloc_free_char_61b.c								
ANR	413479	Function	CWE415_Double_Free__malloc_free_char_61b_badSource	24:0:640:915							
ANR	413480	FunctionDef	CWE415_Double_Free__malloc_free_char_61b_badSource (char * data)		413479	0					
ANR	413481	CompoundStatement		25:0:712:915	413479	0					
ANR	413482	ExpressionStatement	data = ( char * ) malloc ( 100 * sizeof ( char ) )	26:4:719:758	413479	0	True				
ANR	413483	AssignmentExpression	data = ( char * ) malloc ( 100 * sizeof ( char ) )		413479	0		=			
ANR	413484	Identifier	data		413479	0					
ANR	413485	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		413479	1					
ANR	413486	CastTarget	char *		413479	0					
ANR	413487	CallExpression	malloc ( 100 * sizeof ( char ) )		413479	1					
ANR	413488	Callee	malloc		413479	0					
ANR	413489	Identifier	malloc		413479	0					
ANR	413490	ArgumentList	100 * sizeof ( char )		413479	1					
ANR	413491	Argument	100 * sizeof ( char )		413479	0					
ANR	413492	MultiplicativeExpression	100 * sizeof ( char )		413479	0		*			
ANR	413493	PrimaryExpression	100		413479	0					
ANR	413494	SizeofExpression	sizeof ( char )		413479	1					
ANR	413495	Sizeof	sizeof		413479	0					
ANR	413496	SizeofOperand	char		413479	1					
ANR	413497	IfStatement	if ( data == NULL )		413479	1					
ANR	413498	Condition	data == NULL	27:8:769:780	413479	0	True				
ANR	413499	EqualityExpression	data == NULL		413479	0		==			
ANR	413500	Identifier	data		413479	0					
ANR	413501	Identifier	NULL		413479	1					
ANR	413502	CompoundStatement		3:22:70:70	413479	1					
ANR	413503	ExpressionStatement	exit ( - 1 )	27:23:784:792	413479	0	True				
ANR	413504	CallExpression	exit ( - 1 )		413479	0					
ANR	413505	Callee	exit		413479	0					
ANR	413506	Identifier	exit		413479	0					
ANR	413507	ArgumentList	- 1		413479	1					
ANR	413508	Argument	- 1		413479	0					
ANR	413509	UnaryOperationExpression	- 1		413479	0					
ANR	413510	UnaryOperator	-		413479	0					
ANR	413511	PrimaryExpression	1		413479	1					
ANR	413512	ExpressionStatement	free ( data )	29:4:884:894	413479	2	True				
ANR	413513	CallExpression	free ( data )		413479	0					
