start	end	type	var
419978	419979	IS_AST_PARENT	
419978	419980	IS_AST_PARENT	
419977	419978	IS_AST_PARENT	
419976	419977	IS_AST_PARENT	
419982	419983	IS_AST_PARENT	
419982	419984	IS_AST_PARENT	
419981	419982	IS_AST_PARENT	
419976	419981	IS_AST_PARENT	
419986	419987	IS_AST_PARENT	
419985	419986	IS_AST_PARENT	
419988	419989	IS_AST_PARENT	
419991	419992	IS_AST_PARENT	
419993	419994	IS_AST_PARENT	
419996	419997	IS_AST_PARENT	
419995	419996	IS_AST_PARENT	
420000	420001	IS_AST_PARENT	
420002	420003	IS_AST_PARENT	
420002	420004	IS_AST_PARENT	
420000	420002	IS_AST_PARENT	
419999	420000	IS_AST_PARENT	
419998	419999	IS_AST_PARENT	
419995	419998	IS_AST_PARENT	
419993	419995	IS_AST_PARENT	
419991	419993	IS_AST_PARENT	
419990	419991	IS_AST_PARENT	
419988	419990	IS_AST_PARENT	
420007	420008	IS_AST_PARENT	
420007	420009	IS_AST_PARENT	
420006	420007	IS_AST_PARENT	
420005	420006	IS_AST_PARENT	
420013	420014	IS_AST_PARENT	
420012	420013	IS_AST_PARENT	
420017	420018	IS_AST_PARENT	
420017	420019	IS_AST_PARENT	
420016	420017	IS_AST_PARENT	
420015	420016	IS_AST_PARENT	
420012	420015	IS_AST_PARENT	
420011	420012	IS_AST_PARENT	
420010	420011	IS_AST_PARENT	
420005	420010	IS_AST_PARENT	
419988	420005	IS_AST_PARENT	
420022	420023	IS_AST_PARENT	
420021	420022	IS_AST_PARENT	
420025	420026	IS_AST_PARENT	
420024	420025	IS_AST_PARENT	
420021	420024	IS_AST_PARENT	
420020	420021	IS_AST_PARENT	
419988	420020	IS_AST_PARENT	
419988	420027	IS_AST_PARENT	
420028	420029	IS_AST_PARENT	
419988	420028	IS_AST_PARENT	
420032	420033	IS_AST_PARENT	
420031	420032	IS_AST_PARENT	
420035	420036	IS_AST_PARENT	
420034	420035	IS_AST_PARENT	
420031	420034	IS_AST_PARENT	
420030	420031	IS_AST_PARENT	
419988	420030	IS_AST_PARENT	
419988	420037	IS_AST_PARENT	
419985	419988	IS_AST_PARENT	
419976	419985	IS_AST_PARENT	
420039	420040	IS_AST_PARENT	
420038	420039	IS_AST_PARENT	
420041	420042	IS_AST_PARENT	
420045	420046	IS_AST_PARENT	
420044	420045	IS_AST_PARENT	
420048	420049	IS_AST_PARENT	
420047	420048	IS_AST_PARENT	
420044	420047	IS_AST_PARENT	
420043	420044	IS_AST_PARENT	
420041	420043	IS_AST_PARENT	
420041	420050	IS_AST_PARENT	
420051	420052	IS_AST_PARENT	
420041	420051	IS_AST_PARENT	
420055	420056	IS_AST_PARENT	
420054	420055	IS_AST_PARENT	
420058	420059	IS_AST_PARENT	
420057	420058	IS_AST_PARENT	
420054	420057	IS_AST_PARENT	
420053	420054	IS_AST_PARENT	
420041	420053	IS_AST_PARENT	
420041	420060	IS_AST_PARENT	
420038	420041	IS_AST_PARENT	
419976	420038	IS_AST_PARENT	
419975	419976	IS_AST_PARENT	
419975	420061	IS_AST_PARENT	
419975	420062	IS_AST_PARENT	
419975	420063	IS_AST_PARENT	
420064	419977	FLOWS_TO	
419977	419981	FLOWS_TO	
419981	419986	FLOWS_TO	
419986	419989	FLOWS_TO	
419986	420028	FLOWS_TO	
419989	419990	FLOWS_TO	
419990	420006	FLOWS_TO	
420006	420011	FLOWS_TO	
420006	420020	FLOWS_TO	
420011	420020	FLOWS_TO	
420020	420027	FLOWS_TO	
420027	420039	FLOWS_TO	
420028	420030	FLOWS_TO	
420030	420037	FLOWS_TO	
420037	420039	FLOWS_TO	
420039	420051	FLOWS_TO	
