command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	424045	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-200-c/testcases/000/240/130/CWE415_Double_Free__malloc_free_int64_t_45.c								
ANR	424046	DeclStmt									
ANR	424047	Decl							int64_t	int64_t *	CWE415_Double_Free__malloc_free_int64_t_45_badData
ANR	424048	DeclStmt									
ANR	424049	Decl							int64_t	int64_t *	CWE415_Double_Free__malloc_free_int64_t_45_goodG2BData
ANR	424050	DeclStmt									
ANR	424051	Decl							int64_t	int64_t *	CWE415_Double_Free__malloc_free_int64_t_45_goodB2GData
ANR	424052	Function	badSink	28:0:885:1059							
ANR	424053	FunctionDef	badSink ()		424052	0					
ANR	424054	CompoundStatement		29:0:908:1059	424052	0					
ANR	424055	IdentifierDeclStatement	int64_t * data = CWE415_Double_Free__malloc_free_int64_t_45_badData ;	30:4:915:982	424052	0	True				
ANR	424056	IdentifierDecl	* data = CWE415_Double_Free__malloc_free_int64_t_45_badData		424052	0					
ANR	424057	IdentifierDeclType	int64_t *		424052	0					
ANR	424058	Identifier	data		424052	1					
ANR	424059	AssignmentExpression	* data = CWE415_Double_Free__malloc_free_int64_t_45_badData		424052	2		=			
ANR	424060	Identifier	CWE415_Double_Free__malloc_free_int64_t_45_badData		424052	0					
ANR	424061	Identifier	CWE415_Double_Free__malloc_free_int64_t_45_badData		424052	1					
ANR	424062	ExpressionStatement	free ( data )	32:4:1046:1056	424052	1	True				
ANR	424063	CallExpression	free ( data )		424052	0					
ANR	424064	Callee	free		424052	0					
ANR	424065	Identifier	free		424052	0					
ANR	424066	ArgumentList	data		424052	1					
ANR	424067	Argument	data		424052	0					
ANR	424068	Identifier	data		424052	0					
ANR	424069	ReturnType	static void		424052	1					
ANR	424070	Identifier	badSink		424052	2					
ANR	424071	ParameterList			424052	3					
ANR	424072	CFGEntryNode	ENTRY		424052		True				
ANR	424073	CFGExitNode	EXIT		424052		True				
ANR	424074	Symbol	data		424052						
ANR	424075	Symbol	CWE415_Double_Free__malloc_free_int64_t_45_badData		424052						
ANR	424076	Function	CWE415_Double_Free__malloc_free_int64_t_45_bad	35:0:1064:1456							
ANR	424077	FunctionDef	CWE415_Double_Free__malloc_free_int64_t_45_bad ()		424076	0					
ANR	424078	CompoundStatement		36:0:1119:1456	424076	0					
ANR	424079	IdentifierDeclStatement	int64_t * data ;	37:4:1126:1140	424076	0	True				
ANR	424080	IdentifierDecl	* data		424076	0					
ANR	424081	IdentifierDeclType	int64_t *		424076	0					
ANR	424082	Identifier	data		424076	1					
ANR	424083	ExpressionStatement	data = NULL	39:4:1174:1185	424076	1	True				
ANR	424084	AssignmentExpression	data = NULL		424076	0		=			
ANR	424085	Identifier	data		424076	0					
ANR	424086	Identifier	NULL		424076	1					
ANR	424087	ExpressionStatement	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )	40:4:1192:1237	424076	2	True				
ANR	424088	AssignmentExpression	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )		424076	0		=			
ANR	424089	Identifier	data		424076	0					
ANR	424090	CastExpression	( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )		424076	1					
ANR	424091	CastTarget	int64_t *		424076	0					
ANR	424092	CallExpression	malloc ( 100 * sizeof ( int64_t ) )		424076	1					
ANR	424093	Callee	malloc		424076	0					
ANR	424094	Identifier	malloc		424076	0					
ANR	424095	ArgumentList	100 * sizeof ( int64_t )		424076	1					
ANR	424096	Argument	100 * sizeof ( int64_t )		424076	0					
ANR	424097	MultiplicativeExpression	100 * sizeof ( int64_t )		424076	0		*			
ANR	424098	PrimaryExpression	100		424076	0					
ANR	424099	SizeofExpression	sizeof ( int64_t )		424076	1					
ANR	424100	Sizeof	sizeof		424076	0					
ANR	424101	SizeofOperand	int64_t		424076	1					
ANR	424102	IfStatement	if ( data == NULL )		424076	3					
ANR	424103	Condition	data == NULL	41:8:1248:1259	424076	0	True				
ANR	424104	EqualityExpression	data == NULL		424076	0		==			
ANR	424105	Identifier	data		424076	0					
ANR	424106	Identifier	NULL		424076	1					
ANR	424107	CompoundStatement		6:22:142:142	424076	1					
ANR	424108	ExpressionStatement	exit ( - 1 )	41:23:1263:1271	424076	0	True				
ANR	424109	CallExpression	exit ( - 1 )		424076	0					
ANR	424110	Callee	exit		424076	0					
ANR	424111	Identifier	exit		424076	0					
ANR	424112	ArgumentList	- 1		424076	1					
ANR	424113	Argument	- 1		424076	0					
ANR	424114	UnaryOperationExpression	- 1		424076	0					
ANR	424115	UnaryOperator	-		424076	0					
ANR	424116	PrimaryExpression	1		424076	1					
ANR	424117	ExpressionStatement	free ( data )	43:4:1363:1373	424076	4	True				
ANR	424118	CallExpression	free ( data )		424076	0					
ANR	424119	Callee	free		424076	0					
ANR	424120	Identifier	free		424076	0					
ANR	424121	ArgumentList	data		424076	1					
ANR	424122	Argument	data		424076	0					
ANR	424123	Identifier	data		424076	0					
ANR	424124	ExpressionStatement	CWE415_Double_Free__malloc_free_int64_t_45_badData = data	44:4:1380:1437	424076	5	True				
ANR	424125	AssignmentExpression	CWE415_Double_Free__malloc_free_int64_t_45_badData = data		424076	0		=			
ANR	424126	Identifier	CWE415_Double_Free__malloc_free_int64_t_45_badData		424076	0					
ANR	424127	Identifier	data		424076	1					
ANR	424128	ExpressionStatement	badSink ( )	45:4:1444:1453	424076	6	True				
ANR	424129	CallExpression	badSink ( )		424076	0					
ANR	424130	Callee	badSink		424076	0					
ANR	424131	Identifier	badSink		424076	0					
ANR	424132	ArgumentList			424076	1					
ANR	424133	ReturnType	void		424076	1					
ANR	424134	Identifier	CWE415_Double_Free__malloc_free_int64_t_45_bad		424076	2					
ANR	424135	ParameterList			424076	3					
ANR	424136	CFGEntryNode	ENTRY		424076		True				
ANR	424137	CFGExitNode	EXIT		424076		True				
ANR	424138	Symbol	malloc		424076						
ANR	424139	Symbol	NULL		424076						
ANR	424140	Symbol	data		424076						
ANR	424141	Symbol	CWE415_Double_Free__malloc_free_int64_t_45_badData		424076						
ANR	424142	Function	goodG2BSink	53:0:1559:1741							
ANR	424143	FunctionDef	goodG2BSink ()		424142	0					
ANR	424144	CompoundStatement		54:0:1586:1741	424142	0					
ANR	424145	IdentifierDeclStatement	int64_t * data = CWE415_Double_Free__malloc_free_int64_t_45_goodG2BData ;	55:4:1593:1664	424142	0	True				
ANR	424146	IdentifierDecl	* data = CWE415_Double_Free__malloc_free_int64_t_45_goodG2BData		424142	0					
ANR	424147	IdentifierDeclType	int64_t *		424142	0					
ANR	424148	Identifier	data		424142	1					
ANR	424149	AssignmentExpression	* data = CWE415_Double_Free__malloc_free_int64_t_45_goodG2BData		424142	2		=			
ANR	424150	Identifier	CWE415_Double_Free__malloc_free_int64_t_45_goodG2BData		424142	0					
ANR	424151	Identifier	CWE415_Double_Free__malloc_free_int64_t_45_goodG2BData		424142	1					
ANR	424152	ExpressionStatement	free ( data )	57:4:1728:1738	424142	1	True				
ANR	424153	CallExpression	free ( data )		424142	0					
ANR	424154	Callee	free		424142	0					
ANR	424155	Identifier	free		424142	0					
ANR	424156	ArgumentList	data		424142	1					
ANR	424157	Argument	data		424142	0					
ANR	424158	Identifier	data		424142	0					
ANR	424159	ReturnType	static void		424142	1					
ANR	424160	Identifier	goodG2BSink		424142	2					
ANR	424161	ParameterList			424142	3					
ANR	424162	CFGEntryNode	ENTRY		424142		True				
ANR	424163	CFGExitNode	EXIT		424142		True				
ANR	424164	Symbol	data		424142						
ANR	424165	Symbol	CWE415_Double_Free__malloc_free_int64_t_45_goodG2BData		424142						
ANR	424166	Function	goodG2B	60:0:1746:2085							
ANR	424167	FunctionDef	goodG2B ()		424166	0					
ANR	424168	CompoundStatement		61:0:1769:2085	424166	0					
ANR	424169	IdentifierDeclStatement	int64_t * data ;	62:4:1776:1790	424166	0	True				
ANR	424170	IdentifierDecl	* data		424166	0					
ANR	424171	IdentifierDeclType	int64_t *		424166	0					
ANR	424172	Identifier	data		424166	1					
ANR	424173	ExpressionStatement	data = NULL	64:4:1824:1835	424166	1	True				
ANR	424174	AssignmentExpression	data = NULL		424166	0		=			
ANR	424175	Identifier	data		424166	0					
ANR	424176	Identifier	NULL		424166	1					
ANR	424177	ExpressionStatement	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )	65:4:1842:1887	424166	2	True				
ANR	424178	AssignmentExpression	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )		424166	0		=			
ANR	424179	Identifier	data		424166	0					
