command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	424400	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-200-c/testcases/000/240/131/CWE415_Double_Free__malloc_free_int64_t_61a.c								
ANR	424401	DeclStmt									
ANR	424402	Decl							int64_t	int64_t * ( int64_t * data )	CWE415_Double_Free__malloc_free_int64_t_61b_badSource
ANR	424403	Function	CWE415_Double_Free__malloc_free_int64_t_61_bad	27:0:759:1030							
ANR	424404	FunctionDef	CWE415_Double_Free__malloc_free_int64_t_61_bad ()		424403	0					
ANR	424405	CompoundStatement		28:0:814:1030	424403	0					
ANR	424406	IdentifierDeclStatement	int64_t * data ;	29:4:821:835	424403	0	True				
ANR	424407	IdentifierDecl	* data		424403	0					
ANR	424408	IdentifierDeclType	int64_t *		424403	0					
ANR	424409	Identifier	data		424403	1					
ANR	424410	ExpressionStatement	data = NULL	31:4:869:880	424403	1	True				
ANR	424411	AssignmentExpression	data = NULL		424403	0		=			
ANR	424412	Identifier	data		424403	0					
ANR	424413	Identifier	NULL		424403	1					
ANR	424414	ExpressionStatement	data = CWE415_Double_Free__malloc_free_int64_t_61b_badSource ( data )	32:4:887:953	424403	2	True				
ANR	424415	AssignmentExpression	data = CWE415_Double_Free__malloc_free_int64_t_61b_badSource ( data )		424403	0		=			
ANR	424416	Identifier	data		424403	0					
ANR	424417	CallExpression	CWE415_Double_Free__malloc_free_int64_t_61b_badSource ( data )		424403	1					
ANR	424418	Callee	CWE415_Double_Free__malloc_free_int64_t_61b_badSource		424403	0					
ANR	424419	Identifier	CWE415_Double_Free__malloc_free_int64_t_61b_badSource		424403	0					
ANR	424420	ArgumentList	data		424403	1					
ANR	424421	Argument	data		424403	0					
ANR	424422	Identifier	data		424403	0					
ANR	424423	ExpressionStatement	free ( data )	34:4:1017:1027	424403	3	True				
ANR	424424	CallExpression	free ( data )		424403	0					
ANR	424425	Callee	free		424403	0					
ANR	424426	Identifier	free		424403	0					
ANR	424427	ArgumentList	data		424403	1					
ANR	424428	Argument	data		424403	0					
ANR	424429	Identifier	data		424403	0					
ANR	424430	ReturnType	void		424403	1					
ANR	424431	Identifier	CWE415_Double_Free__malloc_free_int64_t_61_bad		424403	2					
ANR	424432	ParameterList			424403	3					
ANR	424433	CFGEntryNode	ENTRY		424403		True				
ANR	424434	CFGExitNode	EXIT		424403		True				
ANR	424435	Symbol	NULL		424403						
ANR	424436	Symbol	data		424403						
ANR	424437	Symbol	CWE415_Double_Free__malloc_free_int64_t_61b_badSource		424403						
ANR	424438	DeclStmt									
ANR	424439	Decl							int64_t	int64_t * ( int64_t * data )	CWE415_Double_Free__malloc_free_int64_t_61b_goodG2BSource
ANR	424440	Function	goodG2B	44:0:1219:1462							
ANR	424441	FunctionDef	goodG2B ()		424440	0					
ANR	424442	CompoundStatement		45:0:1242:1462	424440	0					
ANR	424443	IdentifierDeclStatement	int64_t * data ;	46:4:1249:1263	424440	0	True				
ANR	424444	IdentifierDecl	* data		424440	0					
ANR	424445	IdentifierDeclType	int64_t *		424440	0					
ANR	424446	Identifier	data		424440	1					
ANR	424447	ExpressionStatement	data = NULL	48:4:1297:1308	424440	1	True				
ANR	424448	AssignmentExpression	data = NULL		424440	0		=			
ANR	424449	Identifier	data		424440	0					
ANR	424450	Identifier	NULL		424440	1					
ANR	424451	ExpressionStatement	data = CWE415_Double_Free__malloc_free_int64_t_61b_goodG2BSource ( data )	49:4:1315:1385	424440	2	True				
ANR	424452	AssignmentExpression	data = CWE415_Double_Free__malloc_free_int64_t_61b_goodG2BSource ( data )		424440	0		=			
ANR	424453	Identifier	data		424440	0					
ANR	424454	CallExpression	CWE415_Double_Free__malloc_free_int64_t_61b_goodG2BSource ( data )		424440	1					
ANR	424455	Callee	CWE415_Double_Free__malloc_free_int64_t_61b_goodG2BSource		424440	0					
ANR	424456	Identifier	CWE415_Double_Free__malloc_free_int64_t_61b_goodG2BSource		424440	0					
ANR	424457	ArgumentList	data		424440	1					
ANR	424458	Argument	data		424440	0					
ANR	424459	Identifier	data		424440	0					
ANR	424460	ExpressionStatement	free ( data )	51:4:1449:1459	424440	3	True				
ANR	424461	CallExpression	free ( data )		424440	0					
ANR	424462	Callee	free		424440	0					
ANR	424463	Identifier	free		424440	0					
ANR	424464	ArgumentList	data		424440	1					
ANR	424465	Argument	data		424440	0					
ANR	424466	Identifier	data		424440	0					
ANR	424467	ReturnType	static void		424440	1					
ANR	424468	Identifier	goodG2B		424440	2					
ANR	424469	ParameterList			424440	3					
ANR	424470	CFGEntryNode	ENTRY		424440		True				
ANR	424471	CFGExitNode	EXIT		424440		True				
ANR	424472	Symbol	CWE415_Double_Free__malloc_free_int64_t_61b_goodG2BSource		424440						
ANR	424473	Symbol	NULL		424440						
ANR	424474	Symbol	data		424440						
ANR	424475	DeclStmt									
ANR	424476	Decl							int64_t	int64_t * ( int64_t * data )	CWE415_Double_Free__malloc_free_int64_t_61b_goodB2GSource
ANR	424477	Function	goodB2G	57:0:1607:1906							
ANR	424478	FunctionDef	goodB2G ()		424477	0					
