start	end	type	var
424601	424602	IS_AST_PARENT	
424603	424604	IS_AST_PARENT	
424606	424607	IS_AST_PARENT	
424605	424606	IS_AST_PARENT	
424610	424611	IS_AST_PARENT	
424612	424613	IS_AST_PARENT	
424612	424614	IS_AST_PARENT	
424610	424612	IS_AST_PARENT	
424609	424610	IS_AST_PARENT	
424608	424609	IS_AST_PARENT	
424605	424608	IS_AST_PARENT	
424603	424605	IS_AST_PARENT	
424601	424603	IS_AST_PARENT	
424600	424601	IS_AST_PARENT	
424599	424600	IS_AST_PARENT	
424617	424618	IS_AST_PARENT	
424617	424619	IS_AST_PARENT	
424616	424617	IS_AST_PARENT	
424615	424616	IS_AST_PARENT	
424623	424624	IS_AST_PARENT	
424622	424623	IS_AST_PARENT	
424627	424628	IS_AST_PARENT	
424627	424629	IS_AST_PARENT	
424626	424627	IS_AST_PARENT	
424625	424626	IS_AST_PARENT	
424622	424625	IS_AST_PARENT	
424621	424622	IS_AST_PARENT	
424620	424621	IS_AST_PARENT	
424615	424620	IS_AST_PARENT	
424599	424615	IS_AST_PARENT	
424632	424633	IS_AST_PARENT	
424631	424632	IS_AST_PARENT	
424635	424636	IS_AST_PARENT	
424634	424635	IS_AST_PARENT	
424631	424634	IS_AST_PARENT	
424630	424631	IS_AST_PARENT	
424599	424630	IS_AST_PARENT	
424637	424638	IS_AST_PARENT	
424599	424637	IS_AST_PARENT	
424598	424599	IS_AST_PARENT	
424598	424639	IS_AST_PARENT	
424598	424640	IS_AST_PARENT	
424642	424643	IS_AST_PARENT	
424642	424644	IS_AST_PARENT	
424641	424642	IS_AST_PARENT	
424598	424641	IS_AST_PARENT	
424645	424642	FLOWS_TO	
424642	424600	FLOWS_TO	
424600	424616	FLOWS_TO	
424616	424621	FLOWS_TO	
424616	424630	FLOWS_TO	
424621	424630	FLOWS_TO	
424630	424637	FLOWS_TO	
424637	424646	FLOWS_TO	
424600	424647	USE	
424601	424647	USE	
424616	424648	USE	
424642	424649	DEF	
424600	424649	DEF	
424601	424649	DEF	
424616	424649	USE	
424630	424649	USE	
424635	424649	USE	
424637	424649	USE	
424600	424616	REACHES	data
424600	424630	REACHES	data
424600	424637	REACHES	data
424645	424642	CONTROLS	
424645	424600	CONTROLS	
424645	424616	CONTROLS	
424645	424630	CONTROLS	
424645	424637	CONTROLS	
424616	424621	CONTROLS	
424645	424645	DOM	
424600	424616	DOM	
424645	424642	DOM	
424642	424600	DOM	
424616	424630	DOM	
424616	424621	DOM	
424637	424646	DOM	
424630	424637	DOM	
424642	424645	POST_DOM	
424630	424616	POST_DOM	
424600	424642	POST_DOM	
