command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	424596	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-200-c/testcases/000/240/131/CWE415_Double_Free__malloc_free_int64_t_61b.c								
ANR	424597	Function	CWE415_Double_Free__malloc_free_int64_t_61b_badSource	24:0:643:933							
ANR	424598	FunctionDef	CWE415_Double_Free__malloc_free_int64_t_61b_badSource (int64_t * data)		424597	0					
ANR	424599	CompoundStatement		25:0:724:933	424597	0					
ANR	424600	ExpressionStatement	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )	26:4:731:776	424597	0	True				
ANR	424601	AssignmentExpression	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )		424597	0		=			
ANR	424602	Identifier	data		424597	0					
ANR	424603	CastExpression	( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )		424597	1					
ANR	424604	CastTarget	int64_t *		424597	0					
ANR	424605	CallExpression	malloc ( 100 * sizeof ( int64_t ) )		424597	1					
ANR	424606	Callee	malloc		424597	0					
ANR	424607	Identifier	malloc		424597	0					
ANR	424608	ArgumentList	100 * sizeof ( int64_t )		424597	1					
ANR	424609	Argument	100 * sizeof ( int64_t )		424597	0					
ANR	424610	MultiplicativeExpression	100 * sizeof ( int64_t )		424597	0		*			
ANR	424611	PrimaryExpression	100		424597	0					
ANR	424612	SizeofExpression	sizeof ( int64_t )		424597	1					
ANR	424613	Sizeof	sizeof		424597	0					
ANR	424614	SizeofOperand	int64_t		424597	1					
ANR	424615	IfStatement	if ( data == NULL )		424597	1					
ANR	424616	Condition	data == NULL	27:8:787:798	424597	0	True				
ANR	424617	EqualityExpression	data == NULL		424597	0		==			
ANR	424618	Identifier	data		424597	0					
ANR	424619	Identifier	NULL		424597	1					
ANR	424620	CompoundStatement		3:22:76:76	424597	1					
ANR	424621	ExpressionStatement	exit ( - 1 )	27:23:802:810	424597	0	True				
ANR	424622	CallExpression	exit ( - 1 )		424597	0					
ANR	424623	Callee	exit		424597	0					
ANR	424624	Identifier	exit		424597	0					
ANR	424625	ArgumentList	- 1		424597	1					
ANR	424626	Argument	- 1		424597	0					
ANR	424627	UnaryOperationExpression	- 1		424597	0					
ANR	424628	UnaryOperator	-		424597	0					
ANR	424629	PrimaryExpression	1		424597	1					
ANR	424630	ExpressionStatement	free ( data )	29:4:902:912	424597	2	True				
ANR	424631	CallExpression	free ( data )		424597	0					
ANR	424632	Callee	free		424597	0					
ANR	424633	Identifier	free		424597	0					
ANR	424634	ArgumentList	data		424597	1					
ANR	424635	Argument	data		424597	0					
ANR	424636	Identifier	data		424597	0					
ANR	424637	ReturnStatement	return data ;	30:4:919:930	424597	3	True				
ANR	424638	Identifier	data		424597	0					
ANR	424639	ReturnType	int64_t *		424597	1					
ANR	424640	Identifier	CWE415_Double_Free__malloc_free_int64_t_61b_badSource		424597	2					
ANR	424641	ParameterList	int64_t * data		424597	3					
ANR	424642	Parameter	int64_t * data	24:64:707:720	424597	0	True				
ANR	424643	ParameterType	int64_t *		424597	0					
ANR	424644	Identifier	data		424597	1					
ANR	424645	CFGEntryNode	ENTRY		424597		True				
ANR	424646	CFGExitNode	EXIT		424597		True				
ANR	424647	Symbol	malloc		424597						
ANR	424648	Symbol	NULL		424597						
ANR	424649	Symbol	data		424597						
ANR	424650	Function	CWE415_Double_Free__malloc_free_int64_t_61b_goodG2BSource	38:0:1036:1301							
ANR	424651	FunctionDef	CWE415_Double_Free__malloc_free_int64_t_61b_goodG2BSource (int64_t * data)		424650	0					
ANR	424652	CompoundStatement		39:0:1121:1301	424650	0					
ANR	424653	ExpressionStatement	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )	40:4:1128:1173	424650	0	True				
ANR	424654	AssignmentExpression	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )		424650	0		=			
ANR	424655	Identifier	data		424650	0					
ANR	424656	CastExpression	( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )		424650	1					
ANR	424657	CastTarget	int64_t *		424650	0					
ANR	424658	CallExpression	malloc ( 100 * sizeof ( int64_t ) )		424650	1					
ANR	424659	Callee	malloc		424650	0					
ANR	424660	Identifier	malloc		424650	0					
ANR	424661	ArgumentList	100 * sizeof ( int64_t )		424650	1					
ANR	424662	Argument	100 * sizeof ( int64_t )		424650	0					
ANR	424663	MultiplicativeExpression	100 * sizeof ( int64_t )		424650	0		*			
ANR	424664	PrimaryExpression	100		424650	0					
ANR	424665	SizeofExpression	sizeof ( int64_t )		424650	1					
ANR	424666	Sizeof	sizeof		424650	0					
ANR	424667	SizeofOperand	int64_t		424650	1					
ANR	424668	IfStatement	if ( data == NULL )		424650	1					
ANR	424669	Condition	data == NULL	41:8:1184:1195	424650	0	True				
ANR	424670	EqualityExpression	data == NULL		424650	0		==			
ANR	424671	Identifier	data		424650	0					
ANR	424672	Identifier	NULL		424650	1					
ANR	424673	CompoundStatement		3:22:76:76	424650	1					
ANR	424674	ExpressionStatement	exit ( - 1 )	41:23:1199:1207	424650	0	True				
ANR	424675	CallExpression	exit ( - 1 )		424650	0					
ANR	424676	Callee	exit		424650	0					
ANR	424677	Identifier	exit		424650	0					
ANR	424678	ArgumentList	- 1		424650	1					
ANR	424679	Argument	- 1		424650	0					
ANR	424680	UnaryOperationExpression	- 1		424650	0					
ANR	424681	UnaryOperator	-		424650	0					
ANR	424682	PrimaryExpression	1		424650	1					
ANR	424683	ReturnStatement	return data ;	43:4:1287:1298	424650	2	True				
ANR	424684	Identifier	data		424650	0					
ANR	424685	ReturnType	int64_t *		424650	1					
ANR	424686	Identifier	CWE415_Double_Free__malloc_free_int64_t_61b_goodG2BSource		424650	2					
ANR	424687	ParameterList	int64_t * data		424650	3					
ANR	424688	Parameter	int64_t * data	38:68:1104:1117	424650	0	True				
ANR	424689	ParameterType	int64_t *		424650	0					
ANR	424690	Identifier	data		424650	1					
ANR	424691	CFGEntryNode	ENTRY		424650		True				
ANR	424692	CFGExitNode	EXIT		424650		True				
ANR	424693	Symbol	malloc		424650						
ANR	424694	Symbol	NULL		424650						
ANR	424695	Symbol	data		424650						
ANR	424696	Function	CWE415_Double_Free__malloc_free_int64_t_61b_goodB2GSource	47:0:1360:1654							
ANR	424697	FunctionDef	CWE415_Double_Free__malloc_free_int64_t_61b_goodB2GSource (int64_t * data)		424696	0					
ANR	424698	CompoundStatement		48:0:1445:1654	424696	0					
ANR	424699	ExpressionStatement	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )	49:4:1452:1497	424696	0	True				
ANR	424700	AssignmentExpression	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )		424696	0		=			
ANR	424701	Identifier	data		424696	0					
ANR	424702	CastExpression	( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )		424696	1					
ANR	424703	CastTarget	int64_t *		424696	0					
ANR	424704	CallExpression	malloc ( 100 * sizeof ( int64_t ) )		424696	1					
ANR	424705	Callee	malloc		424696	0					
ANR	424706	Identifier	malloc		424696	0					
ANR	424707	ArgumentList	100 * sizeof ( int64_t )		424696	1					
ANR	424708	Argument	100 * sizeof ( int64_t )		424696	0					
ANR	424709	MultiplicativeExpression	100 * sizeof ( int64_t )		424696	0		*			
ANR	424710	PrimaryExpression	100		424696	0					
ANR	424711	SizeofExpression	sizeof ( int64_t )		424696	1					
ANR	424712	Sizeof	sizeof		424696	0					
ANR	424713	SizeofOperand	int64_t		424696	1					
ANR	424714	IfStatement	if ( data == NULL )		424696	1					
ANR	424715	Condition	data == NULL	50:8:1508:1519	424696	0	True				
ANR	424716	EqualityExpression	data == NULL		424696	0		==			
ANR	424717	Identifier	data		424696	0					
ANR	424718	Identifier	NULL		424696	1					
ANR	424719	CompoundStatement		3:22:76:76	424696	1					
ANR	424720	ExpressionStatement	exit ( - 1 )	50:23:1523:1531	424696	0	True				
ANR	424721	CallExpression	exit ( - 1 )		424696	0					
ANR	424722	Callee	exit		424696	0					
ANR	424723	Identifier	exit		424696	0					
ANR	424724	ArgumentList	- 1		424696	1					
ANR	424725	Argument	- 1		424696	0					
ANR	424726	UnaryOperationExpression	- 1		424696	0					
ANR	424727	UnaryOperator	-		424696	0					
ANR	424728	PrimaryExpression	1		424696	1					
ANR	424729	ExpressionStatement	free ( data )	52:4:1623:1633	424696	2	True				
ANR	424730	CallExpression	free ( data )		424696	0					
ANR	424731	Callee	free		424696	0					
ANR	424732	Identifier	free		424696	0					
ANR	424733	ArgumentList	data		424696	1					
ANR	424734	Argument	data		424696	0					
ANR	424735	Identifier	data		424696	0					
ANR	424736	ReturnStatement	return data ;	53:4:1640:1651	424696	3	True				
ANR	424737	Identifier	data		424696	0					
ANR	424738	ReturnType	int64_t *		424696	1					
ANR	424739	Identifier	CWE415_Double_Free__malloc_free_int64_t_61b_goodB2GSource		424696	2					
