command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	433384	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-200-c/testcases/000/240/155/CWE415_Double_Free__malloc_free_int_32.c								
ANR	433385	Function	CWE415_Double_Free__malloc_free_int_32_bad	24:0:629:1204							
ANR	433386	FunctionDef	CWE415_Double_Free__malloc_free_int_32_bad ()		433385	0					
ANR	433387	CompoundStatement		25:0:680:1204	433385	0					
ANR	433388	IdentifierDeclStatement	int * data ;	26:4:687:697	433385	0	True				
ANR	433389	IdentifierDecl	* data		433385	0					
ANR	433390	IdentifierDeclType	int *		433385	0					
ANR	433391	Identifier	data		433385	1					
ANR	433392	IdentifierDeclStatement	int * * dataPtr1 = & data ;	27:4:704:727	433385	1	True				
ANR	433393	IdentifierDecl	* * dataPtr1 = & data		433385	0					
ANR	433394	IdentifierDeclType	int * *		433385	0					
ANR	433395	Identifier	dataPtr1		433385	1					
ANR	433396	AssignmentExpression	* * dataPtr1 = & data		433385	2		=			
ANR	433397	Identifier	dataPtr1		433385	0					
ANR	433398	UnaryOperationExpression	& data		433385	1					
ANR	433399	UnaryOperator	&		433385	0					
ANR	433400	Identifier	data		433385	1					
ANR	433401	IdentifierDeclStatement	int * * dataPtr2 = & data ;	28:4:734:757	433385	2	True				
ANR	433402	IdentifierDecl	* * dataPtr2 = & data		433385	0					
ANR	433403	IdentifierDeclType	int * *		433385	0					
ANR	433404	Identifier	dataPtr2		433385	1					
ANR	433405	AssignmentExpression	* * dataPtr2 = & data		433385	2		=			
ANR	433406	Identifier	dataPtr2		433385	0					
ANR	433407	UnaryOperationExpression	& data		433385	1					
ANR	433408	UnaryOperator	&		433385	0					
ANR	433409	Identifier	data		433385	1					
ANR	433410	ExpressionStatement	data = NULL	30:4:791:802	433385	3	True				
ANR	433411	AssignmentExpression	data = NULL		433385	0		=			
ANR	433412	Identifier	data		433385	0					
ANR	433413	Identifier	NULL		433385	1					
ANR	433414	CompoundStatement		8:8:139:161	433385	4					
ANR	433415	IdentifierDeclStatement	int * data = * dataPtr1 ;	32:8:820:842	433385	0	True				
ANR	433416	IdentifierDecl	* data = * dataPtr1		433385	0					
ANR	433417	IdentifierDeclType	int *		433385	0					
ANR	433418	Identifier	data		433385	1					
ANR	433419	AssignmentExpression	* data = * dataPtr1		433385	2		=			
ANR	433420	Identifier	data		433385	0					
ANR	433421	UnaryOperationExpression	* dataPtr1		433385	1					
ANR	433422	UnaryOperator	*		433385	0					
ANR	433423	Identifier	dataPtr1		433385	1					
ANR	433424	ExpressionStatement	data = ( int * ) malloc ( 100 * sizeof ( int ) )	33:8:853:890	433385	1	True				
ANR	433425	AssignmentExpression	data = ( int * ) malloc ( 100 * sizeof ( int ) )		433385	0		=			
ANR	433426	Identifier	data		433385	0					
ANR	433427	CastExpression	( int * ) malloc ( 100 * sizeof ( int ) )		433385	1					
ANR	433428	CastTarget	int *		433385	0					
ANR	433429	CallExpression	malloc ( 100 * sizeof ( int ) )		433385	1					
ANR	433430	Callee	malloc		433385	0					
ANR	433431	Identifier	malloc		433385	0					
ANR	433432	ArgumentList	100 * sizeof ( int )		433385	1					
ANR	433433	Argument	100 * sizeof ( int )		433385	0					
ANR	433434	MultiplicativeExpression	100 * sizeof ( int )		433385	0		*			
ANR	433435	PrimaryExpression	100		433385	0					
ANR	433436	SizeofExpression	sizeof ( int )		433385	1					
ANR	433437	Sizeof	sizeof		433385	0					
ANR	433438	SizeofOperand	int		433385	1					
ANR	433439	IfStatement	if ( data == NULL )		433385	2					
ANR	433440	Condition	data == NULL	34:12:905:916	433385	0	True				
ANR	433441	EqualityExpression	data == NULL		433385	0		==			
ANR	433442	Identifier	data		433385	0					
ANR	433443	Identifier	NULL		433385	1					
ANR	433444	CompoundStatement		10:26:238:238	433385	1					
ANR	433445	ExpressionStatement	exit ( - 1 )	34:27:920:928	433385	0	True				
ANR	433446	CallExpression	exit ( - 1 )		433385	0					
ANR	433447	Callee	exit		433385	0					
ANR	433448	Identifier	exit		433385	0					
ANR	433449	ArgumentList	- 1		433385	1					
ANR	433450	Argument	- 1		433385	0					
ANR	433451	UnaryOperationExpression	- 1		433385	0					
ANR	433452	UnaryOperator	-		433385	0					
ANR	433453	PrimaryExpression	1		433385	1					
ANR	433454	ExpressionStatement	free ( data )	36:8:1028:1038	433385	3	True				
ANR	433455	CallExpression	free ( data )		433385	0					
ANR	433456	Callee	free		433385	0					
ANR	433457	Identifier	free		433385	0					
ANR	433458	ArgumentList	data		433385	1					
