command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	435518	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-200-c/testcases/000/240/163/CWE415_Double_Free__malloc_free_int_61a.c								
ANR	435519	DeclStmt									
ANR	435520	Decl							int	int * ( int * data )	CWE415_Double_Free__malloc_free_int_61b_badSource
ANR	435521	Function	CWE415_Double_Free__malloc_free_int_61_bad	27:0:743:1002							
ANR	435522	FunctionDef	CWE415_Double_Free__malloc_free_int_61_bad ()		435521	0					
ANR	435523	CompoundStatement		28:0:794:1002	435521	0					
ANR	435524	IdentifierDeclStatement	int * data ;	29:4:801:811	435521	0	True				
ANR	435525	IdentifierDecl	* data		435521	0					
ANR	435526	IdentifierDeclType	int *		435521	0					
ANR	435527	Identifier	data		435521	1					
ANR	435528	ExpressionStatement	data = NULL	31:4:845:856	435521	1	True				
ANR	435529	AssignmentExpression	data = NULL		435521	0		=			
ANR	435530	Identifier	data		435521	0					
ANR	435531	Identifier	NULL		435521	1					
ANR	435532	ExpressionStatement	data = CWE415_Double_Free__malloc_free_int_61b_badSource ( data )	32:4:863:925	435521	2	True				
ANR	435533	AssignmentExpression	data = CWE415_Double_Free__malloc_free_int_61b_badSource ( data )		435521	0		=			
ANR	435534	Identifier	data		435521	0					
ANR	435535	CallExpression	CWE415_Double_Free__malloc_free_int_61b_badSource ( data )		435521	1					
ANR	435536	Callee	CWE415_Double_Free__malloc_free_int_61b_badSource		435521	0					
ANR	435537	Identifier	CWE415_Double_Free__malloc_free_int_61b_badSource		435521	0					
ANR	435538	ArgumentList	data		435521	1					
ANR	435539	Argument	data		435521	0					
ANR	435540	Identifier	data		435521	0					
ANR	435541	ExpressionStatement	free ( data )	34:4:989:999	435521	3	True				
ANR	435542	CallExpression	free ( data )		435521	0					
ANR	435543	Callee	free		435521	0					
ANR	435544	Identifier	free		435521	0					
ANR	435545	ArgumentList	data		435521	1					
ANR	435546	Argument	data		435521	0					
ANR	435547	Identifier	data		435521	0					
ANR	435548	ReturnType	void		435521	1					
ANR	435549	Identifier	CWE415_Double_Free__malloc_free_int_61_bad		435521	2					
ANR	435550	ParameterList			435521	3					
ANR	435551	CFGEntryNode	ENTRY		435521		True				
ANR	435552	CFGExitNode	EXIT		435521		True				
ANR	435553	Symbol	NULL		435521						
ANR	435554	Symbol	CWE415_Double_Free__malloc_free_int_61b_badSource		435521						
ANR	435555	Symbol	data		435521						
ANR	435556	DeclStmt									
ANR	435557	Decl							int	int * ( int * data )	CWE415_Double_Free__malloc_free_int_61b_goodG2BSource
ANR	435558	Function	goodG2B	44:0:1179:1414							
