command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	435714	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-200-c/testcases/000/240/163/CWE415_Double_Free__malloc_free_int_61b.c								
ANR	435715	Function	CWE415_Double_Free__malloc_free_int_61b_badSource	24:0:639:909							
ANR	435716	FunctionDef	CWE415_Double_Free__malloc_free_int_61b_badSource (int * data)		435715	0					
ANR	435717	CompoundStatement		25:0:708:909	435715	0					
ANR	435718	ExpressionStatement	data = ( int * ) malloc ( 100 * sizeof ( int ) )	26:4:715:752	435715	0	True				
ANR	435719	AssignmentExpression	data = ( int * ) malloc ( 100 * sizeof ( int ) )		435715	0		=			
ANR	435720	Identifier	data		435715	0					
ANR	435721	CastExpression	( int * ) malloc ( 100 * sizeof ( int ) )		435715	1					
ANR	435722	CastTarget	int *		435715	0					
ANR	435723	CallExpression	malloc ( 100 * sizeof ( int ) )		435715	1					
ANR	435724	Callee	malloc		435715	0					
ANR	435725	Identifier	malloc		435715	0					
ANR	435726	ArgumentList	100 * sizeof ( int )		435715	1					
ANR	435727	Argument	100 * sizeof ( int )		435715	0					
ANR	435728	MultiplicativeExpression	100 * sizeof ( int )		435715	0		*			
ANR	435729	PrimaryExpression	100		435715	0					
ANR	435730	SizeofExpression	sizeof ( int )		435715	1					
ANR	435731	Sizeof	sizeof		435715	0					
ANR	435732	SizeofOperand	int		435715	1					
ANR	435733	IfStatement	if ( data == NULL )		435715	1					
ANR	435734	Condition	data == NULL	27:8:763:774	435715	0	True				
ANR	435735	EqualityExpression	data == NULL		435715	0		==			
ANR	435736	Identifier	data		435715	0					
ANR	435737	Identifier	NULL		435715	1					
ANR	435738	CompoundStatement		3:22:68:68	435715	1					
ANR	435739	ExpressionStatement	exit ( - 1 )	27:23:778:786	435715	0	True				
ANR	435740	CallExpression	exit ( - 1 )		435715	0					
ANR	435741	Callee	exit		435715	0					
ANR	435742	Identifier	exit		435715	0					
ANR	435743	ArgumentList	- 1		435715	1					
ANR	435744	Argument	- 1		435715	0					
ANR	435745	UnaryOperationExpression	- 1		435715	0					
ANR	435746	UnaryOperator	-		435715	0					
ANR	435747	PrimaryExpression	1		435715	1					
ANR	435748	ExpressionStatement	free ( data )	29:4:878:888	435715	2	True				
ANR	435749	CallExpression	free ( data )		435715	0					
ANR	435750	Callee	free		435715	0					
ANR	435751	Identifier	free		435715	0					
ANR	435752	ArgumentList	data		435715	1					
ANR	435753	Argument	data		435715	0					
ANR	435754	Identifier	data		435715	0					
ANR	435755	ReturnStatement	return data ;	30:4:895:906	435715	3	True				
ANR	435756	Identifier	data		435715	0					
ANR	435757	ReturnType	int *		435715	1					
ANR	435758	Identifier	CWE415_Double_Free__malloc_free_int_61b_badSource		435715	2					
ANR	435759	ParameterList	int * data		435715	3					
ANR	435760	Parameter	int * data	24:56:695:704	435715	0	True				
ANR	435761	ParameterType	int *		435715	0					
ANR	435762	Identifier	data		435715	1					
ANR	435763	CFGEntryNode	ENTRY		435715		True				
ANR	435764	CFGExitNode	EXIT		435715		True				
ANR	435765	Symbol	malloc		435715						
ANR	435766	Symbol	NULL		435715						
ANR	435767	Symbol	data		435715						
ANR	435768	Function	CWE415_Double_Free__malloc_free_int_61b_goodG2BSource	38:0:1012:1257							
ANR	435769	FunctionDef	CWE415_Double_Free__malloc_free_int_61b_goodG2BSource (int * data)		435768	0					
ANR	435770	CompoundStatement		39:0:1085:1257	435768	0					
ANR	435771	ExpressionStatement	data = ( int * ) malloc ( 100 * sizeof ( int ) )	40:4:1092:1129	435768	0	True				
ANR	435772	AssignmentExpression	data = ( int * ) malloc ( 100 * sizeof ( int ) )		435768	0		=			
ANR	435773	Identifier	data		435768	0					
ANR	435774	CastExpression	( int * ) malloc ( 100 * sizeof ( int ) )		435768	1					
ANR	435775	CastTarget	int *		435768	0					
ANR	435776	CallExpression	malloc ( 100 * sizeof ( int ) )		435768	1					
ANR	435777	Callee	malloc		435768	0					
ANR	435778	Identifier	malloc		435768	0					
ANR	435779	ArgumentList	100 * sizeof ( int )		435768	1					
ANR	435780	Argument	100 * sizeof ( int )		435768	0					
ANR	435781	MultiplicativeExpression	100 * sizeof ( int )		435768	0		*			
ANR	435782	PrimaryExpression	100		435768	0					
ANR	435783	SizeofExpression	sizeof ( int )		435768	1					
ANR	435784	Sizeof	sizeof		435768	0					
ANR	435785	SizeofOperand	int		435768	1					
ANR	435786	IfStatement	if ( data == NULL )		435768	1					
ANR	435787	Condition	data == NULL	41:8:1140:1151	435768	0	True				
ANR	435788	EqualityExpression	data == NULL		435768	0		==			
ANR	435789	Identifier	data		435768	0					
ANR	435790	Identifier	NULL		435768	1					
ANR	435791	CompoundStatement		3:22:68:68	435768	1					
ANR	435792	ExpressionStatement	exit ( - 1 )	41:23:1155:1163	435768	0	True				
ANR	435793	CallExpression	exit ( - 1 )		435768	0					
ANR	435794	Callee	exit		435768	0					
ANR	435795	Identifier	exit		435768	0					
ANR	435796	ArgumentList	- 1		435768	1					
ANR	435797	Argument	- 1		435768	0					
ANR	435798	UnaryOperationExpression	- 1		435768	0					
ANR	435799	UnaryOperator	-		435768	0					
