command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	443714	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-300-c/testcases/000/235/006/CWE127_Buffer_Underread__malloc_wchar_t_loop_08.c								
ANR	443715	Function	staticReturnsTrue	25:0:780:830							
ANR	443716	FunctionDef	staticReturnsTrue ()		443715	0					
ANR	443717	CompoundStatement		26:0:812:830	443715	0					
ANR	443718	ReturnStatement	return 1 ;	27:4:819:827	443715	0	True				
ANR	443719	PrimaryExpression	1		443715	0					
ANR	443720	ReturnType	static int		443715	1					
ANR	443721	Identifier	staticReturnsTrue		443715	2					
ANR	443722	ParameterList			443715	3					
ANR	443723	CFGEntryNode	ENTRY		443715		True				
ANR	443724	CFGExitNode	EXIT		443715		True				
ANR	443725	Function	staticReturnsFalse	30:0:835:886							
ANR	443726	FunctionDef	staticReturnsFalse ()		443725	0					
ANR	443727	CompoundStatement		31:0:868:886	443725	0					
ANR	443728	ReturnStatement	return 0 ;	32:4:875:883	443725	0	True				
ANR	443729	PrimaryExpression	0		443725	0					
ANR	443730	ReturnType	static int		443725	1					
ANR	443731	Identifier	staticReturnsFalse		443725	2					
ANR	443732	ParameterList			443725	3					
ANR	443733	CFGEntryNode	ENTRY		443725		True				
ANR	443734	CFGExitNode	EXIT		443725		True				
ANR	443735	Function	CWE127_Buffer_Underread__malloc_wchar_t_loop_08_bad	37:0:910:2007							
ANR	443736	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_loop_08_bad ()		443735	0					
ANR	443737	CompoundStatement		38:0:970:2007	443735	0					
ANR	443738	IdentifierDeclStatement	wchar_t * data ;	39:4:977:991	443735	0	True				
ANR	443739	IdentifierDecl	* data		443735	0					
ANR	443740	IdentifierDeclType	wchar_t *		443735	0					
ANR	443741	Identifier	data		443735	1					
ANR	443742	ExpressionStatement	data = NULL	40:4:998:1009	443735	1	True				
ANR	443743	AssignmentExpression	data = NULL		443735	0		=			
ANR	443744	Identifier	data		443735	0					
ANR	443745	Identifier	NULL		443735	1					
ANR	443746	IfStatement	if ( staticReturnsTrue ( ) )		443735	2					
ANR	443747	Condition	staticReturnsTrue ( )	41:7:1019:1037	443735	0	True				
ANR	443748	CallExpression	staticReturnsTrue ( )		443735	0					
ANR	443749	Callee	staticReturnsTrue		443735	0					
ANR	443750	Identifier	staticReturnsTrue		443735	0					
ANR	443751	ArgumentList			443735	1					
ANR	443752	CompoundStatement		5:4:74:74	443735	1					
ANR	443753	CompoundStatement		7:12:100:161	443735	0					
ANR	443754	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	44:12:1071:1132	443735	0	True				
ANR	443755	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		443735	0					
ANR	443756	IdentifierDeclType	wchar_t *		443735	0					
ANR	443757	Identifier	dataBuffer		443735	1					
ANR	443758	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		443735	2		=			
ANR	443759	Identifier	dataBuffer		443735	0					
ANR	443760	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		443735	1					
ANR	443761	CastTarget	wchar_t *		443735	0					
ANR	443762	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		443735	1					
ANR	443763	Callee	malloc		443735	0					
ANR	443764	Identifier	malloc		443735	0					
ANR	443765	ArgumentList	100 * sizeof ( wchar_t )		443735	1					
ANR	443766	Argument	100 * sizeof ( wchar_t )		443735	0					
ANR	443767	MultiplicativeExpression	100 * sizeof ( wchar_t )		443735	0		*			
ANR	443768	PrimaryExpression	100		443735	0					
ANR	443769	SizeofExpression	sizeof ( wchar_t )		443735	1					
ANR	443770	Sizeof	sizeof		443735	0					
ANR	443771	SizeofOperand	wchar_t		443735	1					
ANR	443772	IfStatement	if ( dataBuffer == NULL )		443735	1					
ANR	443773	Condition	dataBuffer == NULL	45:16:1151:1168	443735	0	True				
ANR	443774	EqualityExpression	dataBuffer == NULL		443735	0		==			
ANR	443775	Identifier	dataBuffer		443735	0					
ANR	443776	Identifier	NULL		443735	1					
ANR	443777	CompoundStatement		8:36:200:200	443735	1					
ANR	443778	ExpressionStatement	exit ( - 1 )	45:37:1172:1180	443735	0	True				
ANR	443779	CallExpression	exit ( - 1 )		443735	0					
ANR	443780	Callee	exit		443735	0					
ANR	443781	Identifier	exit		443735	0					
ANR	443782	ArgumentList	- 1		443735	1					
ANR	443783	Argument	- 1		443735	0					
ANR	443784	UnaryOperationExpression	- 1		443735	0					
ANR	443785	UnaryOperator	-		443735	0					
ANR	443786	PrimaryExpression	1		443735	1					
ANR	443787	Statement	wmemset	46:12:1195:1201	443735	2	True				
ANR	443788	Statement	(	46:19:1202:1202	443735	3	True				
ANR	443789	Statement	dataBuffer	46:20:1203:1212	443735	4	True				
ANR	443790	Statement	","	46:30:1213:1213	443735	5	True				
ANR	443791	Statement	L	46:32:1215:1215	443735	6	True				
ANR	443792	Statement	'A'	46:33:1216:1218	443735	7	True				
ANR	443793	Statement	","	46:36:1219:1219	443735	8	True				
ANR	443794	Statement	100	46:38:1221:1223	443735	9	True				
ANR	443795	Statement	-	46:41:1224:1224	443735	10	True				
ANR	443796	Statement	1	46:42:1225:1225	443735	11	True				
ANR	443797	Statement	)	46:43:1226:1226	443735	12	True				
ANR	443798	ExpressionStatement		46:44:1227:1227	443735	13	True				
ANR	443799	Statement	dataBuffer	47:12:1242:1251	443735	14	True				
ANR	443800	Statement	[	47:22:1252:1252	443735	15	True				
ANR	443801	Statement	100	47:23:1253:1255	443735	16	True				
ANR	443802	Statement	-	47:26:1256:1256	443735	17	True				
ANR	443803	Statement	1	47:27:1257:1257	443735	18	True				
ANR	443804	Statement	]	47:28:1258:1258	443735	19	True				
ANR	443805	Statement	=	47:30:1260:1260	443735	20	True				
ANR	443806	Statement	L	47:32:1262:1262	443735	21	True				
ANR	443807	ExpressionStatement	'\\0'	47:33:1263:1267	443735	22	True				
ANR	443808	PrimaryExpression	'\\0'		443735	0					
ANR	443809	ExpressionStatement	data = dataBuffer - 8	49:12:1362:1383	443735	23	True				
ANR	443810	AssignmentExpression	data = dataBuffer - 8		443735	0		=			
ANR	443811	Identifier	data		443735	0					
ANR	443812	AdditiveExpression	dataBuffer - 8		443735	1		-			
ANR	443813	Identifier	dataBuffer		443735	0					
ANR	443814	PrimaryExpression	8		443735	1					
ANR	443815	CompoundStatement		17:8:467:484	443735	3					
ANR	443816	IdentifierDeclStatement	size_t i ;	53:8:1419:1427	443735	0	True				
ANR	443817	IdentifierDecl	i		443735	0					
ANR	443818	IdentifierDeclType	size_t		443735	0					
ANR	443819	Identifier	i		443735	1					
ANR	443820	IdentifierDeclStatement	wchar_t dest [ 100 ] ;	54:8:1438:1455	443735	1	True				
ANR	443821	IdentifierDecl	dest [ 100 ]		443735	0					
ANR	443822	IdentifierDeclType	wchar_t [ 100 ]		443735	0					
ANR	443823	Identifier	dest		443735	1					
ANR	443824	PrimaryExpression	100		443735	2					
ANR	443825	Statement	wmemset	55:8:1466:1472	443735	2	True				
ANR	443826	Statement	(	55:15:1473:1473	443735	3	True				
ANR	443827	Statement	dest	55:16:1474:1477	443735	4	True				
ANR	443828	Statement	","	55:20:1478:1478	443735	5	True				
ANR	443829	Statement	L	55:22:1480:1480	443735	6	True				
ANR	443830	Statement	'C'	55:23:1481:1483	443735	7	True				
ANR	443831	Statement	","	55:26:1484:1484	443735	8	True				
ANR	443832	Statement	100	55:28:1486:1488	443735	9	True				
ANR	443833	Statement	-	55:31:1489:1489	443735	10	True				
ANR	443834	Statement	1	55:32:1490:1490	443735	11	True				
ANR	443835	Statement	)	55:33:1491:1491	443735	12	True				
ANR	443836	ExpressionStatement		55:34:1492:1492	443735	13	True				
ANR	443837	Statement	dest	56:8:1524:1527	443735	14	True				
ANR	443838	Statement	[	56:12:1528:1528	443735	15	True				
ANR	443839	Statement	100	56:13:1529:1531	443735	16	True				
ANR	443840	Statement	-	56:16:1532:1532	443735	17	True				
ANR	443841	Statement	1	56:17:1533:1533	443735	18	True				
ANR	443842	Statement	]	56:18:1534:1534	443735	19	True				
ANR	443843	Statement	=	56:20:1536:1536	443735	20	True				
ANR	443844	Statement	L	56:22:1538:1538	443735	21	True				
ANR	443845	ExpressionStatement	'\\0'	56:23:1539:1543	443735	22	True				
ANR	443846	PrimaryExpression	'\\0'		443735	0					
ANR	443847	ForStatement	for ( i = 0 ; i < 100 ; i ++ )		443735	23					
ANR	443848	ForInit	i = 0 ;	58:13:1681:1686	443735	0	True				
ANR	443849	AssignmentExpression	i = 0		443735	0		=			
ANR	443850	Identifier	i		443735	0					
ANR	443851	PrimaryExpression	0		443735	1					
ANR	443852	Condition	i < 100	58:20:1688:1694	443735	1	True				
ANR	443853	RelationalExpression	i < 100		443735	0		<			
ANR	443854	Identifier	i		443735	0					
ANR	443855	PrimaryExpression	100		443735	1					
ANR	443856	PostIncDecOperationExpression	i ++	58:29:1697:1699	443735	2	True				
ANR	443857	Identifier	i		443735	0					
ANR	443858	IncDec	++		443735	1					
ANR	443859	CompoundStatement		22:8:740:740	443735	3					
