command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	450764	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-300-c/testcases/000/235/018/CWE127_Buffer_Underread__malloc_wchar_t_loop_22b.c								
ANR	450765	DeclStmt									
ANR	450766	Decl							extern int	extern int	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_badGlobal
ANR	450767	Function	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_badSource	26:0:837:1373							
ANR	450768	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_badSource (wchar_t * data)		450767	0					
ANR	450769	CompoundStatement		27:0:922:1373	450767	0					
ANR	450770	IfStatement	if ( CWE127_Buffer_Underread__malloc_wchar_t_loop_22_badGlobal )		450767	0					
ANR	450771	Condition	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_badGlobal	28:7:932:988	450767	0	True				
ANR	450772	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_badGlobal		450767	0					
ANR	450773	CompoundStatement		3:4:73:73	450767	1					
ANR	450774	CompoundStatement		5:12:99:160	450767	0					
ANR	450775	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	31:12:1022:1083	450767	0	True				
ANR	450776	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		450767	0					
ANR	450777	IdentifierDeclType	wchar_t *		450767	0					
ANR	450778	Identifier	dataBuffer		450767	1					
ANR	450779	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		450767	2		=			
ANR	450780	Identifier	dataBuffer		450767	0					
ANR	450781	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		450767	1					
ANR	450782	CastTarget	wchar_t *		450767	0					
ANR	450783	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		450767	1					
ANR	450784	Callee	malloc		450767	0					
ANR	450785	Identifier	malloc		450767	0					
ANR	450786	ArgumentList	100 * sizeof ( wchar_t )		450767	1					
ANR	450787	Argument	100 * sizeof ( wchar_t )		450767	0					
ANR	450788	MultiplicativeExpression	100 * sizeof ( wchar_t )		450767	0		*			
ANR	450789	PrimaryExpression	100		450767	0					
ANR	450790	SizeofExpression	sizeof ( wchar_t )		450767	1					
ANR	450791	Sizeof	sizeof		450767	0					
ANR	450792	SizeofOperand	wchar_t		450767	1					
ANR	450793	IfStatement	if ( dataBuffer == NULL )		450767	1					
ANR	450794	Condition	dataBuffer == NULL	32:16:1102:1119	450767	0	True				
ANR	450795	EqualityExpression	dataBuffer == NULL		450767	0		==			
ANR	450796	Identifier	dataBuffer		450767	0					
ANR	450797	Identifier	NULL		450767	1					
ANR	450798	CompoundStatement		6:36:199:199	450767	1					
ANR	450799	ExpressionStatement	exit ( - 1 )	32:37:1123:1131	450767	0	True				
ANR	450800	CallExpression	exit ( - 1 )		450767	0					
ANR	450801	Callee	exit		450767	0					
ANR	450802	Identifier	exit		450767	0					
ANR	450803	ArgumentList	- 1		450767	1					
ANR	450804	Argument	- 1		450767	0					
ANR	450805	UnaryOperationExpression	- 1		450767	0					
ANR	450806	UnaryOperator	-		450767	0					
ANR	450807	PrimaryExpression	1		450767	1					
ANR	450808	Statement	wmemset	33:12:1146:1152	450767	2	True				
ANR	450809	Statement	(	33:19:1153:1153	450767	3	True				
ANR	450810	Statement	dataBuffer	33:20:1154:1163	450767	4	True				
ANR	450811	Statement	","	33:30:1164:1164	450767	5	True				
ANR	450812	Statement	L	33:32:1166:1166	450767	6	True				
ANR	450813	Statement	'A'	33:33:1167:1169	450767	7	True				
ANR	450814	Statement	","	33:36:1170:1170	450767	8	True				
ANR	450815	Statement	100	33:38:1172:1174	450767	9	True				
ANR	450816	Statement	-	33:41:1175:1175	450767	10	True				
ANR	450817	Statement	1	33:42:1176:1176	450767	11	True				
ANR	450818	Statement	)	33:43:1177:1177	450767	12	True				
ANR	450819	ExpressionStatement		33:44:1178:1178	450767	13	True				
ANR	450820	Statement	dataBuffer	34:12:1193:1202	450767	14	True				
ANR	450821	Statement	[	34:22:1203:1203	450767	15	True				
ANR	450822	Statement	100	34:23:1204:1206	450767	16	True				
ANR	450823	Statement	-	34:26:1207:1207	450767	17	True				
ANR	450824	Statement	1	34:27:1208:1208	450767	18	True				
ANR	450825	Statement	]	34:28:1209:1209	450767	19	True				
ANR	450826	Statement	=	34:30:1211:1211	450767	20	True				
ANR	450827	Statement	L	34:32:1213:1213	450767	21	True				
ANR	450828	ExpressionStatement	'\\0'	34:33:1214:1218	450767	22	True				
ANR	450829	PrimaryExpression	'\\0'		450767	0					
ANR	450830	ExpressionStatement	data = dataBuffer - 8	36:12:1313:1334	450767	23	True				
ANR	450831	AssignmentExpression	data = dataBuffer - 8		450767	0		=			
ANR	450832	Identifier	data		450767	0					
ANR	450833	AdditiveExpression	dataBuffer - 8		450767	1		-			
ANR	450834	Identifier	dataBuffer		450767	0					
ANR	450835	PrimaryExpression	8		450767	1					
ANR	450836	ReturnStatement	return data ;	39:4:1359:1370	450767	1	True				
ANR	450837	Identifier	data		450767	0					
ANR	450838	ReturnType	wchar_t *		450767	1					
ANR	450839	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_badSource		450767	2					
ANR	450840	ParameterList	wchar_t * data		450767	3					
ANR	450841	Parameter	wchar_t * data	26:68:905:918	450767	0	True				
ANR	450842	ParameterType	wchar_t *		450767	0					
ANR	450843	Identifier	data		450767	1					
ANR	450844	CFGEntryNode	ENTRY		450767		True				
ANR	450845	CFGExitNode	EXIT		450767		True				
ANR	450846	Symbol	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_badGlobal		450767						
ANR	450847	Symbol	malloc		450767						
ANR	450848	Symbol	NULL		450767						
ANR	450849	Symbol	data		450767						
ANR	450850	Symbol	dataBuffer		450767						
ANR	450851	DeclStmt									
ANR	450852	Decl							extern int	extern int	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B1Global
ANR	450853	DeclStmt									
ANR	450854	Decl							extern int	extern int	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B2Global
ANR	450855	Function	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B1Source	51:0:1769:2447							
ANR	450856	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B1Source (wchar_t * data)		450855	0					
ANR	450857	CompoundStatement		52:0:1859:2447	450855	0					
ANR	450858	IfStatement	if ( CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B1Global )		450855	0					
ANR	450859	Condition	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B1Global	53:7:1869:1930	450855	0	True				
ANR	450860	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B1Global		450855	0					
ANR	450861	CompoundStatement		3:4:78:78	450855	1					
ANR	450862	ExpressionStatement	"printLine ( ""Benign, fixed string"" )"	56:8:2025:2058	450855	0	True				
ANR	450863	CallExpression	"printLine ( ""Benign, fixed string"" )"		450855	0					
ANR	450864	Callee	printLine		450855	0					
ANR	450865	Identifier	printLine		450855	0					
ANR	450866	ArgumentList	"""Benign, fixed string"""		450855	1					
ANR	450867	Argument	"""Benign, fixed string"""		450855	0					
ANR	450868	PrimaryExpression	"""Benign, fixed string"""		450855	0					
ANR	450869	ElseStatement	else		450855	0					
ANR	450870	CompoundStatement		8:4:222:222	450855	0					
ANR	450871	CompoundStatement		10:12:248:309	450855	0					
ANR	450872	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	61:12:2108:2169	450855	0	True				
ANR	450873	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		450855	0					
ANR	450874	IdentifierDeclType	wchar_t *		450855	0					
ANR	450875	Identifier	dataBuffer		450855	1					
ANR	450876	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		450855	2		=			
ANR	450877	Identifier	dataBuffer		450855	0					
ANR	450878	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		450855	1					
ANR	450879	CastTarget	wchar_t *		450855	0					
ANR	450880	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		450855	1					
ANR	450881	Callee	malloc		450855	0					
ANR	450882	Identifier	malloc		450855	0					
ANR	450883	ArgumentList	100 * sizeof ( wchar_t )		450855	1					
ANR	450884	Argument	100 * sizeof ( wchar_t )		450855	0					
ANR	450885	MultiplicativeExpression	100 * sizeof ( wchar_t )		450855	0		*			
ANR	450886	PrimaryExpression	100		450855	0					
ANR	450887	SizeofExpression	sizeof ( wchar_t )		450855	1					
ANR	450888	Sizeof	sizeof		450855	0					
ANR	450889	SizeofOperand	wchar_t		450855	1					
ANR	450890	IfStatement	if ( dataBuffer == NULL )		450855	1					
ANR	450891	Condition	dataBuffer == NULL	62:16:2188:2205	450855	0	True				
ANR	450892	EqualityExpression	dataBuffer == NULL		450855	0		==			
ANR	450893	Identifier	dataBuffer		450855	0					
ANR	450894	Identifier	NULL		450855	1					
ANR	450895	CompoundStatement		11:36:348:348	450855	1					
ANR	450896	ExpressionStatement	exit ( - 1 )	62:37:2209:2217	450855	0	True				
ANR	450897	CallExpression	exit ( - 1 )		450855	0					
ANR	450898	Callee	exit		450855	0					
ANR	450899	Identifier	exit		450855	0					
ANR	450900	ArgumentList	- 1		450855	1					
ANR	450901	Argument	- 1		450855	0					
ANR	450902	UnaryOperationExpression	- 1		450855	0					
ANR	450903	UnaryOperator	-		450855	0					
ANR	450904	PrimaryExpression	1		450855	1					
ANR	450905	Statement	wmemset	63:12:2232:2238	450855	2	True				
ANR	450906	Statement	(	63:19:2239:2239	450855	3	True				
ANR	450907	Statement	dataBuffer	63:20:2240:2249	450855	4	True				
ANR	450908	Statement	","	63:30:2250:2250	450855	5	True				
ANR	450909	Statement	L	63:32:2252:2252	450855	6	True				
ANR	450910	Statement	'A'	63:33:2253:2255	450855	7	True				
ANR	450911	Statement	","	63:36:2256:2256	450855	8	True				
ANR	450912	Statement	100	63:38:2258:2260	450855	9	True				
ANR	450913	Statement	-	63:41:2261:2261	450855	10	True				
ANR	450914	Statement	1	63:42:2262:2262	450855	11	True				
ANR	450915	Statement	)	63:43:2263:2263	450855	12	True				
ANR	450916	ExpressionStatement		63:44:2264:2264	450855	13	True				
ANR	450917	Statement	dataBuffer	64:12:2279:2288	450855	14	True				
ANR	450918	Statement	[	64:22:2289:2289	450855	15	True				
ANR	450919	Statement	100	64:23:2290:2292	450855	16	True				
ANR	450920	Statement	-	64:26:2293:2293	450855	17	True				
ANR	450921	Statement	1	64:27:2294:2294	450855	18	True				
ANR	450922	Statement	]	64:28:2295:2295	450855	19	True				
ANR	450923	Statement	=	64:30:2297:2297	450855	20	True				
ANR	450924	Statement	L	64:32:2299:2299	450855	21	True				
ANR	450925	ExpressionStatement	'\\0'	64:33:2300:2304	450855	22	True				
ANR	450926	PrimaryExpression	'\\0'		450855	0					
ANR	450927	ExpressionStatement	data = dataBuffer	66:12:2391:2408	450855	23	True				
ANR	450928	AssignmentExpression	data = dataBuffer		450855	0		=			
ANR	450929	Identifier	data		450855	0					
ANR	450930	Identifier	dataBuffer		450855	1					
ANR	450931	ReturnStatement	return data ;	69:4:2433:2444	450855	1	True				
ANR	450932	Identifier	data		450855	0					
ANR	450933	ReturnType	wchar_t *		450855	1					
ANR	450934	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B1Source		450855	2					
ANR	450935	ParameterList	wchar_t * data		450855	3					
ANR	450936	Parameter	wchar_t * data	51:73:1842:1855	450855	0	True				
ANR	450937	ParameterType	wchar_t *		450855	0					
ANR	450938	Identifier	data		450855	1					
ANR	450939	CFGEntryNode	ENTRY		450855		True				
ANR	450940	CFGExitNode	EXIT		450855		True				
ANR	450941	Symbol	malloc		450855						
ANR	450942	Symbol	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B1Global		450855						
ANR	450943	Symbol	NULL		450855						
ANR	450944	Symbol	data		450855						
ANR	450945	Symbol	dataBuffer		450855						
ANR	450946	Function	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B2Source	73:0:2556:3090							
ANR	450947	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B2Source (wchar_t * data)		450946	0					
ANR	450948	CompoundStatement		74:0:2646:3090	450946	0					
ANR	450949	IfStatement	if ( CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B2Global )		450946	0					
ANR	450950	Condition	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B2Global	75:7:2656:2717	450946	0	True				
ANR	450951	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_loop_22_goodG2B2Global		450946	0					
ANR	450952	CompoundStatement		3:4:78:78	450946	1					
ANR	450953	CompoundStatement		5:12:104:165	450946	0					
ANR	450954	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	78:12:2751:2812	450946	0	True				
ANR	450955	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		450946	0					
ANR	450956	IdentifierDeclType	wchar_t *		450946	0					
ANR	450957	Identifier	dataBuffer		450946	1					
ANR	450958	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		450946	2		=			
ANR	450959	Identifier	dataBuffer		450946	0					
