command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	459954	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-300-c/testcases/000/235/042/CWE127_Buffer_Underread__malloc_wchar_t_memcpy_11.c								
ANR	459955	Function	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_11_bad	23:0:634:1675							
ANR	459956	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_11_bad ()		459955	0					
ANR	459957	CompoundStatement		24:0:696:1675	459955	0					
ANR	459958	IdentifierDeclStatement	wchar_t * data ;	25:4:703:717	459955	0	True				
ANR	459959	IdentifierDecl	* data		459955	0					
ANR	459960	IdentifierDeclType	wchar_t *		459955	0					
ANR	459961	Identifier	data		459955	1					
ANR	459962	ExpressionStatement	data = NULL	26:4:724:735	459955	1	True				
ANR	459963	AssignmentExpression	data = NULL		459955	0		=			
ANR	459964	Identifier	data		459955	0					
ANR	459965	Identifier	NULL		459955	1					
ANR	459966	IfStatement	if ( globalReturnsTrue ( ) )		459955	2					
ANR	459967	Condition	globalReturnsTrue ( )	27:7:745:763	459955	0	True				
ANR	459968	CallExpression	globalReturnsTrue ( )		459955	0					
ANR	459969	Callee	globalReturnsTrue		459955	0					
ANR	459970	Identifier	globalReturnsTrue		459955	0					
ANR	459971	ArgumentList			459955	1					
ANR	459972	CompoundStatement		5:4:74:74	459955	1					
ANR	459973	CompoundStatement		7:12:100:161	459955	0					
ANR	459974	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	30:12:797:858	459955	0	True				
ANR	459975	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		459955	0					
ANR	459976	IdentifierDeclType	wchar_t *		459955	0					
ANR	459977	Identifier	dataBuffer		459955	1					
ANR	459978	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		459955	2		=			
ANR	459979	Identifier	dataBuffer		459955	0					
ANR	459980	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		459955	1					
ANR	459981	CastTarget	wchar_t *		459955	0					
ANR	459982	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		459955	1					
ANR	459983	Callee	malloc		459955	0					
ANR	459984	Identifier	malloc		459955	0					
ANR	459985	ArgumentList	100 * sizeof ( wchar_t )		459955	1					
