command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	464863	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-300-c/testcases/000/235/051/CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22b.c								
ANR	464864	DeclStmt									
ANR	464865	Decl							extern int	extern int	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_badGlobal
ANR	464866	Function	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_badSource	26:0:843:1383							
ANR	464867	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_badSource (wchar_t * data)		464866	0					
ANR	464868	CompoundStatement		27:0:930:1383	464866	0					
ANR	464869	IfStatement	if ( CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_badGlobal )		464866	0					
ANR	464870	Condition	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_badGlobal	28:7:940:998	464866	0	True				
ANR	464871	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_badGlobal		464866	0					
ANR	464872	CompoundStatement		3:4:75:75	464866	1					
ANR	464873	CompoundStatement		5:12:101:162	464866	0					
ANR	464874	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	31:12:1032:1093	464866	0	True				
ANR	464875	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		464866	0					
ANR	464876	IdentifierDeclType	wchar_t *		464866	0					
ANR	464877	Identifier	dataBuffer		464866	1					
ANR	464878	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		464866	2		=			
ANR	464879	Identifier	dataBuffer		464866	0					
ANR	464880	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		464866	1					
ANR	464881	CastTarget	wchar_t *		464866	0					
ANR	464882	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		464866	1					
ANR	464883	Callee	malloc		464866	0					
ANR	464884	Identifier	malloc		464866	0					
ANR	464885	ArgumentList	100 * sizeof ( wchar_t )		464866	1					
ANR	464886	Argument	100 * sizeof ( wchar_t )		464866	0					
ANR	464887	MultiplicativeExpression	100 * sizeof ( wchar_t )		464866	0		*			
ANR	464888	PrimaryExpression	100		464866	0					
ANR	464889	SizeofExpression	sizeof ( wchar_t )		464866	1					
ANR	464890	Sizeof	sizeof		464866	0					
ANR	464891	SizeofOperand	wchar_t		464866	1					
ANR	464892	IfStatement	if ( dataBuffer == NULL )		464866	1					
ANR	464893	Condition	dataBuffer == NULL	32:16:1112:1129	464866	0	True				
ANR	464894	EqualityExpression	dataBuffer == NULL		464866	0		==			
ANR	464895	Identifier	dataBuffer		464866	0					
ANR	464896	Identifier	NULL		464866	1					
ANR	464897	CompoundStatement		6:36:201:201	464866	1					
ANR	464898	ExpressionStatement	exit ( - 1 )	32:37:1133:1141	464866	0	True				
ANR	464899	CallExpression	exit ( - 1 )		464866	0					
ANR	464900	Callee	exit		464866	0					
ANR	464901	Identifier	exit		464866	0					
ANR	464902	ArgumentList	- 1		464866	1					
ANR	464903	Argument	- 1		464866	0					
ANR	464904	UnaryOperationExpression	- 1		464866	0					
ANR	464905	UnaryOperator	-		464866	0					
ANR	464906	PrimaryExpression	1		464866	1					
ANR	464907	Statement	wmemset	33:12:1156:1162	464866	2	True				
ANR	464908	Statement	(	33:19:1163:1163	464866	3	True				
ANR	464909	Statement	dataBuffer	33:20:1164:1173	464866	4	True				
ANR	464910	Statement	","	33:30:1174:1174	464866	5	True				
ANR	464911	Statement	L	33:32:1176:1176	464866	6	True				
ANR	464912	Statement	'A'	33:33:1177:1179	464866	7	True				
ANR	464913	Statement	","	33:36:1180:1180	464866	8	True				
ANR	464914	Statement	100	33:38:1182:1184	464866	9	True				
ANR	464915	Statement	-	33:41:1185:1185	464866	10	True				
ANR	464916	Statement	1	33:42:1186:1186	464866	11	True				
ANR	464917	Statement	)	33:43:1187:1187	464866	12	True				
ANR	464918	ExpressionStatement		33:44:1188:1188	464866	13	True				
ANR	464919	Statement	dataBuffer	34:12:1203:1212	464866	14	True				
ANR	464920	Statement	[	34:22:1213:1213	464866	15	True				
ANR	464921	Statement	100	34:23:1214:1216	464866	16	True				
ANR	464922	Statement	-	34:26:1217:1217	464866	17	True				
ANR	464923	Statement	1	34:27:1218:1218	464866	18	True				
ANR	464924	Statement	]	34:28:1219:1219	464866	19	True				
ANR	464925	Statement	=	34:30:1221:1221	464866	20	True				
ANR	464926	Statement	L	34:32:1223:1223	464866	21	True				
ANR	464927	ExpressionStatement	'\\0'	34:33:1224:1228	464866	22	True				
ANR	464928	PrimaryExpression	'\\0'		464866	0					
ANR	464929	ExpressionStatement	data = dataBuffer - 8	36:12:1323:1344	464866	23	True				
ANR	464930	AssignmentExpression	data = dataBuffer - 8		464866	0		=			
ANR	464931	Identifier	data		464866	0					
ANR	464932	AdditiveExpression	dataBuffer - 8		464866	1		-			
ANR	464933	Identifier	dataBuffer		464866	0					
ANR	464934	PrimaryExpression	8		464866	1					
ANR	464935	ReturnStatement	return data ;	39:4:1369:1380	464866	1	True				
ANR	464936	Identifier	data		464866	0					
ANR	464937	ReturnType	wchar_t *		464866	1					
ANR	464938	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_badSource		464866	2					
ANR	464939	ParameterList	wchar_t * data		464866	3					
ANR	464940	Parameter	wchar_t * data	26:70:913:926	464866	0	True				
ANR	464941	ParameterType	wchar_t *		464866	0					
ANR	464942	Identifier	data		464866	1					
ANR	464943	CFGEntryNode	ENTRY		464866		True				
ANR	464944	CFGExitNode	EXIT		464866		True				
ANR	464945	Symbol	malloc		464866						
ANR	464946	Symbol	NULL		464866						
ANR	464947	Symbol	data		464866						
ANR	464948	Symbol	dataBuffer		464866						
ANR	464949	Symbol	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_badGlobal		464866						
ANR	464950	DeclStmt									
ANR	464951	Decl							extern int	extern int	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B1Global
ANR	464952	DeclStmt									
ANR	464953	Decl							extern int	extern int	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B2Global
ANR	464954	Function	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B1Source	51:0:1783:2465							
ANR	464955	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B1Source (wchar_t * data)		464954	0					
ANR	464956	CompoundStatement		52:0:1875:2465	464954	0					
ANR	464957	IfStatement	if ( CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B1Global )		464954	0					
ANR	464958	Condition	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B1Global	53:7:1885:1948	464954	0	True				
ANR	464959	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B1Global		464954	0					
ANR	464960	CompoundStatement		3:4:80:80	464954	1					
ANR	464961	ExpressionStatement	"printLine ( ""Benign, fixed string"" )"	56:8:2043:2076	464954	0	True				
ANR	464962	CallExpression	"printLine ( ""Benign, fixed string"" )"		464954	0					
ANR	464963	Callee	printLine		464954	0					
ANR	464964	Identifier	printLine		464954	0					
ANR	464965	ArgumentList	"""Benign, fixed string"""		464954	1					
ANR	464966	Argument	"""Benign, fixed string"""		464954	0					
ANR	464967	PrimaryExpression	"""Benign, fixed string"""		464954	0					
ANR	464968	ElseStatement	else		464954	0					
ANR	464969	CompoundStatement		8:4:224:224	464954	0					
ANR	464970	CompoundStatement		10:12:250:311	464954	0					
ANR	464971	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	61:12:2126:2187	464954	0	True				
ANR	464972	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		464954	0					
ANR	464973	IdentifierDeclType	wchar_t *		464954	0					
ANR	464974	Identifier	dataBuffer		464954	1					
ANR	464975	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		464954	2		=			
ANR	464976	Identifier	dataBuffer		464954	0					
ANR	464977	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		464954	1					
ANR	464978	CastTarget	wchar_t *		464954	0					
ANR	464979	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		464954	1					
ANR	464980	Callee	malloc		464954	0					
ANR	464981	Identifier	malloc		464954	0					
ANR	464982	ArgumentList	100 * sizeof ( wchar_t )		464954	1					
ANR	464983	Argument	100 * sizeof ( wchar_t )		464954	0					
ANR	464984	MultiplicativeExpression	100 * sizeof ( wchar_t )		464954	0		*			
ANR	464985	PrimaryExpression	100		464954	0					
ANR	464986	SizeofExpression	sizeof ( wchar_t )		464954	1					
ANR	464987	Sizeof	sizeof		464954	0					
ANR	464988	SizeofOperand	wchar_t		464954	1					
ANR	464989	IfStatement	if ( dataBuffer == NULL )		464954	1					
ANR	464990	Condition	dataBuffer == NULL	62:16:2206:2223	464954	0	True				
ANR	464991	EqualityExpression	dataBuffer == NULL		464954	0		==			
ANR	464992	Identifier	dataBuffer		464954	0					
ANR	464993	Identifier	NULL		464954	1					
ANR	464994	CompoundStatement		11:36:350:350	464954	1					
ANR	464995	ExpressionStatement	exit ( - 1 )	62:37:2227:2235	464954	0	True				
ANR	464996	CallExpression	exit ( - 1 )		464954	0					
ANR	464997	Callee	exit		464954	0					
ANR	464998	Identifier	exit		464954	0					
ANR	464999	ArgumentList	- 1		464954	1					
ANR	465000	Argument	- 1		464954	0					
ANR	465001	UnaryOperationExpression	- 1		464954	0					
ANR	465002	UnaryOperator	-		464954	0					
ANR	465003	PrimaryExpression	1		464954	1					
ANR	465004	Statement	wmemset	63:12:2250:2256	464954	2	True				
ANR	465005	Statement	(	63:19:2257:2257	464954	3	True				
ANR	465006	Statement	dataBuffer	63:20:2258:2267	464954	4	True				
ANR	465007	Statement	","	63:30:2268:2268	464954	5	True				
ANR	465008	Statement	L	63:32:2270:2270	464954	6	True				
ANR	465009	Statement	'A'	63:33:2271:2273	464954	7	True				
ANR	465010	Statement	","	63:36:2274:2274	464954	8	True				
ANR	465011	Statement	100	63:38:2276:2278	464954	9	True				
ANR	465012	Statement	-	63:41:2279:2279	464954	10	True				
ANR	465013	Statement	1	63:42:2280:2280	464954	11	True				
ANR	465014	Statement	)	63:43:2281:2281	464954	12	True				
ANR	465015	ExpressionStatement		63:44:2282:2282	464954	13	True				
ANR	465016	Statement	dataBuffer	64:12:2297:2306	464954	14	True				
ANR	465017	Statement	[	64:22:2307:2307	464954	15	True				
ANR	465018	Statement	100	64:23:2308:2310	464954	16	True				
ANR	465019	Statement	-	64:26:2311:2311	464954	17	True				
ANR	465020	Statement	1	64:27:2312:2312	464954	18	True				
ANR	465021	Statement	]	64:28:2313:2313	464954	19	True				
ANR	465022	Statement	=	64:30:2315:2315	464954	20	True				
ANR	465023	Statement	L	64:32:2317:2317	464954	21	True				
ANR	465024	ExpressionStatement	'\\0'	64:33:2318:2322	464954	22	True				
ANR	465025	PrimaryExpression	'\\0'		464954	0					
ANR	465026	ExpressionStatement	data = dataBuffer	66:12:2409:2426	464954	23	True				
ANR	465027	AssignmentExpression	data = dataBuffer		464954	0		=			
ANR	465028	Identifier	data		464954	0					
ANR	465029	Identifier	dataBuffer		464954	1					
ANR	465030	ReturnStatement	return data ;	69:4:2451:2462	464954	1	True				
ANR	465031	Identifier	data		464954	0					
ANR	465032	ReturnType	wchar_t *		464954	1					
ANR	465033	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B1Source		464954	2					
ANR	465034	ParameterList	wchar_t * data		464954	3					
ANR	465035	Parameter	wchar_t * data	51:75:1858:1871	464954	0	True				
ANR	465036	ParameterType	wchar_t *		464954	0					
ANR	465037	Identifier	data		464954	1					
ANR	465038	CFGEntryNode	ENTRY		464954		True				
ANR	465039	CFGExitNode	EXIT		464954		True				
ANR	465040	Symbol	malloc		464954						
ANR	465041	Symbol	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B1Global		464954						
ANR	465042	Symbol	NULL		464954						
ANR	465043	Symbol	data		464954						
ANR	465044	Symbol	dataBuffer		464954						
ANR	465045	Function	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B2Source	73:0:2574:3112							
ANR	465046	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B2Source (wchar_t * data)		465045	0					
ANR	465047	CompoundStatement		74:0:2666:3112	465045	0					
ANR	465048	IfStatement	if ( CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B2Global )		465045	0					
ANR	465049	Condition	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B2Global	75:7:2676:2739	465045	0	True				
ANR	465050	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B2Global		465045	0					
ANR	465051	CompoundStatement		3:4:80:80	465045	1					
ANR	465052	CompoundStatement		5:12:106:167	465045	0					
ANR	465053	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	78:12:2773:2834	465045	0	True				
ANR	465054	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		465045	0					
ANR	465055	IdentifierDeclType	wchar_t *		465045	0					
ANR	465056	Identifier	dataBuffer		465045	1					
ANR	465057	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		465045	2		=			
ANR	465058	Identifier	dataBuffer		465045	0					
ANR	465059	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		465045	1					
ANR	465060	CastTarget	wchar_t *		465045	0					
ANR	465061	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		465045	1					
ANR	465062	Callee	malloc		465045	0					
ANR	465063	Identifier	malloc		465045	0					
ANR	465064	ArgumentList	100 * sizeof ( wchar_t )		465045	1					
ANR	465065	Argument	100 * sizeof ( wchar_t )		465045	0					
ANR	465066	MultiplicativeExpression	100 * sizeof ( wchar_t )		465045	0		*			
ANR	465067	PrimaryExpression	100		465045	0					
ANR	465068	SizeofExpression	sizeof ( wchar_t )		465045	1					
ANR	465069	Sizeof	sizeof		465045	0					
ANR	465070	SizeofOperand	wchar_t		465045	1					
ANR	465071	IfStatement	if ( dataBuffer == NULL )		465045	1					
ANR	465072	Condition	dataBuffer == NULL	79:16:2853:2870	465045	0	True				
ANR	465073	EqualityExpression	dataBuffer == NULL		465045	0		==			
ANR	465074	Identifier	dataBuffer		465045	0					
ANR	465075	Identifier	NULL		465045	1					
ANR	465076	CompoundStatement		6:36:206:206	465045	1					
ANR	465077	ExpressionStatement	exit ( - 1 )	79:37:2874:2882	465045	0	True				
ANR	465078	CallExpression	exit ( - 1 )		465045	0					
ANR	465079	Callee	exit		465045	0					
ANR	465080	Identifier	exit		465045	0					
ANR	465081	ArgumentList	- 1		465045	1					
ANR	465082	Argument	- 1		465045	0					
ANR	465083	UnaryOperationExpression	- 1		465045	0					
ANR	465084	UnaryOperator	-		465045	0					
ANR	465085	PrimaryExpression	1		465045	1					
ANR	465086	Statement	wmemset	80:12:2897:2903	465045	2	True				
ANR	465087	Statement	(	80:19:2904:2904	465045	3	True				
ANR	465088	Statement	dataBuffer	80:20:2905:2914	465045	4	True				
ANR	465089	Statement	","	80:30:2915:2915	465045	5	True				
ANR	465090	Statement	L	80:32:2917:2917	465045	6	True				
ANR	465091	Statement	'A'	80:33:2918:2920	465045	7	True				
ANR	465092	Statement	","	80:36:2921:2921	465045	8	True				
ANR	465093	Statement	100	80:38:2923:2925	465045	9	True				
ANR	465094	Statement	-	80:41:2926:2926	465045	10	True				
ANR	465095	Statement	1	80:42:2927:2927	465045	11	True				
ANR	465096	Statement	)	80:43:2928:2928	465045	12	True				
ANR	465097	ExpressionStatement		80:44:2929:2929	465045	13	True				
ANR	465098	Statement	dataBuffer	81:12:2944:2953	465045	14	True				
ANR	465099	Statement	[	81:22:2954:2954	465045	15	True				
ANR	465100	Statement	100	81:23:2955:2957	465045	16	True				
ANR	465101	Statement	-	81:26:2958:2958	465045	17	True				
ANR	465102	Statement	1	81:27:2959:2959	465045	18	True				
ANR	465103	Statement	]	81:28:2960:2960	465045	19	True				
ANR	465104	Statement	=	81:30:2962:2962	465045	20	True				
ANR	465105	Statement	L	81:32:2964:2964	465045	21	True				
ANR	465106	ExpressionStatement	'\\0'	81:33:2965:2969	465045	22	True				
ANR	465107	PrimaryExpression	'\\0'		465045	0					
ANR	465108	ExpressionStatement	data = dataBuffer	83:12:3056:3073	465045	23	True				
ANR	465109	AssignmentExpression	data = dataBuffer		465045	0		=			
ANR	465110	Identifier	data		465045	0					
ANR	465111	Identifier	dataBuffer		465045	1					
ANR	465112	ReturnStatement	return data ;	86:4:3098:3109	465045	1	True				
ANR	465113	Identifier	data		465045	0					
ANR	465114	ReturnType	wchar_t *		465045	1					
ANR	465115	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B2Source		465045	2					
ANR	465116	ParameterList	wchar_t * data		465045	3					
ANR	465117	Parameter	wchar_t * data	73:75:2649:2662	465045	0	True				
ANR	465118	ParameterType	wchar_t *		465045	0					
ANR	465119	Identifier	data		465045	1					
ANR	465120	CFGEntryNode	ENTRY		465045		True				
ANR	465121	CFGExitNode	EXIT		465045		True				
ANR	465122	Symbol	malloc		465045						
ANR	465123	Symbol	NULL		465045						
ANR	465124	Symbol	data		465045						
ANR	465125	Symbol	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_22_goodG2B2Global		465045						
ANR	465126	Symbol	dataBuffer		465045						
