command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	468110	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-300-c/testcases/000/235/061/CWE127_Buffer_Underread__malloc_wchar_t_memcpy_61a.c								
ANR	468111	DeclStmt									
ANR	468112	Decl							wchar_t	wchar_t * ( wchar_t * data )	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_61b_badSource
ANR	468113	Function	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_61_bad	26:0:773:1502							
ANR	468114	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_61_bad ()		468113	0					
ANR	468115	CompoundStatement		27:0:835:1502	468113	0					
ANR	468116	IdentifierDeclStatement	wchar_t * data ;	28:4:842:856	468113	0	True				
ANR	468117	IdentifierDecl	* data		468113	0					
ANR	468118	IdentifierDeclType	wchar_t *		468113	0					
ANR	468119	Identifier	data		468113	1					
ANR	468120	ExpressionStatement	data = NULL	29:4:863:874	468113	1	True				
ANR	468121	AssignmentExpression	data = NULL		468113	0		=			
ANR	468122	Identifier	data		468113	0					
ANR	468123	Identifier	NULL		468113	1					
ANR	468124	ExpressionStatement	data = CWE127_Buffer_Underread__malloc_wchar_t_memcpy_61b_badSource ( data )	30:4:881:954	468113	2	True				
ANR	468125	AssignmentExpression	data = CWE127_Buffer_Underread__malloc_wchar_t_memcpy_61b_badSource ( data )		468113	0		=			
ANR	468126	Identifier	data		468113	0					
ANR	468127	CallExpression	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_61b_badSource ( data )		468113	1					
ANR	468128	Callee	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_61b_badSource		468113	0					
ANR	468129	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_memcpy_61b_badSource		468113	0					
ANR	468130	ArgumentList	data		468113	1					
ANR	468131	Argument	data		468113	0					
ANR	468132	Identifier	data		468113	0					
ANR	468133	CompoundStatement		6:8:136:153	468113	3					
ANR	468134	IdentifierDeclStatement	wchar_t dest [ 100 ] ;	32:8:972:989	468113	0	True				
ANR	468135	IdentifierDecl	dest [ 100 ]		468113	0					
ANR	468136	IdentifierDeclType	wchar_t [ 100 ]		468113	0					
ANR	468137	Identifier	dest		468113	1					
ANR	468138	PrimaryExpression	100		468113	2					
ANR	468139	Statement	wmemset	33:8:1000:1006	468113	1	True				
ANR	468140	Statement	(	33:15:1007:1007	468113	2	True				
ANR	468141	Statement	dest	33:16:1008:1011	468113	3	True				
ANR	468142	Statement	","	33:20:1012:1012	468113	4	True				
ANR	468143	Statement	L	33:22:1014:1014	468113	5	True				
ANR	468144	Statement	'C'	33:23:1015:1017	468113	6	True				
ANR	468145	Statement	","	33:26:1018:1018	468113	7	True				
ANR	468146	Statement	100	33:28:1020:1022	468113	8	True				
ANR	468147	Statement	-	33:31:1023:1023	468113	9	True				
ANR	468148	Statement	1	33:32:1024:1024	468113	10	True				
ANR	468149	Statement	)	33:33:1025:1025	468113	11	True				
ANR	468150	ExpressionStatement		33:34:1026:1026	468113	12	True				
ANR	468151	Statement	dest	34:8:1058:1061	468113	13	True				
ANR	468152	Statement	[	34:12:1062:1062	468113	14	True				
ANR	468153	Statement	100	34:13:1063:1065	468113	15	True				
ANR	468154	Statement	-	34:16:1066:1066	468113	16	True				
ANR	468155	Statement	1	34:17:1067:1067	468113	17	True				
ANR	468156	Statement	]	34:18:1068:1068	468113	18	True				
