start	end	type	var
474384	474385	IS_AST_PARENT	
474384	474386	IS_AST_PARENT	
474383	474384	IS_AST_PARENT	
474382	474383	IS_AST_PARENT	
474388	474389	IS_AST_PARENT	
474388	474390	IS_AST_PARENT	
474387	474388	IS_AST_PARENT	
474382	474387	IS_AST_PARENT	
474394	474395	IS_AST_PARENT	
474393	474394	IS_AST_PARENT	
474393	474396	IS_AST_PARENT	
474392	474393	IS_AST_PARENT	
474391	474392	IS_AST_PARENT	
474400	474401	IS_AST_PARENT	
474400	474402	IS_AST_PARENT	
474403	474404	IS_AST_PARENT	
474405	474406	IS_AST_PARENT	
474408	474409	IS_AST_PARENT	
474407	474408	IS_AST_PARENT	
474412	474413	IS_AST_PARENT	
474414	474415	IS_AST_PARENT	
474414	474416	IS_AST_PARENT	
474412	474414	IS_AST_PARENT	
474411	474412	IS_AST_PARENT	
474410	474411	IS_AST_PARENT	
474407	474410	IS_AST_PARENT	
474405	474407	IS_AST_PARENT	
474403	474405	IS_AST_PARENT	
474400	474403	IS_AST_PARENT	
474399	474400	IS_AST_PARENT	
474398	474399	IS_AST_PARENT	
474419	474420	IS_AST_PARENT	
474419	474421	IS_AST_PARENT	
474418	474419	IS_AST_PARENT	
474417	474418	IS_AST_PARENT	
474425	474426	IS_AST_PARENT	
474424	474425	IS_AST_PARENT	
474429	474430	IS_AST_PARENT	
474429	474431	IS_AST_PARENT	
474428	474429	IS_AST_PARENT	
474427	474428	IS_AST_PARENT	
474424	474427	IS_AST_PARENT	
474423	474424	IS_AST_PARENT	
474422	474423	IS_AST_PARENT	
474417	474422	IS_AST_PARENT	
474398	474417	IS_AST_PARENT	
474398	474432	IS_AST_PARENT	
474398	474433	IS_AST_PARENT	
474398	474434	IS_AST_PARENT	
474398	474435	IS_AST_PARENT	
474398	474436	IS_AST_PARENT	
474398	474437	IS_AST_PARENT	
474398	474438	IS_AST_PARENT	
474398	474439	IS_AST_PARENT	
474398	474440	IS_AST_PARENT	
474398	474441	IS_AST_PARENT	
474398	474442	IS_AST_PARENT	
474398	474443	IS_AST_PARENT	
474398	474444	IS_AST_PARENT	
474398	474445	IS_AST_PARENT	
474398	474446	IS_AST_PARENT	
