command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	478353	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-300-c/testcases/000/235/084/CWE127_Buffer_Underread__malloc_wchar_t_memmove_22a.c								
ANR	478354	DeclStmt									
ANR	478355	Decl							int	int	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badGlobal
ANR	478356	DeclStmt									
ANR	478357	Decl							wchar_t	wchar_t * ( wchar_t * data )	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badSource
ANR	478358	Function	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_bad	28:0:935:1748							
ANR	478359	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_bad ()		478358	0					
ANR	478360	CompoundStatement		29:0:998:1748	478358	0					
ANR	478361	IdentifierDeclStatement	wchar_t * data ;	30:4:1005:1019	478358	0	True				
ANR	478362	IdentifierDecl	* data		478358	0					
ANR	478363	IdentifierDeclType	wchar_t *		478358	0					
ANR	478364	Identifier	data		478358	1					
ANR	478365	ExpressionStatement	data = NULL	31:4:1026:1037	478358	1	True				
ANR	478366	AssignmentExpression	data = NULL		478358	0		=			
ANR	478367	Identifier	data		478358	0					
ANR	478368	Identifier	NULL		478358	1					
ANR	478369	ExpressionStatement	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badGlobal = 1	32:4:1044:1108	478358	2	True				
ANR	478370	AssignmentExpression	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badGlobal = 1		478358	0		=			
ANR	478371	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badGlobal		478358	0					
ANR	478372	PrimaryExpression	1		478358	1					
ANR	478373	ExpressionStatement	data = CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badSource ( data )	33:4:1126:1199	478358	3	True				
ANR	478374	AssignmentExpression	data = CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badSource ( data )		478358	0		=			
ANR	478375	Identifier	data		478358	0					
ANR	478376	CallExpression	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badSource ( data )		478358	1					
ANR	478377	Callee	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badSource		478358	0					
ANR	478378	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badSource		478358	0					
ANR	478379	ArgumentList	data		478358	1					
ANR	478380	Argument	data		478358	0					
ANR	478381	Identifier	data		478358	0					
ANR	478382	CompoundStatement		7:8:218:235	478358	4					
ANR	478383	IdentifierDeclStatement	wchar_t dest [ 100 ] ;	35:8:1217:1234	478358	0	True				
ANR	478384	IdentifierDecl	dest [ 100 ]		478358	0					
ANR	478385	IdentifierDeclType	wchar_t [ 100 ]		478358	0					
ANR	478386	Identifier	dest		478358	1					
ANR	478387	PrimaryExpression	100		478358	2					
ANR	478388	Statement	wmemset	36:8:1245:1251	478358	1	True				
ANR	478389	Statement	(	36:15:1252:1252	478358	2	True				
ANR	478390	Statement	dest	36:16:1253:1256	478358	3	True				
ANR	478391	Statement	","	36:20:1257:1257	478358	4	True				
ANR	478392	Statement	L	36:22:1259:1259	478358	5	True				
ANR	478393	Statement	'C'	36:23:1260:1262	478358	6	True				
ANR	478394	Statement	","	36:26:1263:1263	478358	7	True				
ANR	478395	Statement	100	36:28:1265:1267	478358	8	True				
