command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	478738	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-300-c/testcases/000/235/084/CWE127_Buffer_Underread__malloc_wchar_t_memmove_22b.c								
ANR	478739	DeclStmt									
ANR	478740	Decl							extern int	extern int	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badGlobal
ANR	478741	Function	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badSource	26:0:847:1389							
ANR	478742	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badSource (wchar_t * data)		478741	0					
ANR	478743	CompoundStatement		27:0:935:1389	478741	0					
ANR	478744	IfStatement	if ( CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badGlobal )		478741	0					
ANR	478745	Condition	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badGlobal	28:7:945:1004	478741	0	True				
ANR	478746	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_memmove_22_badGlobal		478741	0					
ANR	478747	CompoundStatement		3:4:76:76	478741	1					
ANR	478748	CompoundStatement		5:12:102:163	478741	0					
ANR	478749	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	31:12:1038:1099	478741	0	True				
ANR	478750	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		478741	0					
ANR	478751	IdentifierDeclType	wchar_t *		478741	0					
ANR	478752	Identifier	dataBuffer		478741	1					
ANR	478753	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		478741	2		=			
ANR	478754	Identifier	dataBuffer		478741	0					
ANR	478755	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		478741	1					
ANR	478756	CastTarget	wchar_t *		478741	0					
ANR	478757	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		478741	1					
ANR	478758	Callee	malloc		478741	0					
ANR	478759	Identifier	malloc		478741	0					
ANR	478760	ArgumentList	100 * sizeof ( wchar_t )		478741	1					
ANR	478761	Argument	100 * sizeof ( wchar_t )		478741	0					
ANR	478762	MultiplicativeExpression	100 * sizeof ( wchar_t )		478741	0		*			
ANR	478763	PrimaryExpression	100		478741	0					
ANR	478764	SizeofExpression	sizeof ( wchar_t )		478741	1					
ANR	478765	Sizeof	sizeof		478741	0					
ANR	478766	SizeofOperand	wchar_t		478741	1					
ANR	478767	IfStatement	if ( dataBuffer == NULL )		478741	1					
ANR	478768	Condition	dataBuffer == NULL	32:16:1118:1135	478741	0	True				
ANR	478769	EqualityExpression	dataBuffer == NULL		478741	0		==			
ANR	478770	Identifier	dataBuffer		478741	0					
ANR	478771	Identifier	NULL		478741	1					
ANR	478772	CompoundStatement		6:36:202:202	478741	1					
ANR	478773	ExpressionStatement	exit ( - 1 )	32:37:1139:1147	478741	0	True				
ANR	478774	CallExpression	exit ( - 1 )		478741	0					
ANR	478775	Callee	exit		478741	0					
ANR	478776	Identifier	exit		478741	0					
ANR	478777	ArgumentList	- 1		478741	1					
ANR	478778	Argument	- 1		478741	0					
ANR	478779	UnaryOperationExpression	- 1		478741	0					
ANR	478780	UnaryOperator	-		478741	0					
ANR	478781	PrimaryExpression	1		478741	1					
ANR	478782	Statement	wmemset	33:12:1162:1168	478741	2	True				
ANR	478783	Statement	(	33:19:1169:1169	478741	3	True				
ANR	478784	Statement	dataBuffer	33:20:1170:1179	478741	4	True				
ANR	478785	Statement	","	33:30:1180:1180	478741	5	True				
ANR	478786	Statement	L	33:32:1182:1182	478741	6	True				
ANR	478787	Statement	'A'	33:33:1183:1185	478741	7	True				
ANR	478788	Statement	","	33:36:1186:1186	478741	8	True				
