command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	481129	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-300-c/testcases/000/235/092/CWE127_Buffer_Underread__malloc_wchar_t_memmove_44.c								
ANR	481130	Function	badSink	23:0:703:1289							
ANR	481131	FunctionDef	badSink (wchar_t * data)		481130	0					
ANR	481132	CompoundStatement		24:0:740:1289	481130	0					
ANR	481133	CompoundStatement		3:8:17:34	481130	0					
ANR	481134	IdentifierDeclStatement	wchar_t dest [ 100 ] ;	26:8:758:775	481130	0	True				
ANR	481135	IdentifierDecl	dest [ 100 ]		481130	0					
ANR	481136	IdentifierDeclType	wchar_t [ 100 ]		481130	0					
ANR	481137	Identifier	dest		481130	1					
ANR	481138	PrimaryExpression	100		481130	2					
ANR	481139	Statement	wmemset	27:8:786:792	481130	1	True				
ANR	481140	Statement	(	27:15:793:793	481130	2	True				
ANR	481141	Statement	dest	27:16:794:797	481130	3	True				
ANR	481142	Statement	","	27:20:798:798	481130	4	True				
ANR	481143	Statement	L	27:22:800:800	481130	5	True				
ANR	481144	Statement	'C'	27:23:801:803	481130	6	True				
ANR	481145	Statement	","	27:26:804:804	481130	7	True				
ANR	481146	Statement	100	27:28:806:808	481130	8	True				
ANR	481147	Statement	-	27:31:809:809	481130	9	True				
ANR	481148	Statement	1	27:32:810:810	481130	10	True				
ANR	481149	Statement	)	27:33:811:811	481130	11	True				
ANR	481150	ExpressionStatement		27:34:812:812	481130	12	True				
ANR	481151	Statement	dest	28:8:844:847	481130	13	True				
ANR	481152	Statement	[	28:12:848:848	481130	14	True				
ANR	481153	Statement	100	28:13:849:851	481130	15	True				
ANR	481154	Statement	-	28:16:852:852	481130	16	True				
ANR	481155	Statement	1	28:17:853:853	481130	17	True				
ANR	481156	Statement	]	28:18:854:854	481130	18	True				
ANR	481157	Statement	=	28:20:856:856	481130	19	True				
ANR	481158	Statement	L	28:22:858:858	481130	20	True				
ANR	481159	ExpressionStatement	'\\0'	28:23:859:863	481130	21	True				
ANR	481160	PrimaryExpression	'\\0'		481130	0					
ANR	481161	ExpressionStatement	"memmove ( dest , data , 100 * sizeof ( wchar_t ) )"	30:8:996:1036	481130	22	True				
ANR	481162	CallExpression	"memmove ( dest , data , 100 * sizeof ( wchar_t ) )"		481130	0					
ANR	481163	Callee	memmove		481130	0					
ANR	481164	Identifier	memmove		481130	0					
ANR	481165	ArgumentList	dest		481130	1					
ANR	481166	Argument	dest		481130	0					
ANR	481167	Identifier	dest		481130	0					
ANR	481168	Argument	data		481130	1					
ANR	481169	Identifier	data		481130	0					
ANR	481170	Argument	100 * sizeof ( wchar_t )		481130	2					
ANR	481171	MultiplicativeExpression	100 * sizeof ( wchar_t )		481130	0		*			
ANR	481172	PrimaryExpression	100		481130	0					
ANR	481173	SizeofExpression	sizeof ( wchar_t )		481130	1					
ANR	481174	Sizeof	sizeof		481130	0					
ANR	481175	SizeofOperand	wchar_t		481130	1					
ANR	481176	Statement	dest	32:8:1086:1089	481130	23	True				
ANR	481177	Statement	[	32:12:1090:1090	481130	24	True				
ANR	481178	Statement	100	32:13:1091:1093	481130	25	True				
ANR	481179	Statement	-	32:16:1094:1094	481130	26	True				
ANR	481180	Statement	1	32:17:1095:1095	481130	27	True				
ANR	481181	Statement	]	32:18:1096:1096	481130	28	True				
ANR	481182	Statement	=	32:20:1098:1098	481130	29	True				
ANR	481183	Statement	L	32:22:1100:1100	481130	30	True				
ANR	481184	ExpressionStatement	'\\0'	32:23:1101:1105	481130	31	True				
ANR	481185	PrimaryExpression	'\\0'		481130	0					
ANR	481186	ExpressionStatement	printWLine ( dest )	33:8:1116:1132	481130	32	True				
ANR	481187	CallExpression	printWLine ( dest )		481130	0					
ANR	481188	Callee	printWLine		481130	0					
ANR	481189	Identifier	printWLine		481130	0					
ANR	481190	ArgumentList	dest		481130	1					
ANR	481191	Argument	dest		481130	0					
ANR	481192	Identifier	dest		481130	0					
ANR	481193	ReturnType	static void		481130	1					
ANR	481194	Identifier	badSink		481130	2					
ANR	481195	ParameterList	wchar_t * data		481130	3					
ANR	481196	Parameter	wchar_t * data	23:20:723:736	481130	0	True				
ANR	481197	ParameterType	wchar_t *		481130	0					
ANR	481198	Identifier	data		481130	1					
ANR	481199	CFGEntryNode	ENTRY		481130		True				
ANR	481200	CFGExitNode	EXIT		481130		True				
ANR	481201	Symbol	data		481130						
ANR	481202	Symbol	dest		481130						
ANR	481203	Function	CWE127_Buffer_Underread__malloc_wchar_t_memmove_44_bad	39:0:1294:1853							
ANR	481204	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_memmove_44_bad ()		481203	0					
ANR	481205	CompoundStatement		40:0:1357:1853	481203	0					
ANR	481206	IdentifierDeclStatement	wchar_t * data ;	41:4:1364:1378	481203	0	True				
ANR	481207	IdentifierDecl	* data		481203	0					
ANR	481208	IdentifierDeclType	wchar_t *		481203	0					
ANR	481209	Identifier	data		481203	1					
ANR	481210	IdentifierDeclStatement	void ( * funcPtr ) ( wchar_t * ) = badSink ;	43:4:1422:1459	481203	1	True				
ANR	481211	IdentifierDecl	( * funcPtr ) ( wchar_t * ) = badSink		481203	0					
ANR	481212	IdentifierDeclType	void ( * ) ( wchar_t * )		481203	0					
ANR	481213	Identifier	funcPtr		481203	1					
ANR	481214	AssignmentExpression	( * funcPtr ) ( wchar_t * ) = badSink		481203	2		=			
ANR	481215	Identifier	badSink		481203	0					
ANR	481216	Identifier	badSink		481203	1					
ANR	481217	ExpressionStatement	data = NULL	44:4:1466:1477	481203	2	True				
ANR	481218	AssignmentExpression	data = NULL		481203	0		=			
ANR	481219	Identifier	data		481203	0					
ANR	481220	Identifier	NULL		481203	1					
ANR	481221	CompoundStatement		7:8:137:198	481203	3					
ANR	481222	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	46:8:1495:1556	481203	0	True				
ANR	481223	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		481203	0					
ANR	481224	IdentifierDeclType	wchar_t *		481203	0					
ANR	481225	Identifier	dataBuffer		481203	1					
ANR	481226	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		481203	2		=			
ANR	481227	Identifier	dataBuffer		481203	0					
ANR	481228	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		481203	1					
ANR	481229	CastTarget	wchar_t *		481203	0					
ANR	481230	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		481203	1					
ANR	481231	Callee	malloc		481203	0					
ANR	481232	Identifier	malloc		481203	0					
ANR	481233	ArgumentList	100 * sizeof ( wchar_t )		481203	1					
ANR	481234	Argument	100 * sizeof ( wchar_t )		481203	0					
ANR	481235	MultiplicativeExpression	100 * sizeof ( wchar_t )		481203	0		*			
ANR	481236	PrimaryExpression	100		481203	0					
ANR	481237	SizeofExpression	sizeof ( wchar_t )		481203	1					
ANR	481238	Sizeof	sizeof		481203	0					
ANR	481239	SizeofOperand	wchar_t		481203	1					
ANR	481240	IfStatement	if ( dataBuffer == NULL )		481203	1					
ANR	481241	Condition	dataBuffer == NULL	47:12:1571:1588	481203	0	True				
ANR	481242	EqualityExpression	dataBuffer == NULL		481203	0		==			
ANR	481243	Identifier	dataBuffer		481203	0					
ANR	481244	Identifier	NULL		481203	1					
ANR	481245	CompoundStatement		8:32:233:233	481203	1					
ANR	481246	ExpressionStatement	exit ( - 1 )	47:33:1592:1600	481203	0	True				
ANR	481247	CallExpression	exit ( - 1 )		481203	0					
ANR	481248	Callee	exit		481203	0					
ANR	481249	Identifier	exit		481203	0					
ANR	481250	ArgumentList	- 1		481203	1					
ANR	481251	Argument	- 1		481203	0					
ANR	481252	UnaryOperationExpression	- 1		481203	0					
ANR	481253	UnaryOperator	-		481203	0					
ANR	481254	PrimaryExpression	1		481203	1					
ANR	481255	Statement	wmemset	48:8:1611:1617	481203	2	True				
ANR	481256	Statement	(	48:15:1618:1618	481203	3	True				
ANR	481257	Statement	dataBuffer	48:16:1619:1628	481203	4	True				
ANR	481258	Statement	","	48:26:1629:1629	481203	5	True				
