start	end	type	var
482259	482260	IS_AST_PARENT	
482259	482261	IS_AST_PARENT	
482262	482263	IS_AST_PARENT	
482264	482265	IS_AST_PARENT	
482267	482268	IS_AST_PARENT	
482266	482267	IS_AST_PARENT	
482271	482272	IS_AST_PARENT	
482273	482274	IS_AST_PARENT	
482273	482275	IS_AST_PARENT	
482271	482273	IS_AST_PARENT	
482270	482271	IS_AST_PARENT	
482269	482270	IS_AST_PARENT	
482266	482269	IS_AST_PARENT	
482264	482266	IS_AST_PARENT	
482262	482264	IS_AST_PARENT	
482259	482262	IS_AST_PARENT	
482258	482259	IS_AST_PARENT	
482257	482258	IS_AST_PARENT	
482278	482279	IS_AST_PARENT	
482278	482280	IS_AST_PARENT	
482277	482278	IS_AST_PARENT	
482276	482277	IS_AST_PARENT	
482284	482285	IS_AST_PARENT	
482283	482284	IS_AST_PARENT	
482288	482289	IS_AST_PARENT	
482288	482290	IS_AST_PARENT	
482287	482288	IS_AST_PARENT	
482286	482287	IS_AST_PARENT	
482283	482286	IS_AST_PARENT	
482282	482283	IS_AST_PARENT	
482281	482282	IS_AST_PARENT	
482276	482281	IS_AST_PARENT	
482257	482276	IS_AST_PARENT	
482257	482291	IS_AST_PARENT	
482257	482292	IS_AST_PARENT	
482257	482293	IS_AST_PARENT	
482257	482294	IS_AST_PARENT	
482257	482295	IS_AST_PARENT	
482257	482296	IS_AST_PARENT	
482257	482297	IS_AST_PARENT	
482257	482298	IS_AST_PARENT	
482257	482299	IS_AST_PARENT	
482257	482300	IS_AST_PARENT	
482257	482301	IS_AST_PARENT	
482257	482302	IS_AST_PARENT	
482257	482303	IS_AST_PARENT	
482257	482304	IS_AST_PARENT	
482257	482305	IS_AST_PARENT	
482257	482306	IS_AST_PARENT	
482257	482307	IS_AST_PARENT	
482257	482308	IS_AST_PARENT	
482257	482309	IS_AST_PARENT	
482257	482310	IS_AST_PARENT	
482311	482312	IS_AST_PARENT	
482257	482311	IS_AST_PARENT	
482314	482315	IS_AST_PARENT	
482316	482317	IS_AST_PARENT	
482316	482318	IS_AST_PARENT	
482314	482316	IS_AST_PARENT	
482313	482314	IS_AST_PARENT	
482257	482313	IS_AST_PARENT	
482256	482257	IS_AST_PARENT	
482319	482320	IS_AST_PARENT	
482256	482319	IS_AST_PARENT	
482255	482256	IS_AST_PARENT	
482255	482321	IS_AST_PARENT	
482255	482322	IS_AST_PARENT	
482324	482325	IS_AST_PARENT	
