command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	490510	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-300-c/testcases/000/235/113/CWE127_Buffer_Underread__malloc_wchar_t_ncpy_16.c								
ANR	490511	Function	CWE127_Buffer_Underread__malloc_wchar_t_ncpy_16_bad	23:0:587:1621							
ANR	490512	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_ncpy_16_bad ()		490511	0					
ANR	490513	CompoundStatement		24:0:647:1621	490511	0					
ANR	490514	IdentifierDeclStatement	wchar_t * data ;	25:4:654:668	490511	0	True				
ANR	490515	IdentifierDecl	* data		490511	0					
ANR	490516	IdentifierDeclType	wchar_t *		490511	0					
ANR	490517	Identifier	data		490511	1					
ANR	490518	ExpressionStatement	data = NULL	26:4:675:686	490511	1	True				
ANR	490519	AssignmentExpression	data = NULL		490511	0		=			
ANR	490520	Identifier	data		490511	0					
ANR	490521	Identifier	NULL		490511	1					
ANR	490522	WhileStatement	while ( 1 )		490511	2					
ANR	490523	Condition	1	27:10:699:699	490511	0	True				
ANR	490524	PrimaryExpression	1		490511	0					
ANR	490525	CompoundStatement		5:4:59:59	490511	1					
ANR	490526	CompoundStatement		7:12:85:146	490511	0					
ANR	490527	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	30:12:733:794	490511	0	True				
ANR	490528	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		490511	0					
ANR	490529	IdentifierDeclType	wchar_t *		490511	0					
ANR	490530	Identifier	dataBuffer		490511	1					
ANR	490531	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		490511	2		=			
ANR	490532	Identifier	dataBuffer		490511	0					
ANR	490533	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		490511	1					
ANR	490534	CastTarget	wchar_t *		490511	0					
ANR	490535	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		490511	1					
ANR	490536	Callee	malloc		490511	0					
ANR	490537	Identifier	malloc		490511	0					
ANR	490538	ArgumentList	100 * sizeof ( wchar_t )		490511	1					
ANR	490539	Argument	100 * sizeof ( wchar_t )		490511	0					
ANR	490540	MultiplicativeExpression	100 * sizeof ( wchar_t )		490511	0		*			
ANR	490541	PrimaryExpression	100		490511	0					
ANR	490542	SizeofExpression	sizeof ( wchar_t )		490511	1					
ANR	490543	Sizeof	sizeof		490511	0					
ANR	490544	SizeofOperand	wchar_t		490511	1					
ANR	490545	IfStatement	if ( dataBuffer == NULL )		490511	1					
ANR	490546	Condition	dataBuffer == NULL	31:16:813:830	490511	0	True				
ANR	490547	EqualityExpression	dataBuffer == NULL		490511	0		==			
ANR	490548	Identifier	dataBuffer		490511	0					
ANR	490549	Identifier	NULL		490511	1					
ANR	490550	CompoundStatement		8:36:185:185	490511	1					
ANR	490551	ExpressionStatement	exit ( - 1 )	31:37:834:842	490511	0	True				
ANR	490552	CallExpression	exit ( - 1 )		490511	0					
ANR	490553	Callee	exit		490511	0					
ANR	490554	Identifier	exit		490511	0					
ANR	490555	ArgumentList	- 1		490511	1					
ANR	490556	Argument	- 1		490511	0					
ANR	490557	UnaryOperationExpression	- 1		490511	0					
ANR	490558	UnaryOperator	-		490511	0					
ANR	490559	PrimaryExpression	1		490511	1					
ANR	490560	Statement	wmemset	32:12:857:863	490511	2	True				
ANR	490561	Statement	(	32:19:864:864	490511	3	True				
ANR	490562	Statement	dataBuffer	32:20:865:874	490511	4	True				
ANR	490563	Statement	","	32:30:875:875	490511	5	True				
ANR	490564	Statement	L	32:32:877:877	490511	6	True				
ANR	490565	Statement	'A'	32:33:878:880	490511	7	True				
ANR	490566	Statement	","	32:36:881:881	490511	8	True				
ANR	490567	Statement	100	32:38:883:885	490511	9	True				
ANR	490568	Statement	-	32:41:886:886	490511	10	True				
ANR	490569	Statement	1	32:42:887:887	490511	11	True				
ANR	490570	Statement	)	32:43:888:888	490511	12	True				
ANR	490571	ExpressionStatement		32:44:889:889	490511	13	True				
ANR	490572	Statement	dataBuffer	33:12:904:913	490511	14	True				
ANR	490573	Statement	[	33:22:914:914	490511	15	True				
ANR	490574	Statement	100	33:23:915:917	490511	16	True				
ANR	490575	Statement	-	33:26:918:918	490511	17	True				
ANR	490576	Statement	1	33:27:919:919	490511	18	True				
ANR	490577	Statement	]	33:28:920:920	490511	19	True				
ANR	490578	Statement	=	33:30:922:922	490511	20	True				
ANR	490579	Statement	L	33:32:924:924	490511	21	True				
ANR	490580	ExpressionStatement	'\\0'	33:33:925:929	490511	22	True				
ANR	490581	PrimaryExpression	'\\0'		490511	0					
ANR	490582	ExpressionStatement	data = dataBuffer - 8	35:12:1024:1045	490511	23	True				
ANR	490583	AssignmentExpression	data = dataBuffer - 8		490511	0		=			
