command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	499575	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-400-c/testcases/000/234/901/CWE127_Buffer_Underread__malloc_char_memmove_02.c								
ANR	499576	Function	CWE127_Buffer_Underread__malloc_char_memmove_02_bad	23:0:597:1593							
ANR	499577	FunctionDef	CWE127_Buffer_Underread__malloc_char_memmove_02_bad ()		499576	0					
ANR	499578	CompoundStatement		24:0:657:1593	499576	0					
ANR	499579	IdentifierDeclStatement	char * data ;	25:4:664:675	499576	0	True				
ANR	499580	IdentifierDecl	* data		499576	0					
ANR	499581	IdentifierDeclType	char *		499576	0					
ANR	499582	Identifier	data		499576	1					
ANR	499583	ExpressionStatement	data = NULL	26:4:682:693	499576	1	True				
ANR	499584	AssignmentExpression	data = NULL		499576	0		=			
ANR	499585	Identifier	data		499576	0					
ANR	499586	Identifier	NULL		499576	1					
ANR	499587	IfStatement	if ( 1 )		499576	2					
ANR	499588	Condition	1	27:7:703:703	499576	0	True				
ANR	499589	PrimaryExpression	1		499576	0					
ANR	499590	CompoundStatement		5:4:53:53	499576	1					
ANR	499591	CompoundStatement		7:12:79:131	499576	0					
ANR	499592	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	30:12:737:789	499576	0	True				
ANR	499593	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		499576	0					
ANR	499594	IdentifierDeclType	char *		499576	0					
ANR	499595	Identifier	dataBuffer		499576	1					
ANR	499596	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		499576	2		=			
ANR	499597	Identifier	dataBuffer		499576	0					
ANR	499598	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		499576	1					
ANR	499599	CastTarget	char *		499576	0					
ANR	499600	CallExpression	malloc ( 100 * sizeof ( char ) )		499576	1					
ANR	499601	Callee	malloc		499576	0					
ANR	499602	Identifier	malloc		499576	0					
ANR	499603	ArgumentList	100 * sizeof ( char )		499576	1					
ANR	499604	Argument	100 * sizeof ( char )		499576	0					
ANR	499605	MultiplicativeExpression	100 * sizeof ( char )		499576	0		*			
ANR	499606	PrimaryExpression	100		499576	0					
ANR	499607	SizeofExpression	sizeof ( char )		499576	1					
ANR	499608	Sizeof	sizeof		499576	0					
ANR	499609	SizeofOperand	char		499576	1					
ANR	499610	IfStatement	if ( dataBuffer == NULL )		499576	1					
ANR	499611	Condition	dataBuffer == NULL	31:16:808:825	499576	0	True				
ANR	499612	EqualityExpression	dataBuffer == NULL		499576	0		==			
ANR	499613	Identifier	dataBuffer		499576	0					
ANR	499614	Identifier	NULL		499576	1					
ANR	499615	CompoundStatement		8:36:170:170	499576	1					
ANR	499616	ExpressionStatement	exit ( - 1 )	31:37:829:837	499576	0	True				
ANR	499617	CallExpression	exit ( - 1 )		499576	0					
ANR	499618	Callee	exit		499576	0					
ANR	499619	Identifier	exit		499576	0					
ANR	499620	ArgumentList	- 1		499576	1					
ANR	499621	Argument	- 1		499576	0					
ANR	499622	UnaryOperationExpression	- 1		499576	0					
ANR	499623	UnaryOperator	-		499576	0					
ANR	499624	PrimaryExpression	1		499576	1					
ANR	499625	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	32:12:852:882	499576	2	True				
ANR	499626	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		499576	0					
ANR	499627	Callee	memset		499576	0					
ANR	499628	Identifier	memset		499576	0					
ANR	499629	ArgumentList	dataBuffer		499576	1					
