command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	514392	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-400-c/testcases/000/234/936/CWE127_Buffer_Underread__malloc_char_ncpy_04.c								
ANR	514393	DeclStmt									
ANR	514394	Decl							const int	const int	STATIC_CONST_TRUE
ANR	514395	DeclStmt									
ANR	514396	Decl							const int	const int	STATIC_CONST_FALSE
ANR	514397	Function	CWE127_Buffer_Underread__malloc_char_ncpy_04_bad	30:0:897:1902							
ANR	514398	FunctionDef	CWE127_Buffer_Underread__malloc_char_ncpy_04_bad ()		514397	0					
ANR	514399	CompoundStatement		31:0:954:1902	514397	0					
ANR	514400	IdentifierDeclStatement	char * data ;	32:4:961:972	514397	0	True				
ANR	514401	IdentifierDecl	* data		514397	0					
ANR	514402	IdentifierDeclType	char *		514397	0					
ANR	514403	Identifier	data		514397	1					
ANR	514404	ExpressionStatement	data = NULL	33:4:979:990	514397	1	True				
ANR	514405	AssignmentExpression	data = NULL		514397	0		=			
ANR	514406	Identifier	data		514397	0					
ANR	514407	Identifier	NULL		514397	1					
ANR	514408	IfStatement	if ( STATIC_CONST_TRUE )		514397	2					
ANR	514409	Condition	STATIC_CONST_TRUE	34:7:1000:1016	514397	0	True				
ANR	514410	Identifier	STATIC_CONST_TRUE		514397	0					
ANR	514411	CompoundStatement		5:4:69:69	514397	1					
ANR	514412	CompoundStatement		7:12:95:147	514397	0					
ANR	514413	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	37:12:1050:1102	514397	0	True				
ANR	514414	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		514397	0					
ANR	514415	IdentifierDeclType	char *		514397	0					
ANR	514416	Identifier	dataBuffer		514397	1					
ANR	514417	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		514397	2		=			
ANR	514418	Identifier	dataBuffer		514397	0					
ANR	514419	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		514397	1					
ANR	514420	CastTarget	char *		514397	0					
ANR	514421	CallExpression	malloc ( 100 * sizeof ( char ) )		514397	1					
ANR	514422	Callee	malloc		514397	0					
ANR	514423	Identifier	malloc		514397	0					
ANR	514424	ArgumentList	100 * sizeof ( char )		514397	1					
ANR	514425	Argument	100 * sizeof ( char )		514397	0					
ANR	514426	MultiplicativeExpression	100 * sizeof ( char )		514397	0		*			
ANR	514427	PrimaryExpression	100		514397	0					
ANR	514428	SizeofExpression	sizeof ( char )		514397	1					
ANR	514429	Sizeof	sizeof		514397	0					
ANR	514430	SizeofOperand	char		514397	1					
ANR	514431	IfStatement	if ( dataBuffer == NULL )		514397	1					
ANR	514432	Condition	dataBuffer == NULL	38:16:1121:1138	514397	0	True				
ANR	514433	EqualityExpression	dataBuffer == NULL		514397	0		==			
ANR	514434	Identifier	dataBuffer		514397	0					
ANR	514435	Identifier	NULL		514397	1					
ANR	514436	CompoundStatement		8:36:186:186	514397	1					
ANR	514437	ExpressionStatement	exit ( - 1 )	38:37:1142:1150	514397	0	True				
ANR	514438	CallExpression	exit ( - 1 )		514397	0					
ANR	514439	Callee	exit		514397	0					
ANR	514440	Identifier	exit		514397	0					
ANR	514441	ArgumentList	- 1		514397	1					
ANR	514442	Argument	- 1		514397	0					
ANR	514443	UnaryOperationExpression	- 1		514397	0					
ANR	514444	UnaryOperator	-		514397	0					
ANR	514445	PrimaryExpression	1		514397	1					
ANR	514446	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	39:12:1165:1195	514397	2	True				
ANR	514447	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		514397	0					
ANR	514448	Callee	memset		514397	0					
ANR	514449	Identifier	memset		514397	0					
ANR	514450	ArgumentList	dataBuffer		514397	1					
ANR	514451	Argument	dataBuffer		514397	0					
ANR	514452	Identifier	dataBuffer		514397	0					
ANR	514453	Argument	'A'		514397	1					
ANR	514454	PrimaryExpression	'A'		514397	0					
ANR	514455	Argument	100 - 1		514397	2					
ANR	514456	AdditiveExpression	100 - 1		514397	0		-			
ANR	514457	PrimaryExpression	100		514397	0					
ANR	514458	PrimaryExpression	1		514397	1					
ANR	514459	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	40:12:1210:1234	514397	3	True				
ANR	514460	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		514397	0		=			
ANR	514461	ArrayIndexing	dataBuffer [ 100 - 1 ]		514397	0					
ANR	514462	Identifier	dataBuffer		514397	0					
ANR	514463	AdditiveExpression	100 - 1		514397	1		-			
ANR	514464	PrimaryExpression	100		514397	0					
ANR	514465	PrimaryExpression	1		514397	1					
ANR	514466	PrimaryExpression	'\\0'		514397	1					
ANR	514467	ExpressionStatement	data = dataBuffer - 8	42:12:1329:1350	514397	4	True				
ANR	514468	AssignmentExpression	data = dataBuffer - 8		514397	0		=			
ANR	514469	Identifier	data		514397	0					
ANR	514470	AdditiveExpression	dataBuffer - 8		514397	1		-			
ANR	514471	Identifier	dataBuffer		514397	0					
ANR	514472	PrimaryExpression	8		514397	1					
ANR	514473	CompoundStatement		16:8:431:445	514397	3					
ANR	514474	IdentifierDeclStatement	char dest [ 100 ] ;	46:8:1386:1400	514397	0	True				
ANR	514475	IdentifierDecl	dest [ 100 ]		514397	0					
ANR	514476	IdentifierDeclType	char [ 100 ]		514397	0					
ANR	514477	Identifier	dest		514397	1					
ANR	514478	PrimaryExpression	100		514397	2					
ANR	514479	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	47:8:1411:1435	514397	1	True				
ANR	514480	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		514397	0					
ANR	514481	Callee	memset		514397	0					
ANR	514482	Identifier	memset		514397	0					
ANR	514483	ArgumentList	dest		514397	1					
ANR	514484	Argument	dest		514397	0					
ANR	514485	Identifier	dest		514397	0					
ANR	514486	Argument	'C'		514397	1					
