command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	530793	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-400-c/testcases/000/234/974/CWE127_Buffer_Underread__malloc_wchar_t_cpy_09.c								
ANR	530794	Function	CWE127_Buffer_Underread__malloc_wchar_t_cpy_09_bad	23:0:624:1576							
ANR	530795	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_cpy_09_bad ()		530794	0					
ANR	530796	CompoundStatement		24:0:683:1576	530794	0					
ANR	530797	IdentifierDeclStatement	wchar_t * data ;	25:4:690:704	530794	0	True				
ANR	530798	IdentifierDecl	* data		530794	0					
ANR	530799	IdentifierDeclType	wchar_t *		530794	0					
ANR	530800	Identifier	data		530794	1					
ANR	530801	ExpressionStatement	data = NULL	26:4:711:722	530794	1	True				
ANR	530802	AssignmentExpression	data = NULL		530794	0		=			
ANR	530803	Identifier	data		530794	0					
ANR	530804	Identifier	NULL		530794	1					
ANR	530805	IfStatement	if ( GLOBAL_CONST_TRUE )		530794	2					
ANR	530806	Condition	GLOBAL_CONST_TRUE	27:7:732:748	530794	0	True				
ANR	530807	Identifier	GLOBAL_CONST_TRUE		530794	0					
ANR	530808	CompoundStatement		5:4:72:72	530794	1					
ANR	530809	CompoundStatement		7:12:98:159	530794	0					
ANR	530810	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	30:12:782:843	530794	0	True				
ANR	530811	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		530794	0					
ANR	530812	IdentifierDeclType	wchar_t *		530794	0					
ANR	530813	Identifier	dataBuffer		530794	1					
ANR	530814	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		530794	2		=			
ANR	530815	Identifier	dataBuffer		530794	0					
ANR	530816	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		530794	1					
ANR	530817	CastTarget	wchar_t *		530794	0					
ANR	530818	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		530794	1					
ANR	530819	Callee	malloc		530794	0					
ANR	530820	Identifier	malloc		530794	0					
ANR	530821	ArgumentList	100 * sizeof ( wchar_t )		530794	1					
ANR	530822	Argument	100 * sizeof ( wchar_t )		530794	0					
ANR	530823	MultiplicativeExpression	100 * sizeof ( wchar_t )		530794	0		*			
ANR	530824	PrimaryExpression	100		530794	0					
ANR	530825	SizeofExpression	sizeof ( wchar_t )		530794	1					
ANR	530826	Sizeof	sizeof		530794	0					
ANR	530827	SizeofOperand	wchar_t		530794	1					
ANR	530828	IfStatement	if ( dataBuffer == NULL )		530794	1					
ANR	530829	Condition	dataBuffer == NULL	31:16:862:879	530794	0	True				
ANR	530830	EqualityExpression	dataBuffer == NULL		530794	0		==			
ANR	530831	Identifier	dataBuffer		530794	0					
ANR	530832	Identifier	NULL		530794	1					
ANR	530833	CompoundStatement		8:36:198:198	530794	1					
ANR	530834	ExpressionStatement	exit ( - 1 )	31:37:883:891	530794	0	True				
ANR	530835	CallExpression	exit ( - 1 )		530794	0					
ANR	530836	Callee	exit		530794	0					
ANR	530837	Identifier	exit		530794	0					
ANR	530838	ArgumentList	- 1		530794	1					
ANR	530839	Argument	- 1		530794	0					
ANR	530840	UnaryOperationExpression	- 1		530794	0					
ANR	530841	UnaryOperator	-		530794	0					
ANR	530842	PrimaryExpression	1		530794	1					
ANR	530843	Statement	wmemset	32:12:906:912	530794	2	True				
ANR	530844	Statement	(	32:19:913:913	530794	3	True				
ANR	530845	Statement	dataBuffer	32:20:914:923	530794	4	True				
ANR	530846	Statement	","	32:30:924:924	530794	5	True				
ANR	530847	Statement	L	32:32:926:926	530794	6	True				
ANR	530848	Statement	'A'	32:33:927:929	530794	7	True				
ANR	530849	Statement	","	32:36:930:930	530794	8	True				
ANR	530850	Statement	100	32:38:932:934	530794	9	True				
ANR	530851	Statement	-	32:41:935:935	530794	10	True				
ANR	530852	Statement	1	32:42:936:936	530794	11	True				
ANR	530853	Statement	)	32:43:937:937	530794	12	True				
ANR	530854	ExpressionStatement		32:44:938:938	530794	13	True				
ANR	530855	Statement	dataBuffer	33:12:953:962	530794	14	True				
ANR	530856	Statement	[	33:22:963:963	530794	15	True				
ANR	530857	Statement	100	33:23:964:966	530794	16	True				
ANR	530858	Statement	-	33:26:967:967	530794	17	True				
ANR	530859	Statement	1	33:27:968:968	530794	18	True				
ANR	530860	Statement	]	33:28:969:969	530794	19	True				
ANR	530861	Statement	=	33:30:971:971	530794	20	True				
ANR	530862	Statement	L	33:32:973:973	530794	21	True				
ANR	530863	ExpressionStatement	'\\0'	33:33:974:978	530794	22	True				
ANR	530864	PrimaryExpression	'\\0'		530794	0					
ANR	530865	ExpressionStatement	data = dataBuffer - 8	35:12:1073:1094	530794	23	True				
ANR	530866	AssignmentExpression	data = dataBuffer - 8		530794	0		=			
ANR	530867	Identifier	data		530794	0					
ANR	530868	AdditiveExpression	dataBuffer - 8		530794	1		-			
ANR	530869	Identifier	dataBuffer		530794	0					
ANR	530870	PrimaryExpression	8		530794	1					
ANR	530871	CompoundStatement		16:8:446:465	530794	3					
ANR	530872	IdentifierDeclStatement	wchar_t dest [ 100 * 2 ] ;	39:8:1130:1149	530794	0	True				
ANR	530873	IdentifierDecl	dest [ 100 * 2 ]		530794	0					
ANR	530874	IdentifierDeclType	wchar_t [ 100 * 2 ]		530794	0					
ANR	530875	Identifier	dest		530794	1					
ANR	530876	MultiplicativeExpression	100 * 2		530794	2		*			
ANR	530877	PrimaryExpression	100		530794	0					
ANR	530878	PrimaryExpression	2		530794	1					
ANR	530879	Statement	wmemset	40:8:1160:1166	530794	1	True				
ANR	530880	Statement	(	40:15:1167:1167	530794	2	True				
ANR	530881	Statement	dest	40:16:1168:1171	530794	3	True				
ANR	530882	Statement	","	40:20:1172:1172	530794	4	True				
ANR	530883	Statement	L	40:22:1174:1174	530794	5	True				
ANR	530884	Statement	'C'	40:23:1175:1177	530794	6	True				
ANR	530885	Statement	","	40:26:1178:1178	530794	7	True				
ANR	530886	Statement	100	40:28:1180:1182	530794	8	True				
ANR	530887	Statement	*	40:31:1183:1183	530794	9	True				
ANR	530888	Statement	2	40:32:1184:1184	530794	10	True				
ANR	530889	Statement	-	40:33:1185:1185	530794	11	True				
ANR	530890	Statement	1	40:34:1186:1186	530794	12	True				
ANR	530891	Statement	)	40:35:1187:1187	530794	13	True				
ANR	530892	ExpressionStatement		40:36:1188:1188	530794	14	True				
ANR	530893	Statement	dest	41:8:1220:1223	530794	15	True				
ANR	530894	Statement	[	41:12:1224:1224	530794	16	True				
ANR	530895	Statement	100	41:13:1225:1227	530794	17	True				
ANR	530896	Statement	*	41:16:1228:1228	530794	18	True				
ANR	530897	Statement	2	41:17:1229:1229	530794	19	True				
ANR	530898	Statement	-	41:18:1230:1230	530794	20	True				
ANR	530899	Statement	1	41:19:1231:1231	530794	21	True				
ANR	530900	Statement	]	41:20:1232:1232	530794	22	True				
ANR	530901	Statement	=	41:22:1234:1234	530794	23	True				
