command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	536109	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-400-c/testcases/000/234/985/CWE127_Buffer_Underread__malloc_wchar_t_cpy_22a.c								
ANR	536110	DeclStmt									
ANR	536111	Decl							int	int	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badGlobal
ANR	536112	DeclStmt									
ANR	536113	Decl							wchar_t	wchar_t * ( wchar_t * data )	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badSource
ANR	536114	Function	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_bad	28:0:918:1634							
ANR	536115	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_bad ()		536114	0					
ANR	536116	CompoundStatement		29:0:977:1634	536114	0					
ANR	536117	IdentifierDeclStatement	wchar_t * data ;	30:4:984:998	536114	0	True				
ANR	536118	IdentifierDecl	* data		536114	0					
ANR	536119	IdentifierDeclType	wchar_t *		536114	0					
ANR	536120	Identifier	data		536114	1					
ANR	536121	ExpressionStatement	data = NULL	31:4:1005:1016	536114	1	True				
ANR	536122	AssignmentExpression	data = NULL		536114	0		=			
ANR	536123	Identifier	data		536114	0					
ANR	536124	Identifier	NULL		536114	1					
ANR	536125	ExpressionStatement	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badGlobal = 1	32:4:1023:1083	536114	2	True				
ANR	536126	AssignmentExpression	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badGlobal = 1		536114	0		=			
ANR	536127	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badGlobal		536114	0					
ANR	536128	PrimaryExpression	1		536114	1					
ANR	536129	ExpressionStatement	data = CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badSource ( data )	33:4:1101:1170	536114	3	True				
ANR	536130	AssignmentExpression	data = CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badSource ( data )		536114	0		=			
ANR	536131	Identifier	data		536114	0					
ANR	536132	CallExpression	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badSource ( data )		536114	1					
ANR	536133	Callee	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badSource		536114	0					
ANR	536134	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badSource		536114	0					
ANR	536135	ArgumentList	data		536114	1					
ANR	536136	Argument	data		536114	0					
ANR	536137	Identifier	data		536114	0					
ANR	536138	CompoundStatement		7:8:210:229	536114	4					
ANR	536139	IdentifierDeclStatement	wchar_t dest [ 100 * 2 ] ;	35:8:1188:1207	536114	0	True				
ANR	536140	IdentifierDecl	dest [ 100 * 2 ]		536114	0					
ANR	536141	IdentifierDeclType	wchar_t [ 100 * 2 ]		536114	0					
ANR	536142	Identifier	dest		536114	1					
ANR	536143	MultiplicativeExpression	100 * 2		536114	2		*			
ANR	536144	PrimaryExpression	100		536114	0					
ANR	536145	PrimaryExpression	2		536114	1					
ANR	536146	Statement	wmemset	36:8:1218:1224	536114	1	True				
ANR	536147	Statement	(	36:15:1225:1225	536114	2	True				
ANR	536148	Statement	dest	36:16:1226:1229	536114	3	True				
ANR	536149	Statement	","	36:20:1230:1230	536114	4	True				
ANR	536150	Statement	L	36:22:1232:1232	536114	5	True				
ANR	536151	Statement	'C'	36:23:1233:1235	536114	6	True				
ANR	536152	Statement	","	36:26:1236:1236	536114	7	True				
ANR	536153	Statement	100	36:28:1238:1240	536114	8	True				
ANR	536154	Statement	*	36:31:1241:1241	536114	9	True				
ANR	536155	Statement	2	36:32:1242:1242	536114	10	True				
ANR	536156	Statement	-	36:33:1243:1243	536114	11	True				
ANR	536157	Statement	1	36:34:1244:1244	536114	12	True				
ANR	536158	Statement	)	36:35:1245:1245	536114	13	True				
ANR	536159	ExpressionStatement		36:36:1246:1246	536114	14	True				
ANR	536160	Statement	dest	37:8:1278:1281	536114	15	True				
ANR	536161	Statement	[	37:12:1282:1282	536114	16	True				
ANR	536162	Statement	100	37:13:1283:1285	536114	17	True				
ANR	536163	Statement	*	37:16:1286:1286	536114	18	True				
ANR	536164	Statement	2	37:17:1287:1287	536114	19	True				
ANR	536165	Statement	-	37:18:1288:1288	536114	20	True				
ANR	536166	Statement	1	37:19:1289:1289	536114	21	True				
ANR	536167	Statement	]	37:20:1290:1290	536114	22	True				
ANR	536168	Statement	=	37:22:1292:1292	536114	23	True				
ANR	536169	Statement	L	37:24:1294:1294	536114	24	True				
ANR	536170	ExpressionStatement	'\\0'	37:25:1295:1299	536114	25	True				
ANR	536171	PrimaryExpression	'\\0'		536114	0					
ANR	536172	ExpressionStatement	"wcscpy ( dest , data )"	39:8:1432:1450	536114	26	True				
ANR	536173	CallExpression	"wcscpy ( dest , data )"		536114	0					
ANR	536174	Callee	wcscpy		536114	0					
ANR	536175	Identifier	wcscpy		536114	0					
ANR	536176	ArgumentList	dest		536114	1					
ANR	536177	Argument	dest		536114	0					
ANR	536178	Identifier	dest		536114	0					
ANR	536179	Argument	data		536114	1					
ANR	536180	Identifier	data		536114	0					
ANR	536181	ExpressionStatement	printWLine ( dest )	40:8:1461:1477	536114	27	True				
ANR	536182	CallExpression	printWLine ( dest )		536114	0					
ANR	536183	Callee	printWLine		536114	0					
ANR	536184	Identifier	printWLine		536114	0					
ANR	536185	ArgumentList	dest		536114	1					
ANR	536186	Argument	dest		536114	0					
ANR	536187	Identifier	dest		536114	0					
ANR	536188	ReturnType	void		536114	1					
ANR	536189	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_bad		536114	2					
ANR	536190	ParameterList			536114	3					
ANR	536191	CFGEntryNode	ENTRY		536114		True				
ANR	536192	CFGExitNode	EXIT		536114		True				
ANR	536193	Symbol	NULL		536114						
ANR	536194	Symbol	data		536114						
ANR	536195	Symbol	dest		536114						
ANR	536196	Symbol	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badGlobal		536114						
ANR	536197	Symbol	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badSource		536114						
ANR	536198	DeclStmt									
ANR	536199	Decl							int	int	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_goodG2B1Global
ANR	536200	DeclStmt									
ANR	536201	Decl							int	int	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_goodG2B2Global
ANR	536202	DeclStmt									
ANR	536203	Decl							wchar_t	wchar_t * ( wchar_t * data )	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_goodG2B1Source
ANR	536204	Function	goodG2B1	57:0:2114:2806							
ANR	536205	FunctionDef	goodG2B1 ()		536204	0					
ANR	536206	CompoundStatement		58:0:2138:2806	536204	0					
ANR	536207	IdentifierDeclStatement	wchar_t * data ;	59:4:2145:2159	536204	0	True				
ANR	536208	IdentifierDecl	* data		536204	0					
