command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	536464	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-400-c/testcases/000/234/985/CWE127_Buffer_Underread__malloc_wchar_t_cpy_22b.c								
ANR	536465	DeclStmt									
ANR	536466	Decl							extern int	extern int	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badGlobal
ANR	536467	Function	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badSource	26:0:834:1368							
ANR	536468	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badSource (wchar_t * data)		536467	0					
ANR	536469	CompoundStatement		27:0:918:1368	536467	0					
ANR	536470	IfStatement	if ( CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badGlobal )		536467	0					
ANR	536471	Condition	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badGlobal	28:7:928:983	536467	0	True				
ANR	536472	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_cpy_22_badGlobal		536467	0					
ANR	536473	CompoundStatement		3:4:72:72	536467	1					
ANR	536474	CompoundStatement		5:12:98:159	536467	0					
ANR	536475	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	31:12:1017:1078	536467	0	True				
ANR	536476	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		536467	0					
ANR	536477	IdentifierDeclType	wchar_t *		536467	0					
ANR	536478	Identifier	dataBuffer		536467	1					
ANR	536479	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		536467	2		=			
ANR	536480	Identifier	dataBuffer		536467	0					
ANR	536481	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		536467	1					
ANR	536482	CastTarget	wchar_t *		536467	0					
ANR	536483	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		536467	1					
ANR	536484	Callee	malloc		536467	0					
ANR	536485	Identifier	malloc		536467	0					
ANR	536486	ArgumentList	100 * sizeof ( wchar_t )		536467	1					
ANR	536487	Argument	100 * sizeof ( wchar_t )		536467	0					
ANR	536488	MultiplicativeExpression	100 * sizeof ( wchar_t )		536467	0		*			
ANR	536489	PrimaryExpression	100		536467	0					
ANR	536490	SizeofExpression	sizeof ( wchar_t )		536467	1					
ANR	536491	Sizeof	sizeof		536467	0					
ANR	536492	SizeofOperand	wchar_t		536467	1					
ANR	536493	IfStatement	if ( dataBuffer == NULL )		536467	1					
ANR	536494	Condition	dataBuffer == NULL	32:16:1097:1114	536467	0	True				
ANR	536495	EqualityExpression	dataBuffer == NULL		536467	0		==			
ANR	536496	Identifier	dataBuffer		536467	0					
ANR	536497	Identifier	NULL		536467	1					
ANR	536498	CompoundStatement		6:36:198:198	536467	1					
