start	end	type	var
542133	542134	IS_AST_PARENT	
542133	542135	IS_AST_PARENT	
542132	542133	IS_AST_PARENT	
542131	542132	IS_AST_PARENT	
542137	542138	IS_AST_PARENT	
542139	542140	IS_AST_PARENT	
542139	542141	IS_AST_PARENT	
542137	542139	IS_AST_PARENT	
542136	542137	IS_AST_PARENT	
542131	542136	IS_AST_PARENT	
542142	542143	IS_AST_PARENT	
542131	542142	IS_AST_PARENT	
542144	542145	IS_AST_PARENT	
542131	542144	IS_AST_PARENT	
542147	542148	IS_AST_PARENT	
542150	542151	IS_AST_PARENT	
542149	542150	IS_AST_PARENT	
542149	542152	IS_AST_PARENT	
542147	542149	IS_AST_PARENT	
542146	542147	IS_AST_PARENT	
542131	542146	IS_AST_PARENT	
542153	542154	IS_AST_PARENT	
542131	542153	IS_AST_PARENT	
542155	542156	IS_AST_PARENT	
542131	542155	IS_AST_PARENT	
542159	542160	IS_AST_PARENT	
542159	542161	IS_AST_PARENT	
542159	542162	IS_AST_PARENT	
542163	542164	IS_AST_PARENT	
542165	542166	IS_AST_PARENT	
542163	542165	IS_AST_PARENT	
542159	542163	IS_AST_PARENT	
542158	542159	IS_AST_PARENT	
542157	542158	IS_AST_PARENT	
542169	542170	IS_AST_PARENT	
542169	542171	IS_AST_PARENT	
542168	542169	IS_AST_PARENT	
542167	542168	IS_AST_PARENT	
542175	542176	IS_AST_PARENT	
542174	542175	IS_AST_PARENT	
542179	542180	IS_AST_PARENT	
542179	542181	IS_AST_PARENT	
542178	542179	IS_AST_PARENT	
542177	542178	IS_AST_PARENT	
542174	542177	IS_AST_PARENT	
542173	542174	IS_AST_PARENT	
542172	542173	IS_AST_PARENT	
542167	542172	IS_AST_PARENT	
542186	542187	IS_AST_PARENT	
542185	542186	IS_AST_PARENT	
542189	542190	IS_AST_PARENT	
542188	542189	IS_AST_PARENT	
542185	542188	IS_AST_PARENT	
542184	542185	IS_AST_PARENT	
542183	542184	IS_AST_PARENT	
542182	542183	IS_AST_PARENT	
542167	542182	IS_AST_PARENT	
542157	542167	IS_AST_PARENT	
542131	542157	IS_AST_PARENT	
542130	542131	IS_AST_PARENT	
542130	542191	IS_AST_PARENT	
542130	542192	IS_AST_PARENT	
542130	542193	IS_AST_PARENT	
542194	542132	FLOWS_TO	
542132	542136	FLOWS_TO	
542136	542142	FLOWS_TO	
542142	542144	FLOWS_TO	
542144	542146	FLOWS_TO	
542146	542153	FLOWS_TO	
542153	542155	FLOWS_TO	
542155	542158	FLOWS_TO	
542158	542168	FLOWS_TO	
542168	542173	FLOWS_TO	
542168	542184	FLOWS_TO	
542173	542195	FLOWS_TO	
542184	542195	FLOWS_TO	
542146	542196	USE	
542147	542196	USE	
542173	542197	USE	
