command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	542436	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/708/CWE127_Buffer_Underread__CWE839_rand_21.c								
ANR	542437	DeclStmt									
ANR	542438	Decl							int	int	badStatic
ANR	542439	Function	badSink	25:0:823:1325							
ANR	542440	FunctionDef	badSink (int data)		542439	0					
ANR	542441	CompoundStatement		26:0:854:1325	542439	0					
ANR	542442	IfStatement	if ( badStatic )		542439	0					
ANR	542443	Condition	badStatic	27:7:864:872	542439	0	True				
ANR	542444	Identifier	badStatic		542439	0					
ANR	542445	CompoundStatement		3:4:25:25	542439	1					
ANR	542446	CompoundStatement		5:12:51:73	542439	0					
ANR	542447	IdentifierDeclStatement	int buffer [ 10 ] = { 0 } ;	30:12:906:928	542439	0	True				
ANR	542448	IdentifierDecl	buffer [ 10 ] = { 0 }		542439	0					
ANR	542449	IdentifierDeclType	int [ 10 ]		542439	0					
ANR	542450	Identifier	buffer		542439	1					
ANR	542451	PrimaryExpression	10		542439	2					
ANR	542452	AssignmentExpression	buffer [ 10 ] = { 0 }		542439	3		=			
ANR	542453	Identifier	buffer		542439	0					
ANR	542454	InitializerList	0		542439	1					
ANR	542455	PrimaryExpression	0		542439	0					
ANR	542456	IfStatement	if ( data < 10 )		542439	1					
ANR	542457	Condition	data < 10	33:16:1110:1118	542439	0	True				
ANR	542458	RelationalExpression	data < 10		542439	0		<			
ANR	542459	Identifier	data		542439	0					
ANR	542460	PrimaryExpression	10		542439	1					
ANR	542461	CompoundStatement		9:12:279:279	542439	1					
ANR	542462	ExpressionStatement	printIntLine ( buffer [ data ] )	35:16:1153:1179	542439	0	True				
ANR	542463	CallExpression	printIntLine ( buffer [ data ] )		542439	0					
ANR	542464	Callee	printIntLine		542439	0					
ANR	542465	Identifier	printIntLine		542439	0					
ANR	542466	ArgumentList	buffer [ data ]		542439	1					
ANR	542467	Argument	buffer [ data ]		542439	0					
ANR	542468	ArrayIndexing	buffer [ data ]		542439	0					
ANR	542469	Identifier	buffer		542439	0					
ANR	542470	Identifier	data		542439	1					
ANR	542471	ElseStatement	else		542439	0					
ANR	542472	CompoundStatement		13:12:372:372	542439	0					
ANR	542473	ExpressionStatement	"printLine ( ""ERROR: Array index is too big."" )"	39:16:1246:1289	542439	0	True				
ANR	542474	CallExpression	"printLine ( ""ERROR: Array index is too big."" )"		542439	0					
ANR	542475	Callee	printLine		542439	0					
ANR	542476	Identifier	printLine		542439	0					
ANR	542477	ArgumentList	"""ERROR: Array index is too big."""		542439	1					
ANR	542478	Argument	"""ERROR: Array index is too big."""		542439	0					
ANR	542479	PrimaryExpression	"""ERROR: Array index is too big."""		542439	0					
ANR	542480	ReturnType	static void		542439	1					
ANR	542481	Identifier	badSink		542439	2					
ANR	542482	ParameterList	int data		542439	3					
ANR	542483	Parameter	int data	25:20:843:850	542439	0	True				
ANR	542484	ParameterType	int		542439	0					
ANR	542485	Identifier	data		542439	1					
ANR	542486	CFGEntryNode	ENTRY		542439		True				
ANR	542487	CFGExitNode	EXIT		542439		True				
