start	end	type	var
546605	546606	IS_AST_PARENT	
546605	546607	IS_AST_PARENT	
546605	546608	IS_AST_PARENT	
546609	546610	IS_AST_PARENT	
546611	546612	IS_AST_PARENT	
546609	546611	IS_AST_PARENT	
546605	546609	IS_AST_PARENT	
546604	546605	IS_AST_PARENT	
546603	546604	IS_AST_PARENT	
546615	546616	IS_AST_PARENT	
546615	546617	IS_AST_PARENT	
546614	546615	IS_AST_PARENT	
546613	546614	IS_AST_PARENT	
546621	546622	IS_AST_PARENT	
546620	546621	IS_AST_PARENT	
546625	546626	IS_AST_PARENT	
546625	546627	IS_AST_PARENT	
546624	546625	IS_AST_PARENT	
546623	546624	IS_AST_PARENT	
546620	546623	IS_AST_PARENT	
546619	546620	IS_AST_PARENT	
546618	546619	IS_AST_PARENT	
546613	546618	IS_AST_PARENT	
546632	546633	IS_AST_PARENT	
546631	546632	IS_AST_PARENT	
546635	546636	IS_AST_PARENT	
546634	546635	IS_AST_PARENT	
546631	546634	IS_AST_PARENT	
546630	546631	IS_AST_PARENT	
546629	546630	IS_AST_PARENT	
546628	546629	IS_AST_PARENT	
546613	546628	IS_AST_PARENT	
546603	546613	IS_AST_PARENT	
546602	546603	IS_AST_PARENT	
546601	546602	IS_AST_PARENT	
546601	546637	IS_AST_PARENT	
546601	546638	IS_AST_PARENT	
546640	546641	IS_AST_PARENT	
546640	546642	IS_AST_PARENT	
546639	546640	IS_AST_PARENT	
546601	546639	IS_AST_PARENT	
546643	546640	FLOWS_TO	
546640	546604	FLOWS_TO	
546604	546614	FLOWS_TO	
546614	546619	FLOWS_TO	
546614	546630	FLOWS_TO	
546619	546644	FLOWS_TO	
546630	546644	FLOWS_TO	
546619	546645	USE	
546624	546645	USE	
546640	546646	DEF	
546614	546646	USE	
546619	546646	USE	
546625	546646	USE	
546604	546647	DEF	
546605	546647	DEF	
546609	546647	DEF	
546619	546647	USE	
546625	546647	USE	
546619	546648	USE	
546624	546648	USE	
546640	546614	REACHES	data
546640	546619	REACHES	data
546604	546619	REACHES	buffer
