command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	547011	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/721/CWE127_Buffer_Underread__CWE839_rand_53c.c								
ANR	547012	DeclStmt									
ANR	547013	Decl							void	void ( int data )	CWE127_Buffer_Underread__CWE839_rand_53d_badSink
ANR	547014	Function	CWE127_Buffer_Underread__CWE839_rand_53c_badSink	25:0:844:973							
ANR	547015	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_53c_badSink (int data)		547014	0					
ANR	547016	CompoundStatement		26:0:909:973	547014	0					
ANR	547017	ExpressionStatement	CWE127_Buffer_Underread__CWE839_rand_53d_badSink ( data )	27:4:916:970	547014	0	True				
ANR	547018	CallExpression	CWE127_Buffer_Underread__CWE839_rand_53d_badSink ( data )		547014	0					
ANR	547019	Callee	CWE127_Buffer_Underread__CWE839_rand_53d_badSink		547014	0					
ANR	547020	Identifier	CWE127_Buffer_Underread__CWE839_rand_53d_badSink		547014	0					
ANR	547021	ArgumentList	data		547014	1					
ANR	547022	Argument	data		547014	0					
ANR	547023	Identifier	data		547014	0					
ANR	547024	ReturnType	void		547014	1					
ANR	547025	Identifier	CWE127_Buffer_Underread__CWE839_rand_53c_badSink		547014	2					
ANR	547026	ParameterList	int data		547014	3					
ANR	547027	Parameter	int data	25:54:898:905	547014	0	True				
ANR	547028	ParameterType	int		547014	0					
ANR	547029	Identifier	data		547014	1					
ANR	547030	CFGEntryNode	ENTRY		547014		True				
ANR	547031	CFGExitNode	EXIT		547014		True				
ANR	547032	Symbol	data		547014						
ANR	547033	DeclStmt									
ANR	547034	Decl							void	void ( int data )	CWE127_Buffer_Underread__CWE839_rand_53d_goodG2BSink
ANR	547035	Function	CWE127_Buffer_Underread__CWE839_rand_53c_goodG2BSink	37:0:1146:1283							
ANR	547036	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_53c_goodG2BSink (int data)		547035	0					
ANR	547037	CompoundStatement		38:0:1215:1283	547035	0					
ANR	547038	ExpressionStatement	CWE127_Buffer_Underread__CWE839_rand_53d_goodG2BSink ( data )	39:4:1222:1280	547035	0	True				
ANR	547039	CallExpression	CWE127_Buffer_Underread__CWE839_rand_53d_goodG2BSink ( data )		547035	0					
ANR	547040	Callee	CWE127_Buffer_Underread__CWE839_rand_53d_goodG2BSink		547035	0					
ANR	547041	Identifier	CWE127_Buffer_Underread__CWE839_rand_53d_goodG2BSink		547035	0					
ANR	547042	ArgumentList	data		547035	1					
ANR	547043	Argument	data		547035	0					
ANR	547044	Identifier	data		547035	0					
ANR	547045	ReturnType	void		547035	1					
ANR	547046	Identifier	CWE127_Buffer_Underread__CWE839_rand_53c_goodG2BSink		547035	2					
ANR	547047	ParameterList	int data		547035	3					
ANR	547048	Parameter	int data	37:58:1204:1211	547035	0	True				
ANR	547049	ParameterType	int		547035	0					
ANR	547050	Identifier	data		547035	1					
ANR	547051	CFGEntryNode	ENTRY		547035		True				
ANR	547052	CFGExitNode	EXIT		547035		True				
ANR	547053	Symbol	data		547035						
ANR	547054	DeclStmt									
ANR	547055	Decl							void	void ( int data )	CWE127_Buffer_Underread__CWE839_rand_53d_goodB2GSink
ANR	547056	Function	CWE127_Buffer_Underread__CWE839_rand_53c_goodB2GSink	45:0:1412:1549							
ANR	547057	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_53c_goodB2GSink (int data)		547056	0					
ANR	547058	CompoundStatement		46:0:1481:1549	547056	0					
ANR	547059	ExpressionStatement	CWE127_Buffer_Underread__CWE839_rand_53d_goodB2GSink ( data )	47:4:1488:1546	547056	0	True				
ANR	547060	CallExpression	CWE127_Buffer_Underread__CWE839_rand_53d_goodB2GSink ( data )		547056	0					
ANR	547061	Callee	CWE127_Buffer_Underread__CWE839_rand_53d_goodB2GSink		547056	0					
ANR	547062	Identifier	CWE127_Buffer_Underread__CWE839_rand_53d_goodB2GSink		547056	0					
ANR	547063	ArgumentList	data		547056	1					
ANR	547064	Argument	data		547056	0					
ANR	547065	Identifier	data		547056	0					
ANR	547066	ReturnType	void		547056	1					
ANR	547067	Identifier	CWE127_Buffer_Underread__CWE839_rand_53c_goodB2GSink		547056	2					
ANR	547068	ParameterList	int data		547056	3					
ANR	547069	Parameter	int data	45:58:1470:1477	547056	0	True				
ANR	547070	ParameterType	int		547056	0					
ANR	547071	Identifier	data		547056	1					
ANR	547072	CFGEntryNode	ENTRY		547056		True				
ANR	547073	CFGExitNode	EXIT		547056		True				
ANR	547074	Symbol	data		547056						
