start	end	type	var
547081	547082	IS_AST_PARENT	
547081	547083	IS_AST_PARENT	
547081	547084	IS_AST_PARENT	
547085	547086	IS_AST_PARENT	
547087	547088	IS_AST_PARENT	
547085	547087	IS_AST_PARENT	
547081	547085	IS_AST_PARENT	
547080	547081	IS_AST_PARENT	
547079	547080	IS_AST_PARENT	
547091	547092	IS_AST_PARENT	
547091	547093	IS_AST_PARENT	
547090	547091	IS_AST_PARENT	
547089	547090	IS_AST_PARENT	
547097	547098	IS_AST_PARENT	
547096	547097	IS_AST_PARENT	
547101	547102	IS_AST_PARENT	
547101	547103	IS_AST_PARENT	
547100	547101	IS_AST_PARENT	
547099	547100	IS_AST_PARENT	
547096	547099	IS_AST_PARENT	
547095	547096	IS_AST_PARENT	
547094	547095	IS_AST_PARENT	
547089	547094	IS_AST_PARENT	
547108	547109	IS_AST_PARENT	
547107	547108	IS_AST_PARENT	
547111	547112	IS_AST_PARENT	
547110	547111	IS_AST_PARENT	
547107	547110	IS_AST_PARENT	
547106	547107	IS_AST_PARENT	
547105	547106	IS_AST_PARENT	
547104	547105	IS_AST_PARENT	
547089	547104	IS_AST_PARENT	
547079	547089	IS_AST_PARENT	
547078	547079	IS_AST_PARENT	
547077	547078	IS_AST_PARENT	
547077	547113	IS_AST_PARENT	
547077	547114	IS_AST_PARENT	
547116	547117	IS_AST_PARENT	
547116	547118	IS_AST_PARENT	
547115	547116	IS_AST_PARENT	
547077	547115	IS_AST_PARENT	
547119	547116	FLOWS_TO	
547116	547080	FLOWS_TO	
547080	547090	FLOWS_TO	
547090	547095	FLOWS_TO	
547090	547106	FLOWS_TO	
547095	547120	FLOWS_TO	
547106	547120	FLOWS_TO	
547095	547121	USE	
547100	547121	USE	
547116	547122	DEF	
547090	547122	USE	
547095	547122	USE	
547101	547122	USE	
547080	547123	DEF	
547085	547123	DEF	
547081	547123	DEF	
547095	547123	USE	
547101	547123	USE	
547095	547124	USE	
547100	547124	USE	
547116	547090	REACHES	data
547116	547095	REACHES	data
547080	547095	REACHES	buffer
547119	547116	CONTROLS	
547119	547080	CONTROLS	
547119	547090	CONTROLS	
547090	547095	CONTROLS	
547090	547106	CONTROLS	
547090	547120	DOM	
547090	547095	DOM	
547080	547090	DOM	
547116	547080	DOM	
547090	547106	DOM	
547119	547119	DOM	
547119	547116	DOM	
547120	547120	POST_DOM	
547120	547095	POST_DOM	
547120	547090	POST_DOM	
547090	547080	POST_DOM	
547120	547106	POST_DOM	
547116	547119	POST_DOM	
547080	547116	POST_DOM	
547076	547077	IS_FUNCTION_OF_AST	
547076	547119	IS_FUNCTION_OF_CFG	
547075	547076	IS_FILE_OF	
547130	547131	IS_AST_PARENT	
547130	547132	IS_AST_PARENT	
547130	547133	IS_AST_PARENT	
547134	547135	IS_AST_PARENT	
547136	547137	IS_AST_PARENT	
547134	547136	IS_AST_PARENT	
547130	547134	IS_AST_PARENT	
547129	547130	IS_AST_PARENT	
547128	547129	IS_AST_PARENT	
547140	547141	IS_AST_PARENT	
547140	547142	IS_AST_PARENT	
547139	547140	IS_AST_PARENT	
547138	547139	IS_AST_PARENT	
547146	547147	IS_AST_PARENT	
547145	547146	IS_AST_PARENT	
547150	547151	IS_AST_PARENT	
547150	547152	IS_AST_PARENT	
547149	547150	IS_AST_PARENT	
547148	547149	IS_AST_PARENT	
547145	547148	IS_AST_PARENT	
547144	547145	IS_AST_PARENT	
547143	547144	IS_AST_PARENT	
547138	547143	IS_AST_PARENT	
547157	547158	IS_AST_PARENT	
547156	547157	IS_AST_PARENT	
547160	547161	IS_AST_PARENT	
547159	547160	IS_AST_PARENT	
547156	547159	IS_AST_PARENT	
547155	547156	IS_AST_PARENT	
547154	547155	IS_AST_PARENT	
547153	547154	IS_AST_PARENT	
547138	547153	IS_AST_PARENT	
547128	547138	IS_AST_PARENT	
547127	547128	IS_AST_PARENT	
547126	547127	IS_AST_PARENT	
547126	547162	IS_AST_PARENT	
547126	547163	IS_AST_PARENT	
547165	547166	IS_AST_PARENT	
547165	547167	IS_AST_PARENT	
547164	547165	IS_AST_PARENT	
