command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	547075	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/721/CWE127_Buffer_Underread__CWE839_rand_53d.c								
ANR	547076	Function	CWE127_Buffer_Underread__CWE839_rand_53d_badSink	22:0:744:1195							
ANR	547077	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_53d_badSink (int data)		547076	0					
ANR	547078	CompoundStatement		23:0:809:1195	547076	0					
ANR	547079	CompoundStatement		3:8:17:39	547076	0					
ANR	547080	IdentifierDeclStatement	int buffer [ 10 ] = { 0 } ;	25:8:827:849	547076	0	True				
ANR	547081	IdentifierDecl	buffer [ 10 ] = { 0 }		547076	0					
ANR	547082	IdentifierDeclType	int [ 10 ]		547076	0					
ANR	547083	Identifier	buffer		547076	1					
ANR	547084	PrimaryExpression	10		547076	2					
ANR	547085	AssignmentExpression	buffer [ 10 ] = { 0 }		547076	3		=			
ANR	547086	Identifier	buffer		547076	0					
ANR	547087	InitializerList	0		547076	1					
ANR	547088	PrimaryExpression	0		547076	0					
ANR	547089	IfStatement	if ( data < 10 )		547076	1					
ANR	547090	Condition	data < 10	28:12:1019:1027	547076	0	True				
ANR	547091	RelationalExpression	data < 10		547076	0		<			
ANR	547092	Identifier	data		547076	0					
ANR	547093	PrimaryExpression	10		547076	1					
ANR	547094	CompoundStatement		7:8:229:229	547076	1					
ANR	547095	ExpressionStatement	printIntLine ( buffer [ data ] )	30:12:1054:1080	547076	0	True				
ANR	547096	CallExpression	printIntLine ( buffer [ data ] )		547076	0					
ANR	547097	Callee	printIntLine		547076	0					
ANR	547098	Identifier	printIntLine		547076	0					
ANR	547099	ArgumentList	buffer [ data ]		547076	1					
ANR	547100	Argument	buffer [ data ]		547076	0					
ANR	547101	ArrayIndexing	buffer [ data ]		547076	0					
ANR	547102	Identifier	buffer		547076	0					
ANR	547103	Identifier	data		547076	1					
ANR	547104	ElseStatement	else		547076	0					
ANR	547105	CompoundStatement		11:8:306:306	547076	0					
ANR	547106	ExpressionStatement	"printLine ( ""ERROR: Array index is too big."" )"	34:12:1131:1174	547076	0	True				
ANR	547107	CallExpression	"printLine ( ""ERROR: Array index is too big."" )"		547076	0					
ANR	547108	Callee	printLine		547076	0					
ANR	547109	Identifier	printLine		547076	0					
ANR	547110	ArgumentList	"""ERROR: Array index is too big."""		547076	1					
ANR	547111	Argument	"""ERROR: Array index is too big."""		547076	0					
ANR	547112	PrimaryExpression	"""ERROR: Array index is too big."""		547076	0					
ANR	547113	ReturnType	void		547076	1					
ANR	547114	Identifier	CWE127_Buffer_Underread__CWE839_rand_53d_badSink		547076	2					
ANR	547115	ParameterList	int data		547076	3					
ANR	547116	Parameter	int data	22:54:798:805	547076	0	True				
ANR	547117	ParameterType	int		547076	0					
ANR	547118	Identifier	data		547076	1					
ANR	547119	CFGEntryNode	ENTRY		547076		True				
ANR	547120	CFGExitNode	EXIT		547076		True				
ANR	547121	Symbol	* buffer		547076						
