command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	547615	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/722/CWE127_Buffer_Underread__CWE839_rand_54e.c								
ANR	547616	Function	CWE127_Buffer_Underread__CWE839_rand_54e_badSink	22:0:745:1196							
ANR	547617	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_54e_badSink (int data)		547616	0					
ANR	547618	CompoundStatement		23:0:810:1196	547616	0					
ANR	547619	CompoundStatement		3:8:17:39	547616	0					
ANR	547620	IdentifierDeclStatement	int buffer [ 10 ] = { 0 } ;	25:8:828:850	547616	0	True				
ANR	547621	IdentifierDecl	buffer [ 10 ] = { 0 }		547616	0					
ANR	547622	IdentifierDeclType	int [ 10 ]		547616	0					
ANR	547623	Identifier	buffer		547616	1					
ANR	547624	PrimaryExpression	10		547616	2					
ANR	547625	AssignmentExpression	buffer [ 10 ] = { 0 }		547616	3		=			
ANR	547626	Identifier	buffer		547616	0					
ANR	547627	InitializerList	0		547616	1					
ANR	547628	PrimaryExpression	0		547616	0					
ANR	547629	IfStatement	if ( data < 10 )		547616	1					
ANR	547630	Condition	data < 10	28:12:1020:1028	547616	0	True				
ANR	547631	RelationalExpression	data < 10		547616	0		<			
ANR	547632	Identifier	data		547616	0					
ANR	547633	PrimaryExpression	10		547616	1					
ANR	547634	CompoundStatement		7:8:229:229	547616	1					
ANR	547635	ExpressionStatement	printIntLine ( buffer [ data ] )	30:12:1055:1081	547616	0	True				
ANR	547636	CallExpression	printIntLine ( buffer [ data ] )		547616	0					
ANR	547637	Callee	printIntLine		547616	0					
ANR	547638	Identifier	printIntLine		547616	0					
ANR	547639	ArgumentList	buffer [ data ]		547616	1					
ANR	547640	Argument	buffer [ data ]		547616	0					
ANR	547641	ArrayIndexing	buffer [ data ]		547616	0					
ANR	547642	Identifier	buffer		547616	0					
ANR	547643	Identifier	data		547616	1					
ANR	547644	ElseStatement	else		547616	0					
ANR	547645	CompoundStatement		11:8:306:306	547616	0					
ANR	547646	ExpressionStatement	"printLine ( ""ERROR: Array index is too big."" )"	34:12:1132:1175	547616	0	True				
ANR	547647	CallExpression	"printLine ( ""ERROR: Array index is too big."" )"		547616	0					
ANR	547648	Callee	printLine		547616	0					
ANR	547649	Identifier	printLine		547616	0					
ANR	547650	ArgumentList	"""ERROR: Array index is too big."""		547616	1					
ANR	547651	Argument	"""ERROR: Array index is too big."""		547616	0					
ANR	547652	PrimaryExpression	"""ERROR: Array index is too big."""		547616	0					
ANR	547653	ReturnType	void		547616	1					
ANR	547654	Identifier	CWE127_Buffer_Underread__CWE839_rand_54e_badSink		547616	2					
ANR	547655	ParameterList	int data		547616	3					
ANR	547656	Parameter	int data	22:54:799:806	547616	0	True				
ANR	547657	ParameterType	int		547616	0					
ANR	547658	Identifier	data		547616	1					
ANR	547659	CFGEntryNode	ENTRY		547616		True				
ANR	547660	CFGExitNode	EXIT		547616		True				
ANR	547661	Symbol	* buffer		547616						
ANR	547662	Symbol	data		547616						
ANR	547663	Symbol	buffer		547616						
ANR	547664	Symbol	* data		547616						
ANR	547665	Function	CWE127_Buffer_Underread__CWE839_rand_54e_goodG2BSink	44:0:1297:1752							
ANR	547666	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_54e_goodG2BSink (int data)		547665	0					
ANR	547667	CompoundStatement		45:0:1366:1752	547665	0					
ANR	547668	CompoundStatement		3:8:17:39	547665	0					
ANR	547669	IdentifierDeclStatement	int buffer [ 10 ] = { 0 } ;	47:8:1384:1406	547665	0	True				
ANR	547670	IdentifierDecl	buffer [ 10 ] = { 0 }		547665	0					
ANR	547671	IdentifierDeclType	int [ 10 ]		547665	0					
ANR	547672	Identifier	buffer		547665	1					
ANR	547673	PrimaryExpression	10		547665	2					
ANR	547674	AssignmentExpression	buffer [ 10 ] = { 0 }		547665	3		=			
ANR	547675	Identifier	buffer		547665	0					
ANR	547676	InitializerList	0		547665	1					
ANR	547677	PrimaryExpression	0		547665	0					
ANR	547678	IfStatement	if ( data < 10 )		547665	1					
ANR	547679	Condition	data < 10	50:12:1576:1584	547665	0	True				
ANR	547680	RelationalExpression	data < 10		547665	0		<			
ANR	547681	Identifier	data		547665	0					
ANR	547682	PrimaryExpression	10		547665	1					
