command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	548131	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/725/CWE127_Buffer_Underread__CWE839_rand_63a.c								
ANR	548132	DeclStmt									
ANR	548133	Decl							void	void ( int * dataPtr )	CWE127_Buffer_Underread__CWE839_rand_63b_badSink
ANR	548134	Function	CWE127_Buffer_Underread__CWE839_rand_63_bad	25:0:801:1052							
ANR	548135	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_63_bad ()		548134	0					
ANR	548136	CompoundStatement		26:0:853:1052	548134	0					
ANR	548137	IdentifierDeclStatement	int data ;	27:4:860:868	548134	0	True				
ANR	548138	IdentifierDecl	data		548134	0					
ANR	548139	IdentifierDeclType	int		548134	0					
ANR	548140	Identifier	data		548134	1					
ANR	548141	ExpressionStatement	data = - 1	29:4:902:911	548134	1	True				
ANR	548142	AssignmentExpression	data = - 1		548134	0		=			
ANR	548143	Identifier	data		548134	0					
ANR	548144	UnaryOperationExpression	- 1		548134	1					
ANR	548145	UnaryOperator	-		548134	0					
ANR	548146	PrimaryExpression	1		548134	1					
ANR	548147	ExpressionStatement	data = RAND32 ( )	31:4:972:987	548134	2	True				
ANR	548148	AssignmentExpression	data = RAND32 ( )		548134	0		=			
ANR	548149	Identifier	data		548134	0					
ANR	548150	CallExpression	RAND32 ( )		548134	1					
ANR	548151	Callee	RAND32		548134	0					
ANR	548152	Identifier	RAND32		548134	0					
ANR	548153	ArgumentList			548134	1					
ANR	548154	ExpressionStatement	CWE127_Buffer_Underread__CWE839_rand_63b_badSink ( & data )	32:4:994:1049	548134	3	True				
ANR	548155	CallExpression	CWE127_Buffer_Underread__CWE839_rand_63b_badSink ( & data )		548134	0					
ANR	548156	Callee	CWE127_Buffer_Underread__CWE839_rand_63b_badSink		548134	0					
ANR	548157	Identifier	CWE127_Buffer_Underread__CWE839_rand_63b_badSink		548134	0					
ANR	548158	ArgumentList	& data		548134	1					
