command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	549163	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/727/CWE127_Buffer_Underread__CWE839_rand_65b.c								
ANR	549164	Function	CWE127_Buffer_Underread__CWE839_rand_65b_badSink	22:0:742:1193							
ANR	549165	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_65b_badSink (int data)		549164	0					
ANR	549166	CompoundStatement		23:0:807:1193	549164	0					
ANR	549167	CompoundStatement		3:8:17:39	549164	0					
ANR	549168	IdentifierDeclStatement	int buffer [ 10 ] = { 0 } ;	25:8:825:847	549164	0	True				
ANR	549169	IdentifierDecl	buffer [ 10 ] = { 0 }		549164	0					
ANR	549170	IdentifierDeclType	int [ 10 ]		549164	0					
ANR	549171	Identifier	buffer		549164	1					
ANR	549172	PrimaryExpression	10		549164	2					
ANR	549173	AssignmentExpression	buffer [ 10 ] = { 0 }		549164	3		=			
ANR	549174	Identifier	buffer		549164	0					
ANR	549175	InitializerList	0		549164	1					
ANR	549176	PrimaryExpression	0		549164	0					
ANR	549177	IfStatement	if ( data < 10 )		549164	1					
ANR	549178	Condition	data < 10	28:12:1017:1025	549164	0	True				
ANR	549179	RelationalExpression	data < 10		549164	0		<			
ANR	549180	Identifier	data		549164	0					
ANR	549181	PrimaryExpression	10		549164	1					
ANR	549182	CompoundStatement		7:8:229:229	549164	1					
ANR	549183	ExpressionStatement	printIntLine ( buffer [ data ] )	30:12:1052:1078	549164	0	True				
ANR	549184	CallExpression	printIntLine ( buffer [ data ] )		549164	0					
ANR	549185	Callee	printIntLine		549164	0					
ANR	549186	Identifier	printIntLine		549164	0					
ANR	549187	ArgumentList	buffer [ data ]		549164	1					
ANR	549188	Argument	buffer [ data ]		549164	0					
ANR	549189	ArrayIndexing	buffer [ data ]		549164	0					
ANR	549190	Identifier	buffer		549164	0					
ANR	549191	Identifier	data		549164	1					
ANR	549192	ElseStatement	else		549164	0					
ANR	549193	CompoundStatement		11:8:306:306	549164	0					
ANR	549194	ExpressionStatement	"printLine ( ""ERROR: Array index is too big."" )"	34:12:1129:1172	549164	0	True				
ANR	549195	CallExpression	"printLine ( ""ERROR: Array index is too big."" )"		549164	0					
ANR	549196	Callee	printLine		549164	0					
ANR	549197	Identifier	printLine		549164	0					
ANR	549198	ArgumentList	"""ERROR: Array index is too big."""		549164	1					
ANR	549199	Argument	"""ERROR: Array index is too big."""		549164	0					
ANR	549200	PrimaryExpression	"""ERROR: Array index is too big."""		549164	0					
ANR	549201	ReturnType	void		549164	1					
ANR	549202	Identifier	CWE127_Buffer_Underread__CWE839_rand_65b_badSink		549164	2					
ANR	549203	ParameterList	int data		549164	3					
ANR	549204	Parameter	int data	22:54:796:803	549164	0	True				
ANR	549205	ParameterType	int		549164	0					
ANR	549206	Identifier	data		549164	1					
ANR	549207	CFGEntryNode	ENTRY		549164		True				
ANR	549208	CFGExitNode	EXIT		549164		True				
ANR	549209	Symbol	* buffer		549164						
ANR	549210	Symbol	data		549164						
ANR	549211	Symbol	buffer		549164						
ANR	549212	Symbol	* data		549164						
ANR	549213	Function	CWE127_Buffer_Underread__CWE839_rand_65b_goodG2BSink	44:0:1294:1749							
ANR	549214	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_65b_goodG2BSink (int data)		549213	0					
ANR	549215	CompoundStatement		45:0:1363:1749	549213	0					
ANR	549216	CompoundStatement		3:8:17:39	549213	0					
ANR	549217	IdentifierDeclStatement	int buffer [ 10 ] = { 0 } ;	47:8:1381:1403	549213	0	True				
ANR	549218	IdentifierDecl	buffer [ 10 ] = { 0 }		549213	0					
ANR	549219	IdentifierDeclType	int [ 10 ]		549213	0					
ANR	549220	Identifier	buffer		549213	1					
ANR	549221	PrimaryExpression	10		549213	2					
ANR	549222	AssignmentExpression	buffer [ 10 ] = { 0 }		549213	3		=			
ANR	549223	Identifier	buffer		549213	0					
ANR	549224	InitializerList	0		549213	1					
ANR	549225	PrimaryExpression	0		549213	0					
