start	end	type	var
550558	550559	IS_AST_PARENT	
550558	550560	IS_AST_PARENT	
550558	550561	IS_AST_PARENT	
550562	550563	IS_AST_PARENT	
550564	550565	IS_AST_PARENT	
550562	550564	IS_AST_PARENT	
550558	550562	IS_AST_PARENT	
550557	550558	IS_AST_PARENT	
550556	550557	IS_AST_PARENT	
550568	550569	IS_AST_PARENT	
550568	550570	IS_AST_PARENT	
550567	550568	IS_AST_PARENT	
550566	550567	IS_AST_PARENT	
550574	550575	IS_AST_PARENT	
550573	550574	IS_AST_PARENT	
550578	550579	IS_AST_PARENT	
550578	550580	IS_AST_PARENT	
550577	550578	IS_AST_PARENT	
550576	550577	IS_AST_PARENT	
550573	550576	IS_AST_PARENT	
550572	550573	IS_AST_PARENT	
550571	550572	IS_AST_PARENT	
550566	550571	IS_AST_PARENT	
550585	550586	IS_AST_PARENT	
550584	550585	IS_AST_PARENT	
550588	550589	IS_AST_PARENT	
550587	550588	IS_AST_PARENT	
550584	550587	IS_AST_PARENT	
550583	550584	IS_AST_PARENT	
550582	550583	IS_AST_PARENT	
550581	550582	IS_AST_PARENT	
550566	550581	IS_AST_PARENT	
550556	550566	IS_AST_PARENT	
550555	550556	IS_AST_PARENT	
550554	550555	IS_AST_PARENT	
550554	550590	IS_AST_PARENT	
550554	550591	IS_AST_PARENT	
550593	550594	IS_AST_PARENT	
550593	550595	IS_AST_PARENT	
550592	550593	IS_AST_PARENT	
550554	550592	IS_AST_PARENT	
550596	550593	FLOWS_TO	
550593	550557	FLOWS_TO	
550557	550567	FLOWS_TO	
550567	550572	FLOWS_TO	
550567	550583	FLOWS_TO	
550572	550597	FLOWS_TO	
550583	550597	FLOWS_TO	
550572	550598	USE	
550577	550598	USE	
550593	550599	DEF	
550567	550599	USE	
550572	550599	USE	
550578	550599	USE	
550557	550600	DEF	
550558	550600	DEF	
550562	550600	DEF	
550572	550600	USE	
550578	550600	USE	
550572	550601	USE	
550577	550601	USE	
550593	550567	REACHES	data
550593	550572	REACHES	data
550557	550572	REACHES	buffer
550596	550593	CONTROLS	
550596	550557	CONTROLS	
550596	550567	CONTROLS	
550567	550572	CONTROLS	
550567	550583	CONTROLS	
550593	550557	DOM	
550596	550596	DOM	
550567	550572	DOM	
550557	550567	DOM	
550567	550583	DOM	
550567	550597	DOM	
550596	550593	DOM	
550567	550557	POST_DOM	
550593	550596	POST_DOM	
550597	550572	POST_DOM	
550597	550567	POST_DOM	
550597	550583	POST_DOM	
550597	550597	POST_DOM	
550557	550593	POST_DOM	
550553	550554	IS_FUNCTION_OF_AST	
550553	550596	IS_FUNCTION_OF_CFG	
550552	550553	IS_FILE_OF	
