start	end	type	var
551061	551062	IS_AST_PARENT	
551061	551063	IS_AST_PARENT	
551061	551064	IS_AST_PARENT	
551065	551066	IS_AST_PARENT	
551067	551068	IS_AST_PARENT	
551065	551067	IS_AST_PARENT	
551061	551065	IS_AST_PARENT	
551060	551061	IS_AST_PARENT	
551059	551060	IS_AST_PARENT	
551071	551072	IS_AST_PARENT	
551071	551073	IS_AST_PARENT	
551070	551071	IS_AST_PARENT	
551069	551070	IS_AST_PARENT	
551077	551078	IS_AST_PARENT	
551076	551077	IS_AST_PARENT	
551081	551082	IS_AST_PARENT	
551081	551083	IS_AST_PARENT	
551080	551081	IS_AST_PARENT	
551079	551080	IS_AST_PARENT	
551076	551079	IS_AST_PARENT	
551075	551076	IS_AST_PARENT	
551074	551075	IS_AST_PARENT	
551069	551074	IS_AST_PARENT	
551088	551089	IS_AST_PARENT	
551087	551088	IS_AST_PARENT	
551091	551092	IS_AST_PARENT	
551090	551091	IS_AST_PARENT	
551087	551090	IS_AST_PARENT	
551086	551087	IS_AST_PARENT	
551085	551086	IS_AST_PARENT	
551084	551085	IS_AST_PARENT	
551069	551084	IS_AST_PARENT	
551059	551069	IS_AST_PARENT	
551058	551059	IS_AST_PARENT	
551057	551058	IS_AST_PARENT	
551057	551093	IS_AST_PARENT	
551057	551094	IS_AST_PARENT	
551096	551097	IS_AST_PARENT	
551096	551098	IS_AST_PARENT	
551095	551096	IS_AST_PARENT	
551057	551095	IS_AST_PARENT	
551099	551096	FLOWS_TO	
551096	551060	FLOWS_TO	
551060	551070	FLOWS_TO	
551070	551075	FLOWS_TO	
551070	551086	FLOWS_TO	
551075	551100	FLOWS_TO	
551086	551100	FLOWS_TO	
551075	551101	USE	
551080	551101	USE	
551096	551102	DEF	
551070	551102	USE	
551075	551102	USE	
551081	551102	USE	
551060	551103	DEF	
551065	551103	DEF	
551061	551103	DEF	
551075	551103	USE	
551081	551103	USE	
551075	551104	USE	
551080	551104	USE	
551096	551070	REACHES	data
551096	551075	REACHES	data
551060	551075	REACHES	buffer
551099	551096	CONTROLS	
551099	551060	CONTROLS	
551099	551070	CONTROLS	
551070	551075	CONTROLS	
551070	551086	CONTROLS	
551099	551099	DOM	
551060	551070	DOM	
551099	551096	DOM	
551096	551060	DOM	
551070	551075	DOM	
551070	551100	DOM	
551070	551086	DOM	
551100	551070	POST_DOM	
551096	551099	POST_DOM	
551060	551096	POST_DOM	
551070	551060	POST_DOM	
551100	551100	POST_DOM	
551100	551075	POST_DOM	
551100	551086	POST_DOM	
551056	551057	IS_FUNCTION_OF_AST	
551056	551099	IS_FUNCTION_OF_CFG	
551055	551056	IS_FILE_OF	
