command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	551055	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/735/CWE127_Buffer_Underread__CWE839_rand_82_goodG2B.cpp								
ANR	551056	Function	CWE127_Buffer_Underread__CWE839_rand_82_goodG2B :: action	25:0:814:1272							
ANR	551057	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_82_goodG2B :: action (int data)		551056	0					
ANR	551058	CompoundStatement		26:0:886:1272	551056	0					
ANR	551059	CompoundStatement		3:8:17:39	551056	0					
ANR	551060	IdentifierDeclStatement	int buffer [ 10 ] = { 0 } ;	28:8:904:926	551056	0	True				
ANR	551061	IdentifierDecl	buffer [ 10 ] = { 0 }		551056	0					
ANR	551062	IdentifierDeclType	int [ 10 ]		551056	0					
ANR	551063	Identifier	buffer		551056	1					
ANR	551064	PrimaryExpression	10		551056	2					
ANR	551065	AssignmentExpression	buffer [ 10 ] = { 0 }		551056	3		=			
ANR	551066	Identifier	buffer		551056	0					
ANR	551067	InitializerList	0		551056	1					
ANR	551068	PrimaryExpression	0		551056	0					
ANR	551069	IfStatement	if ( data < 10 )		551056	1					
ANR	551070	Condition	data < 10	31:12:1096:1104	551056	0	True				
ANR	551071	RelationalExpression	data < 10		551056	0		<			
ANR	551072	Identifier	data		551056	0					
ANR	551073	PrimaryExpression	10		551056	1					
ANR	551074	CompoundStatement		7:8:229:229	551056	1					
ANR	551075	ExpressionStatement	printIntLine ( buffer [ data ] )	33:12:1131:1157	551056	0	True				
ANR	551076	CallExpression	printIntLine ( buffer [ data ] )		551056	0					
ANR	551077	Callee	printIntLine		551056	0					
ANR	551078	Identifier	printIntLine		551056	0					
ANR	551079	ArgumentList	buffer [ data ]		551056	1					
ANR	551080	Argument	buffer [ data ]		551056	0					
ANR	551081	ArrayIndexing	buffer [ data ]		551056	0					
ANR	551082	Identifier	buffer		551056	0					
ANR	551083	Identifier	data		551056	1					
ANR	551084	ElseStatement	else		551056	0					
ANR	551085	CompoundStatement		11:8:306:306	551056	0					
ANR	551086	ExpressionStatement	"printLine ( ""ERROR: Array index is too big."" )"	37:12:1208:1251	551056	0	True				
ANR	551087	CallExpression	"printLine ( ""ERROR: Array index is too big."" )"		551056	0					
ANR	551088	Callee	printLine		551056	0					
ANR	551089	Identifier	printLine		551056	0					
ANR	551090	ArgumentList	"""ERROR: Array index is too big."""		551056	1					
ANR	551091	Argument	"""ERROR: Array index is too big."""		551056	0					
ANR	551092	PrimaryExpression	"""ERROR: Array index is too big."""		551056	0					
ANR	551093	ReturnType	void		551056	1					
ANR	551094	Identifier	CWE127_Buffer_Underread__CWE839_rand_82_goodG2B :: action		551056	2					
ANR	551095	ParameterList	int data		551056	3					
ANR	551096	Parameter	int data	25:61:875:882	551056	0	True				
ANR	551097	ParameterType	int		551056	0					
ANR	551098	Identifier	data		551056	1					
ANR	551099	CFGEntryNode	ENTRY		551056		True				
ANR	551100	CFGExitNode	EXIT		551056		True				
ANR	551101	Symbol	* buffer		551056						
ANR	551102	Symbol	data		551056						
ANR	551103	Symbol	buffer		551056						
ANR	551104	Symbol	* data		551056						
