command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	551105	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/735/CWE127_Buffer_Underread__CWE839_rand_82a.cpp								
ANR	551106	Function	bad	26:0:801:1118							
ANR	551107	FunctionDef	bad ()		551106	0					
ANR	551108	CompoundStatement		27:0:813:1118	551106	0					
ANR	551109	IdentifierDeclStatement	int data ;	28:4:820:828	551106	0	True				
ANR	551110	IdentifierDecl	data		551106	0					
ANR	551111	IdentifierDeclType	int		551106	0					
ANR	551112	Identifier	data		551106	1					
ANR	551113	ExpressionStatement	data = - 1	30:4:862:871	551106	1	True				
ANR	551114	AssignmentExpression	data = - 1		551106	0		=			
ANR	551115	Identifier	data		551106	0					
ANR	551116	UnaryOperationExpression	- 1		551106	1					
ANR	551117	UnaryOperator	-		551106	0					
ANR	551118	PrimaryExpression	1		551106	1					
ANR	551119	ExpressionStatement	data = RAND32 ( )	32:4:932:947	551106	2	True				
ANR	551120	AssignmentExpression	data = RAND32 ( )		551106	0		=			
ANR	551121	Identifier	data		551106	0					
ANR	551122	CallExpression	RAND32 ( )		551106	1					
ANR	551123	Callee	RAND32		551106	0					
ANR	551124	Identifier	RAND32		551106	0					
ANR	551125	ArgumentList			551106	1					
ANR	551126	Statement	CWE127_Buffer_Underread__CWE839_rand_82_base	33:4:954:997	551106	3	True				
ANR	551127	Statement	*	33:48:998:998	551106	4	True				
ANR	551128	Statement	baseObject	33:50:1000:1009	551106	5	True				
ANR	551129	Statement	=	33:61:1011:1011	551106	6	True				
ANR	551130	Statement	new	33:63:1013:1015	551106	7	True				
ANR	551131	ExpressionStatement	CWE127_Buffer_Underread__CWE839_rand_82_bad	33:67:1017:1060	551106	8	True				
ANR	551132	Identifier	CWE127_Buffer_Underread__CWE839_rand_82_bad		551106	0					
ANR	551133	ExpressionStatement	baseObject -> action ( data )	34:4:1067:1091	551106	9	True				
ANR	551134	CallExpression	baseObject -> action ( data )		551106	0					
ANR	551135	Callee	baseObject -> action		551106	0					
ANR	551136	PtrMemberAccess	baseObject -> action		551106	0					
ANR	551137	Identifier	baseObject		551106	0					
ANR	551138	Identifier	action		551106	1					
ANR	551139	ArgumentList	data		551106	1					
ANR	551140	Argument	data		551106	0					
ANR	551141	Identifier	data		551106	0					
ANR	551142	Statement	delete	35:4:1098:1103	551106	10	True				
ANR	551143	ExpressionStatement	baseObject	35:11:1105:1115	551106	11	True				
ANR	551144	Identifier	baseObject		551106	0					
ANR	551145	ReturnType	void		551106	1					
ANR	551146	Identifier	bad		551106	2					
ANR	551147	ParameterList			551106	3					
ANR	551148	CFGEntryNode	ENTRY		551106		True				
ANR	551149	CFGExitNode	EXIT		551106		True				
ANR	551150	Symbol	RAND32		551106						
ANR	551151	Symbol	data		551106						
ANR	551152	Symbol	baseObject		551106						
ANR	551153	Function	goodG2B	43:0:1219:1645							
ANR	551154	FunctionDef	goodG2B ()		551153	0					
ANR	551155	CompoundStatement		44:0:1242:1645	551153	0					
