command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	551334	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/736/CWE127_Buffer_Underread__CWE839_rand_83.h								
ANR	551335	ClassDef	CWE127_Buffer_Underread__CWE839_rand_83_bad	25:0:763:970							
ANR	551336	DeclStmt									
ANR	551337	Decl							int	int	data
ANR	551338	ClassDef	CWE127_Buffer_Underread__CWE839_rand_83_goodG2B	39:0:1020:1239							
ANR	551339	DeclStmt									
ANR	551340	Decl							int	int	data
ANR	551341	ClassDef	CWE127_Buffer_Underread__CWE839_rand_83_goodB2G	49:0:1245:1464							
ANR	551342	DeclStmt									
ANR	551343	Decl							int	int	data
