command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	551414	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/736/CWE127_Buffer_Underread__CWE839_rand_83_goodB2G.cpp								
ANR	551415	Function	CWE127_Buffer_Underread__CWE839_rand_83_goodB2G :: CWE127_Buffer_Underread__CWE839_rand_83_goodB2G	24:0:834:1047							
ANR	551416	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_83_goodB2G :: CWE127_Buffer_Underread__CWE839_rand_83_goodB2G (int dataCopy)		551415	0					
ANR	551417	CompoundStatement		25:0:946:1047	551415	0					
ANR	551418	ExpressionStatement	data = dataCopy	26:4:953:968	551415	0	True				
ANR	551419	AssignmentExpression	data = dataCopy		551415	0		=			
ANR	551420	Identifier	data		551415	0					
ANR	551421	Identifier	dataCopy		551415	1					
ANR	551422	ExpressionStatement	data = RAND32 ( )	28:4:1029:1044	551415	1	True				
ANR	551423	AssignmentExpression	data = RAND32 ( )		551415	0		=			
ANR	551424	Identifier	data		551415	0					
ANR	551425	CallExpression	RAND32 ( )		551415	1					
ANR	551426	Callee	RAND32		551415	0					
ANR	551427	Identifier	RAND32		551415	0					
ANR	551428	ArgumentList			551415	1					
ANR	551429	Identifier	CWE127_Buffer_Underread__CWE839_rand_83_goodB2G :: CWE127_Buffer_Underread__CWE839_rand_83_goodB2G		551415	1					
ANR	551430	ParameterList	int dataCopy		551415	2					
ANR	551431	Parameter	int dataCopy	24:97:931:942	551415	0	True				
ANR	551432	ParameterType	int		551415	0					
ANR	551433	Identifier	dataCopy		551415	1					
ANR	551434	CFGEntryNode	ENTRY		551415		True				
ANR	551435	CFGExitNode	EXIT		551415		True				
ANR	551436	Symbol	RAND32		551415						
ANR	551437	Symbol	dataCopy		551415						
ANR	551438	Symbol	data		551415						
ANR	551439	Function	CWE127_Buffer_Underread__CWE839_rand_83_goodB2G :: ~CWE127_Buffer_Underread__CWE839_rand_83_goodB2G	31:0:1052:1489							
ANR	551440	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_83_goodB2G :: ~CWE127_Buffer_Underread__CWE839_rand_83_goodB2G ()		551439	0					
ANR	551441	CompoundStatement		32:0:1153:1489	551439	0					
ANR	551442	CompoundStatement		3:8:17:39	551439	0					
ANR	551443	IdentifierDeclStatement	int buffer [ 10 ] = { 0 } ;	34:8:1171:1193	551439	0	True				
ANR	551444	IdentifierDecl	buffer [ 10 ] = { 0 }		551439	0					
ANR	551445	IdentifierDeclType	int [ 10 ]		551439	0					
ANR	551446	Identifier	buffer		551439	1					
ANR	551447	PrimaryExpression	10		551439	2					
ANR	551448	AssignmentExpression	buffer [ 10 ] = { 0 }		551439	3		=			
ANR	551449	Identifier	buffer		551439	0					
ANR	551450	InitializerList	0		551439	1					
ANR	551451	PrimaryExpression	0		551439	0					
ANR	551452	IfStatement	if ( data >= 0 && data < ( 10 ) )		551439	1					
ANR	551453	Condition	data >= 0 && data < ( 10 )	36:12:1293:1316	551439	0	True				
ANR	551454	AndExpression	data >= 0 && data < ( 10 )		551439	0		&&			
ANR	551455	RelationalExpression	data >= 0		551439	0		>=			
ANR	551456	Identifier	data		551439	0					
ANR	551457	PrimaryExpression	0		551439	1					
ANR	551458	RelationalExpression	data < ( 10 )		551439	1		<			
ANR	551459	Identifier	data		551439	0					
ANR	551460	PrimaryExpression	10		551439	1					
ANR	551461	CompoundStatement		6:8:174:174	551439	1					
ANR	551462	ExpressionStatement	printIntLine ( buffer [ data ] )	38:12:1343:1369	551439	0	True				
ANR	551463	CallExpression	printIntLine ( buffer [ data ] )		551439	0					
ANR	551464	Callee	printIntLine		551439	0					
ANR	551465	Identifier	printIntLine		551439	0					
ANR	551466	ArgumentList	buffer [ data ]		551439	1					
ANR	551467	Argument	buffer [ data ]		551439	0					
ANR	551468	ArrayIndexing	buffer [ data ]		551439	0					
ANR	551469	Identifier	buffer		551439	0					
ANR	551470	Identifier	data		551439	1					
ANR	551471	ElseStatement	else		551439	0					
ANR	551472	CompoundStatement		10:8:251:251	551439	0					
ANR	551473	ExpressionStatement	"printLine ( ""ERROR: Array index is out-of-bounds"" )"	42:12:1420:1468	551439	0	True				
ANR	551474	CallExpression	"printLine ( ""ERROR: Array index is out-of-bounds"" )"		551439	0					
ANR	551475	Callee	printLine		551439	0					
ANR	551476	Identifier	printLine		551439	0					
ANR	551477	ArgumentList	"""ERROR: Array index is out-of-bounds"""		551439	1					
ANR	551478	Argument	"""ERROR: Array index is out-of-bounds"""		551439	0					
ANR	551479	PrimaryExpression	"""ERROR: Array index is out-of-bounds"""		551439	0					
ANR	551480	Identifier	CWE127_Buffer_Underread__CWE839_rand_83_goodB2G :: ~CWE127_Buffer_Underread__CWE839_rand_83_goodB2G		551439	1					
ANR	551481	ParameterList			551439	2					
ANR	551482	CFGEntryNode	ENTRY		551439		True				
ANR	551483	CFGExitNode	EXIT		551439		True				
ANR	551484	Symbol	* buffer		551439						
ANR	551485	Symbol	data		551439						
ANR	551486	Symbol	buffer		551439						
ANR	551487	Symbol	* data		551439						
