command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	551731	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/737/CWE127_Buffer_Underread__CWE839_rand_84_bad.cpp								
ANR	551732	Function	CWE127_Buffer_Underread__CWE839_rand_84_bad :: CWE127_Buffer_Underread__CWE839_rand_84_bad	24:0:850:1055							
ANR	551733	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_84_bad :: CWE127_Buffer_Underread__CWE839_rand_84_bad (int dataCopy)		551732	0					
ANR	551734	CompoundStatement		25:0:954:1055	551732	0					
ANR	551735	ExpressionStatement	data = dataCopy	26:4:961:976	551732	0	True				
ANR	551736	AssignmentExpression	data = dataCopy		551732	0		=			
ANR	551737	Identifier	data		551732	0					
ANR	551738	Identifier	dataCopy		551732	1					
ANR	551739	ExpressionStatement	data = RAND32 ( )	28:4:1037:1052	551732	1	True				
ANR	551740	AssignmentExpression	data = RAND32 ( )		551732	0		=			
ANR	551741	Identifier	data		551732	0					
ANR	551742	CallExpression	RAND32 ( )		551732	1					
ANR	551743	Callee	RAND32		551732	0					
ANR	551744	Identifier	RAND32		551732	0					
ANR	551745	ArgumentList			551732	1					
ANR	551746	Identifier	CWE127_Buffer_Underread__CWE839_rand_84_bad :: CWE127_Buffer_Underread__CWE839_rand_84_bad		551732	1					
ANR	551747	ParameterList	int dataCopy		551732	2					
ANR	551748	Parameter	int dataCopy	24:89:939:950	551732	0	True				
ANR	551749	ParameterType	int		551732	0					
ANR	551750	Identifier	dataCopy		551732	1					
ANR	551751	CFGEntryNode	ENTRY		551732		True				
ANR	551752	CFGExitNode	EXIT		551732		True				
ANR	551753	Symbol	RAND32		551732						
ANR	551754	Symbol	dataCopy		551732						
ANR	551755	Symbol	data		551732						
ANR	551756	Function	CWE127_Buffer_Underread__CWE839_rand_84_bad :: ~CWE127_Buffer_Underread__CWE839_rand_84_bad	31:0:1060:1539							
ANR	551757	FunctionDef	CWE127_Buffer_Underread__CWE839_rand_84_bad :: ~CWE127_Buffer_Underread__CWE839_rand_84_bad ()		551756	0					
ANR	551758	CompoundStatement		32:0:1153:1539	551756	0					
ANR	551759	CompoundStatement		3:8:17:39	551756	0					
ANR	551760	IdentifierDeclStatement	int buffer [ 10 ] = { 0 } ;	34:8:1171:1193	551756	0	True				
ANR	551761	IdentifierDecl	buffer [ 10 ] = { 0 }		551756	0					
ANR	551762	IdentifierDeclType	int [ 10 ]		551756	0					
ANR	551763	Identifier	buffer		551756	1					
ANR	551764	PrimaryExpression	10		551756	2					
ANR	551765	AssignmentExpression	buffer [ 10 ] = { 0 }		551756	3		=			
ANR	551766	Identifier	buffer		551756	0					
ANR	551767	InitializerList	0		551756	1					
ANR	551768	PrimaryExpression	0		551756	0					
ANR	551769	IfStatement	if ( data < 10 )		551756	1					
ANR	551770	Condition	data < 10	37:12:1363:1371	551756	0	True				
ANR	551771	RelationalExpression	data < 10		551756	0		<			
ANR	551772	Identifier	data		551756	0					
ANR	551773	PrimaryExpression	10		551756	1					
ANR	551774	CompoundStatement		7:8:229:229	551756	1					
ANR	551775	ExpressionStatement	printIntLine ( buffer [ data ] )	39:12:1398:1424	551756	0	True				
ANR	551776	CallExpression	printIntLine ( buffer [ data ] )		551756	0					
ANR	551777	Callee	printIntLine		551756	0					
ANR	551778	Identifier	printIntLine		551756	0					
ANR	551779	ArgumentList	buffer [ data ]		551756	1					
ANR	551780	Argument	buffer [ data ]		551756	0					
ANR	551781	ArrayIndexing	buffer [ data ]		551756	0					
ANR	551782	Identifier	buffer		551756	0					
ANR	551783	Identifier	data		551756	1					
ANR	551784	ElseStatement	else		551756	0					
ANR	551785	CompoundStatement		11:8:306:306	551756	0					
ANR	551786	ExpressionStatement	"printLine ( ""ERROR: Array index is too big."" )"	43:12:1475:1518	551756	0	True				
ANR	551787	CallExpression	"printLine ( ""ERROR: Array index is too big."" )"		551756	0					
ANR	551788	Callee	printLine		551756	0					
ANR	551789	Identifier	printLine		551756	0					
ANR	551790	ArgumentList	"""ERROR: Array index is too big."""		551756	1					
ANR	551791	Argument	"""ERROR: Array index is too big."""		551756	0					
ANR	551792	PrimaryExpression	"""ERROR: Array index is too big."""		551756	0					
ANR	551793	Identifier	CWE127_Buffer_Underread__CWE839_rand_84_bad :: ~CWE127_Buffer_Underread__CWE839_rand_84_bad		551756	1					
ANR	551794	ParameterList			551756	2					
ANR	551795	CFGEntryNode	ENTRY		551756		True				
ANR	551796	CFGExitNode	EXIT		551756		True				
ANR	551797	Symbol	* buffer		551756						
ANR	551798	Symbol	data		551756						
ANR	551799	Symbol	buffer		551756						
ANR	551800	Symbol	* data		551756						
