start	end	type	var
552772	552773	IS_AST_PARENT	
552772	552774	IS_AST_PARENT	
552775	552776	IS_AST_PARENT	
552775	552777	IS_AST_PARENT	
552772	552775	IS_AST_PARENT	
552771	552772	IS_AST_PARENT	
552770	552771	IS_AST_PARENT	
552780	552781	IS_AST_PARENT	
552779	552780	IS_AST_PARENT	
552783	552784	IS_AST_PARENT	
552782	552783	IS_AST_PARENT	
552785	552786	IS_AST_PARENT	
552782	552785	IS_AST_PARENT	
552789	552790	IS_AST_PARENT	
552789	552791	IS_AST_PARENT	
552788	552789	IS_AST_PARENT	
552788	552792	IS_AST_PARENT	
552787	552788	IS_AST_PARENT	
552782	552787	IS_AST_PARENT	
552779	552782	IS_AST_PARENT	
552778	552779	IS_AST_PARENT	
552770	552778	IS_AST_PARENT	
552795	552796	IS_AST_PARENT	
552798	552799	IS_AST_PARENT	
552798	552800	IS_AST_PARENT	
552797	552798	IS_AST_PARENT	
552797	552801	IS_AST_PARENT	
552795	552797	IS_AST_PARENT	
552794	552795	IS_AST_PARENT	
552794	552802	IS_AST_PARENT	
552793	552794	IS_AST_PARENT	
552770	552793	IS_AST_PARENT	
552805	552806	IS_AST_PARENT	
552804	552805	IS_AST_PARENT	
552808	552809	IS_AST_PARENT	
552807	552808	IS_AST_PARENT	
552810	552811	IS_AST_PARENT	
552807	552810	IS_AST_PARENT	
552804	552807	IS_AST_PARENT	
552803	552804	IS_AST_PARENT	
552770	552803	IS_AST_PARENT	
552814	552815	IS_AST_PARENT	
552813	552814	IS_AST_PARENT	
552817	552818	IS_AST_PARENT	
552816	552817	IS_AST_PARENT	
552813	552816	IS_AST_PARENT	
552812	552813	IS_AST_PARENT	
552770	552812	IS_AST_PARENT	
552769	552770	IS_AST_PARENT	
552768	552769	IS_AST_PARENT	
552768	552819	IS_AST_PARENT	
552768	552820	IS_AST_PARENT	
552822	552823	IS_AST_PARENT	
552822	552824	IS_AST_PARENT	
552821	552822	IS_AST_PARENT	
552768	552821	IS_AST_PARENT	
552825	552822	FLOWS_TO	
552822	552771	FLOWS_TO	
552771	552778	FLOWS_TO	
552778	552793	FLOWS_TO	
552793	552803	FLOWS_TO	
552803	552812	FLOWS_TO	
552812	552826	FLOWS_TO	
552822	552827	DEF	
552803	552827	USE	
552810	552827	USE	
552793	552828	DEF	
552794	552828	DEF	
552771	552829	DEF	
552772	552829	DEF	
552778	552829	USE	
552783	552829	USE	
552793	552829	USE	
552795	552829	USE	
552803	552829	USE	
552808	552829	USE	
552812	552829	USE	
552817	552829	USE	
552822	552803	REACHES	data
552771	552778	REACHES	dest
552771	552793	REACHES	dest
552771	552803	REACHES	dest
552771	552812	REACHES	dest
552825	552822	CONTROLS	
552825	552771	CONTROLS	
552825	552778	CONTROLS	
552825	552793	CONTROLS	
552825	552803	CONTROLS	
552825	552812	CONTROLS	
552812	552826	DOM	
552825	552822	DOM	
552825	552825	DOM	
552822	552771	DOM	
552778	552793	DOM	
552771	552778	DOM	
552793	552803	DOM	
552803	552812	DOM	
552826	552826	POST_DOM	
552771	552822	POST_DOM	
552803	552793	POST_DOM	
552778	552771	POST_DOM	
552822	552825	POST_DOM	
552793	552778	POST_DOM	
552812	552803	POST_DOM	
552826	552812	POST_DOM	
552767	552768	IS_FUNCTION_OF_AST	
552767	552825	IS_FUNCTION_OF_CFG	
552766	552767	IS_FILE_OF	
552835	552836	IS_AST_PARENT	
552835	552837	IS_AST_PARENT	
552838	552839	IS_AST_PARENT	
552838	552840	IS_AST_PARENT	
552835	552838	IS_AST_PARENT	
552834	552835	IS_AST_PARENT	
552833	552834	IS_AST_PARENT	
552843	552844	IS_AST_PARENT	
552842	552843	IS_AST_PARENT	
552846	552847	IS_AST_PARENT	
552845	552846	IS_AST_PARENT	
552848	552849	IS_AST_PARENT	
552845	552848	IS_AST_PARENT	
552852	552853	IS_AST_PARENT	
552852	552854	IS_AST_PARENT	
552851	552852	IS_AST_PARENT	
552851	552855	IS_AST_PARENT	
552850	552851	IS_AST_PARENT	
552845	552850	IS_AST_PARENT	
552842	552845	IS_AST_PARENT	
552841	552842	IS_AST_PARENT	
552833	552841	IS_AST_PARENT	
552858	552859	IS_AST_PARENT	
552861	552862	IS_AST_PARENT	
552861	552863	IS_AST_PARENT	
552860	552861	IS_AST_PARENT	
552860	552864	IS_AST_PARENT	
552858	552860	IS_AST_PARENT	
552857	552858	IS_AST_PARENT	
552857	552865	IS_AST_PARENT	
552856	552857	IS_AST_PARENT	
552833	552856	IS_AST_PARENT	
552868	552869	IS_AST_PARENT	
552867	552868	IS_AST_PARENT	
552871	552872	IS_AST_PARENT	
552870	552871	IS_AST_PARENT	
552873	552874	IS_AST_PARENT	
552870	552873	IS_AST_PARENT	
552867	552870	IS_AST_PARENT	
552866	552867	IS_AST_PARENT	
552833	552866	IS_AST_PARENT	
552877	552878	IS_AST_PARENT	
552876	552877	IS_AST_PARENT	
552880	552881	IS_AST_PARENT	
552879	552880	IS_AST_PARENT	
552876	552879	IS_AST_PARENT	
552875	552876	IS_AST_PARENT	
552833	552875	IS_AST_PARENT	
552832	552833	IS_AST_PARENT	
552831	552832	IS_AST_PARENT	
552831	552882	IS_AST_PARENT	
552831	552883	IS_AST_PARENT	
552885	552886	IS_AST_PARENT	
552885	552887	IS_AST_PARENT	
552884	552885	IS_AST_PARENT	
552831	552884	IS_AST_PARENT	
552888	552885	FLOWS_TO	
552885	552834	FLOWS_TO	
552834	552841	FLOWS_TO	
552841	552856	FLOWS_TO	
552856	552866	FLOWS_TO	
552866	552875	FLOWS_TO	
552875	552889	FLOWS_TO	
552885	552890	DEF	
552866	552890	USE	
552873	552890	USE	
552856	552891	DEF	
552857	552891	DEF	
552834	552892	DEF	
552835	552892	DEF	
552841	552892	USE	
552846	552892	USE	
552856	552892	USE	
552858	552892	USE	
552866	552892	USE	
552871	552892	USE	
552875	552892	USE	
552880	552892	USE	
552885	552866	REACHES	data
552834	552841	REACHES	dest
552834	552856	REACHES	dest
552834	552866	REACHES	dest
552834	552875	REACHES	dest
552888	552885	CONTROLS	
552888	552834	CONTROLS	
552888	552841	CONTROLS	
552888	552856	CONTROLS	
552888	552866	CONTROLS	
552888	552875	CONTROLS	
552841	552856	DOM	
552875	552889	DOM	
552856	552866	DOM	
552885	552834	DOM	
552888	552885	DOM	
552866	552875	DOM	
552888	552888	DOM	
552834	552841	DOM	
552866	552856	POST_DOM	
552889	552889	POST_DOM	
552875	552866	POST_DOM	
552841	552834	POST_DOM	
552834	552885	POST_DOM	
552889	552875	POST_DOM	
552885	552888	POST_DOM	
552856	552841	POST_DOM	
552830	552831	IS_FUNCTION_OF_AST	
552830	552888	IS_FUNCTION_OF_CFG	
552766	552830	IS_FILE_OF	
