command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	552766	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/768/CWE127_Buffer_Underread__malloc_char_cpy_52c.c								
ANR	552767	Function	CWE127_Buffer_Underread__malloc_char_cpy_52c_badSink	25:0:773:1302							
ANR	552768	FunctionDef	CWE127_Buffer_Underread__malloc_char_cpy_52c_badSink (char * data)		552767	0					
ANR	552769	CompoundStatement		26:0:845:1302	552767	0					
ANR	552770	CompoundStatement		3:8:17:33	552767	0					
ANR	552771	IdentifierDeclStatement	char dest [ 100 * 2 ] ;	28:8:863:879	552767	0	True				
ANR	552772	IdentifierDecl	dest [ 100 * 2 ]		552767	0					
ANR	552773	IdentifierDeclType	char [ 100 * 2 ]		552767	0					
ANR	552774	Identifier	dest		552767	1					
ANR	552775	MultiplicativeExpression	100 * 2		552767	2		*			
ANR	552776	PrimaryExpression	100		552767	0					
ANR	552777	PrimaryExpression	2		552767	1					
ANR	552778	ExpressionStatement	"memset ( dest , 'C' , 100 * 2 - 1 )"	29:8:890:916	552767	1	True				
ANR	552779	CallExpression	"memset ( dest , 'C' , 100 * 2 - 1 )"		552767	0					
ANR	552780	Callee	memset		552767	0					
ANR	552781	Identifier	memset		552767	0					
ANR	552782	ArgumentList	dest		552767	1					
ANR	552783	Argument	dest		552767	0					
ANR	552784	Identifier	dest		552767	0					
ANR	552785	Argument	'C'		552767	1					
ANR	552786	PrimaryExpression	'C'		552767	0					
ANR	552787	Argument	100 * 2 - 1		552767	2					
ANR	552788	AdditiveExpression	100 * 2 - 1		552767	0		-			
ANR	552789	MultiplicativeExpression	100 * 2		552767	0		*			
ANR	552790	PrimaryExpression	100		552767	0					
ANR	552791	PrimaryExpression	2		552767	1					
ANR	552792	PrimaryExpression	1		552767	1					
ANR	552793	ExpressionStatement	dest [ 100 * 2 - 1 ] = '\\0'	30:8:948:968	552767	2	True				
ANR	552794	AssignmentExpression	dest [ 100 * 2 - 1 ] = '\\0'		552767	0		=			
ANR	552795	ArrayIndexing	dest [ 100 * 2 - 1 ]		552767	0					
ANR	552796	Identifier	dest		552767	0					
ANR	552797	AdditiveExpression	100 * 2 - 1		552767	1		-			
ANR	552798	MultiplicativeExpression	100 * 2		552767	0		*			
ANR	552799	PrimaryExpression	100		552767	0					
ANR	552800	PrimaryExpression	2		552767	1					
ANR	552801	PrimaryExpression	1		552767	1					
ANR	552802	PrimaryExpression	'\\0'		552767	1					
ANR	552803	ExpressionStatement	"strcpy ( dest , data )"	32:8:1101:1119	552767	3	True				
ANR	552804	CallExpression	"strcpy ( dest , data )"		552767	0					
ANR	552805	Callee	strcpy		552767	0					
ANR	552806	Identifier	strcpy		552767	0					
ANR	552807	ArgumentList	dest		552767	1					
ANR	552808	Argument	dest		552767	0					
ANR	552809	Identifier	dest		552767	0					
ANR	552810	Argument	data		552767	1					
ANR	552811	Identifier	data		552767	0					
ANR	552812	ExpressionStatement	printLine ( dest )	33:8:1130:1145	552767	4	True				
ANR	552813	CallExpression	printLine ( dest )		552767	0					
ANR	552814	Callee	printLine		552767	0					
ANR	552815	Identifier	printLine		552767	0					
ANR	552816	ArgumentList	dest		552767	1					
