start	end	type	var
553222	553223	IS_AST_PARENT	
553222	553224	IS_AST_PARENT	
553225	553226	IS_AST_PARENT	
553225	553227	IS_AST_PARENT	
553222	553225	IS_AST_PARENT	
553221	553222	IS_AST_PARENT	
553220	553221	IS_AST_PARENT	
553230	553231	IS_AST_PARENT	
553229	553230	IS_AST_PARENT	
553233	553234	IS_AST_PARENT	
553232	553233	IS_AST_PARENT	
553235	553236	IS_AST_PARENT	
553232	553235	IS_AST_PARENT	
553239	553240	IS_AST_PARENT	
553239	553241	IS_AST_PARENT	
553238	553239	IS_AST_PARENT	
553238	553242	IS_AST_PARENT	
553237	553238	IS_AST_PARENT	
553232	553237	IS_AST_PARENT	
553229	553232	IS_AST_PARENT	
553228	553229	IS_AST_PARENT	
553220	553228	IS_AST_PARENT	
553245	553246	IS_AST_PARENT	
553248	553249	IS_AST_PARENT	
553248	553250	IS_AST_PARENT	
553247	553248	IS_AST_PARENT	
553247	553251	IS_AST_PARENT	
553245	553247	IS_AST_PARENT	
553244	553245	IS_AST_PARENT	
553244	553252	IS_AST_PARENT	
553243	553244	IS_AST_PARENT	
553220	553243	IS_AST_PARENT	
553255	553256	IS_AST_PARENT	
553254	553255	IS_AST_PARENT	
553258	553259	IS_AST_PARENT	
553257	553258	IS_AST_PARENT	
553260	553261	IS_AST_PARENT	
553257	553260	IS_AST_PARENT	
553254	553257	IS_AST_PARENT	
553253	553254	IS_AST_PARENT	
553220	553253	IS_AST_PARENT	
553264	553265	IS_AST_PARENT	
553263	553264	IS_AST_PARENT	
553267	553268	IS_AST_PARENT	
553266	553267	IS_AST_PARENT	
553263	553266	IS_AST_PARENT	
553262	553263	IS_AST_PARENT	
553220	553262	IS_AST_PARENT	
553219	553220	IS_AST_PARENT	
553218	553219	IS_AST_PARENT	
553218	553269	IS_AST_PARENT	
553218	553270	IS_AST_PARENT	
553272	553273	IS_AST_PARENT	
553272	553274	IS_AST_PARENT	
553271	553272	IS_AST_PARENT	
553218	553271	IS_AST_PARENT	
553275	553272	FLOWS_TO	
553272	553221	FLOWS_TO	
553221	553228	FLOWS_TO	
553228	553243	FLOWS_TO	
553243	553253	FLOWS_TO	
553253	553262	FLOWS_TO	
553262	553276	FLOWS_TO	
553272	553277	DEF	
553253	553277	USE	
553260	553277	USE	
553243	553278	DEF	
553244	553278	DEF	
553221	553279	DEF	
553222	553279	DEF	
553228	553279	USE	
553233	553279	USE	
553243	553279	USE	
553245	553279	USE	
553253	553279	USE	
553258	553279	USE	
553262	553279	USE	
553267	553279	USE	
553272	553253	REACHES	data
553221	553228	REACHES	dest
553221	553243	REACHES	dest
553221	553253	REACHES	dest
553221	553262	REACHES	dest
553275	553272	CONTROLS	
553275	553221	CONTROLS	
553275	553228	CONTROLS	
553275	553243	CONTROLS	
553275	553253	CONTROLS	
553275	553262	CONTROLS	
553275	553272	DOM	
553243	553253	DOM	
553253	553262	DOM	
553275	553275	DOM	
553221	553228	DOM	
553228	553243	DOM	
553262	553276	DOM	
553272	553221	DOM	
553221	553272	POST_DOM	
553262	553253	POST_DOM	
553276	553262	POST_DOM	
553272	553275	POST_DOM	
553253	553243	POST_DOM	
553243	553228	POST_DOM	
553276	553276	POST_DOM	
553228	553221	POST_DOM	
553217	553218	IS_FUNCTION_OF_AST	
553217	553275	IS_FUNCTION_OF_CFG	
553216	553217	IS_FILE_OF	
553285	553286	IS_AST_PARENT	
553285	553287	IS_AST_PARENT	
553288	553289	IS_AST_PARENT	
553288	553290	IS_AST_PARENT	
553285	553288	IS_AST_PARENT	
553284	553285	IS_AST_PARENT	
553283	553284	IS_AST_PARENT	
553293	553294	IS_AST_PARENT	
553292	553293	IS_AST_PARENT	
553296	553297	IS_AST_PARENT	
553295	553296	IS_AST_PARENT	
553298	553299	IS_AST_PARENT	
553295	553298	IS_AST_PARENT	
553302	553303	IS_AST_PARENT	
553302	553304	IS_AST_PARENT	
553301	553302	IS_AST_PARENT	
553301	553305	IS_AST_PARENT	
553300	553301	IS_AST_PARENT	
553295	553300	IS_AST_PARENT	
553292	553295	IS_AST_PARENT	
553291	553292	IS_AST_PARENT	
553283	553291	IS_AST_PARENT	
553308	553309	IS_AST_PARENT	
553311	553312	IS_AST_PARENT	
553311	553313	IS_AST_PARENT	
553310	553311	IS_AST_PARENT	
553310	553314	IS_AST_PARENT	
553308	553310	IS_AST_PARENT	
553307	553308	IS_AST_PARENT	
553307	553315	IS_AST_PARENT	
553306	553307	IS_AST_PARENT	
553283	553306	IS_AST_PARENT	
553318	553319	IS_AST_PARENT	
553317	553318	IS_AST_PARENT	
553321	553322	IS_AST_PARENT	
553320	553321	IS_AST_PARENT	
553323	553324	IS_AST_PARENT	
553320	553323	IS_AST_PARENT	
553317	553320	IS_AST_PARENT	
553316	553317	IS_AST_PARENT	
553283	553316	IS_AST_PARENT	
553327	553328	IS_AST_PARENT	
553326	553327	IS_AST_PARENT	
553330	553331	IS_AST_PARENT	
553329	553330	IS_AST_PARENT	
553326	553329	IS_AST_PARENT	
553325	553326	IS_AST_PARENT	
553283	553325	IS_AST_PARENT	
553282	553283	IS_AST_PARENT	
553281	553282	IS_AST_PARENT	
553281	553332	IS_AST_PARENT	
553281	553333	IS_AST_PARENT	
553335	553336	IS_AST_PARENT	
553335	553337	IS_AST_PARENT	
553334	553335	IS_AST_PARENT	
553281	553334	IS_AST_PARENT	
553338	553335	FLOWS_TO	
553335	553284	FLOWS_TO	
553284	553291	FLOWS_TO	
553291	553306	FLOWS_TO	
553306	553316	FLOWS_TO	
553316	553325	FLOWS_TO	
553325	553339	FLOWS_TO	
553335	553340	DEF	
553316	553340	USE	
553323	553340	USE	
553306	553341	DEF	
553307	553341	DEF	
553284	553342	DEF	
553285	553342	DEF	
553291	553342	USE	
553296	553342	USE	
553306	553342	USE	
553308	553342	USE	
553316	553342	USE	
553321	553342	USE	
553325	553342	USE	
553330	553342	USE	
553335	553316	REACHES	data
553284	553291	REACHES	dest
553284	553306	REACHES	dest
553284	553316	REACHES	dest
553284	553325	REACHES	dest
553338	553335	CONTROLS	
553338	553284	CONTROLS	
553338	553291	CONTROLS	
553338	553306	CONTROLS	
553338	553316	CONTROLS	
553338	553325	CONTROLS	
553306	553316	DOM	
553316	553325	DOM	
553325	553339	DOM	
553335	553284	DOM	
553291	553306	DOM	
553338	553335	DOM	
553338	553338	DOM	
553284	553291	DOM	
553325	553316	POST_DOM	
553339	553325	POST_DOM	
553339	553339	POST_DOM	
553316	553306	POST_DOM	
553291	553284	POST_DOM	
553284	553335	POST_DOM	
553335	553338	POST_DOM	
553306	553291	POST_DOM	
553280	553281	IS_FUNCTION_OF_AST	
553280	553338	IS_FUNCTION_OF_CFG	
553216	553280	IS_FILE_OF	
