command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	553216	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/769/CWE127_Buffer_Underread__malloc_char_cpy_53d.c								
ANR	553217	Function	CWE127_Buffer_Underread__malloc_char_cpy_53d_badSink	25:0:800:1329							
ANR	553218	FunctionDef	CWE127_Buffer_Underread__malloc_char_cpy_53d_badSink (char * data)		553217	0					
ANR	553219	CompoundStatement		26:0:872:1329	553217	0					
ANR	553220	CompoundStatement		3:8:17:33	553217	0					
ANR	553221	IdentifierDeclStatement	char dest [ 100 * 2 ] ;	28:8:890:906	553217	0	True				
ANR	553222	IdentifierDecl	dest [ 100 * 2 ]		553217	0					
ANR	553223	IdentifierDeclType	char [ 100 * 2 ]		553217	0					
ANR	553224	Identifier	dest		553217	1					
ANR	553225	MultiplicativeExpression	100 * 2		553217	2		*			
ANR	553226	PrimaryExpression	100		553217	0					
ANR	553227	PrimaryExpression	2		553217	1					
ANR	553228	ExpressionStatement	"memset ( dest , 'C' , 100 * 2 - 1 )"	29:8:917:943	553217	1	True				
ANR	553229	CallExpression	"memset ( dest , 'C' , 100 * 2 - 1 )"		553217	0					
ANR	553230	Callee	memset		553217	0					
ANR	553231	Identifier	memset		553217	0					
ANR	553232	ArgumentList	dest		553217	1					
ANR	553233	Argument	dest		553217	0					
ANR	553234	Identifier	dest		553217	0					
ANR	553235	Argument	'C'		553217	1					
ANR	553236	PrimaryExpression	'C'		553217	0					
ANR	553237	Argument	100 * 2 - 1		553217	2					
ANR	553238	AdditiveExpression	100 * 2 - 1		553217	0		-			
ANR	553239	MultiplicativeExpression	100 * 2		553217	0		*			
ANR	553240	PrimaryExpression	100		553217	0					
ANR	553241	PrimaryExpression	2		553217	1					
ANR	553242	PrimaryExpression	1		553217	1					
ANR	553243	ExpressionStatement	dest [ 100 * 2 - 1 ] = '\\0'	30:8:975:995	553217	2	True				
ANR	553244	AssignmentExpression	dest [ 100 * 2 - 1 ] = '\\0'		553217	0		=			
ANR	553245	ArrayIndexing	dest [ 100 * 2 - 1 ]		553217	0					
ANR	553246	Identifier	dest		553217	0					
ANR	553247	AdditiveExpression	100 * 2 - 1		553217	1		-			
ANR	553248	MultiplicativeExpression	100 * 2		553217	0		*			
ANR	553249	PrimaryExpression	100		553217	0					
ANR	553250	PrimaryExpression	2		553217	1					
ANR	553251	PrimaryExpression	1		553217	1					
ANR	553252	PrimaryExpression	'\\0'		553217	1					
ANR	553253	ExpressionStatement	"strcpy ( dest , data )"	32:8:1128:1146	553217	3	True				
ANR	553254	CallExpression	"strcpy ( dest , data )"		553217	0					
ANR	553255	Callee	strcpy		553217	0					
ANR	553256	Identifier	strcpy		553217	0					
ANR	553257	ArgumentList	dest		553217	1					
ANR	553258	Argument	dest		553217	0					
ANR	553259	Identifier	dest		553217	0					
ANR	553260	Argument	data		553217	1					
ANR	553261	Identifier	data		553217	0					
ANR	553262	ExpressionStatement	printLine ( dest )	33:8:1157:1172	553217	4	True				
ANR	553263	CallExpression	printLine ( dest )		553217	0					
ANR	553264	Callee	printLine		553217	0					
ANR	553265	Identifier	printLine		553217	0					
ANR	553266	ArgumentList	dest		553217	1					
ANR	553267	Argument	dest		553217	0					
ANR	553268	Identifier	dest		553217	0					
ANR	553269	ReturnType	void		553217	1					
ANR	553270	Identifier	CWE127_Buffer_Underread__malloc_char_cpy_53d_badSink		553217	2					
ANR	553271	ParameterList	char * data		553217	3					
ANR	553272	Parameter	char * data	25:58:858:868	553217	0	True				
ANR	553273	ParameterType	char *		553217	0					
ANR	553274	Identifier	data		553217	1					
ANR	553275	CFGEntryNode	ENTRY		553217		True				
ANR	553276	CFGExitNode	EXIT		553217		True				
ANR	553277	Symbol	data		553217						
ANR	553278	Symbol	* dest		553217						
ANR	553279	Symbol	dest		553217						
ANR	553280	Function	CWE127_Buffer_Underread__malloc_char_cpy_53d_goodG2BSink	44:0:1430:1963							
ANR	553281	FunctionDef	CWE127_Buffer_Underread__malloc_char_cpy_53d_goodG2BSink (char * data)		553280	0					
ANR	553282	CompoundStatement		45:0:1506:1963	553280	0					
ANR	553283	CompoundStatement		3:8:17:33	553280	0					
ANR	553284	IdentifierDeclStatement	char dest [ 100 * 2 ] ;	47:8:1524:1540	553280	0	True				
ANR	553285	IdentifierDecl	dest [ 100 * 2 ]		553280	0					
ANR	553286	IdentifierDeclType	char [ 100 * 2 ]		553280	0					
ANR	553287	Identifier	dest		553280	1					
ANR	553288	MultiplicativeExpression	100 * 2		553280	2		*			
ANR	553289	PrimaryExpression	100		553280	0					
