command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	553709	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/770/CWE127_Buffer_Underread__malloc_char_cpy_54e.c								
ANR	553710	Function	CWE127_Buffer_Underread__malloc_char_cpy_54e_badSink	25:0:801:1330							
ANR	553711	FunctionDef	CWE127_Buffer_Underread__malloc_char_cpy_54e_badSink (char * data)		553710	0					
ANR	553712	CompoundStatement		26:0:873:1330	553710	0					
ANR	553713	CompoundStatement		3:8:17:33	553710	0					
ANR	553714	IdentifierDeclStatement	char dest [ 100 * 2 ] ;	28:8:891:907	553710	0	True				
ANR	553715	IdentifierDecl	dest [ 100 * 2 ]		553710	0					
ANR	553716	IdentifierDeclType	char [ 100 * 2 ]		553710	0					
ANR	553717	Identifier	dest		553710	1					
ANR	553718	MultiplicativeExpression	100 * 2		553710	2		*			
ANR	553719	PrimaryExpression	100		553710	0					
ANR	553720	PrimaryExpression	2		553710	1					
ANR	553721	ExpressionStatement	"memset ( dest , 'C' , 100 * 2 - 1 )"	29:8:918:944	553710	1	True				
ANR	553722	CallExpression	"memset ( dest , 'C' , 100 * 2 - 1 )"		553710	0					
ANR	553723	Callee	memset		553710	0					
ANR	553724	Identifier	memset		553710	0					
ANR	553725	ArgumentList	dest		553710	1					
ANR	553726	Argument	dest		553710	0					
ANR	553727	Identifier	dest		553710	0					
ANR	553728	Argument	'C'		553710	1					
ANR	553729	PrimaryExpression	'C'		553710	0					
ANR	553730	Argument	100 * 2 - 1		553710	2					
ANR	553731	AdditiveExpression	100 * 2 - 1		553710	0		-			
ANR	553732	MultiplicativeExpression	100 * 2		553710	0		*			
ANR	553733	PrimaryExpression	100		553710	0					
ANR	553734	PrimaryExpression	2		553710	1					
ANR	553735	PrimaryExpression	1		553710	1					
ANR	553736	ExpressionStatement	dest [ 100 * 2 - 1 ] = '\\0'	30:8:976:996	553710	2	True				
ANR	553737	AssignmentExpression	dest [ 100 * 2 - 1 ] = '\\0'		553710	0		=			
ANR	553738	ArrayIndexing	dest [ 100 * 2 - 1 ]		553710	0					
ANR	553739	Identifier	dest		553710	0					
ANR	553740	AdditiveExpression	100 * 2 - 1		553710	1		-			
ANR	553741	MultiplicativeExpression	100 * 2		553710	0		*			
ANR	553742	PrimaryExpression	100		553710	0					
ANR	553743	PrimaryExpression	2		553710	1					
ANR	553744	PrimaryExpression	1		553710	1					
ANR	553745	PrimaryExpression	'\\0'		553710	1					
ANR	553746	ExpressionStatement	"strcpy ( dest , data )"	32:8:1129:1147	553710	3	True				
ANR	553747	CallExpression	"strcpy ( dest , data )"		553710	0					
ANR	553748	Callee	strcpy		553710	0					
ANR	553749	Identifier	strcpy		553710	0					
ANR	553750	ArgumentList	dest		553710	1					
ANR	553751	Argument	dest		553710	0					
ANR	553752	Identifier	dest		553710	0					
ANR	553753	Argument	data		553710	1					
ANR	553754	Identifier	data		553710	0					
ANR	553755	ExpressionStatement	printLine ( dest )	33:8:1158:1173	553710	4	True				
ANR	553756	CallExpression	printLine ( dest )		553710	0					
ANR	553757	Callee	printLine		553710	0					
ANR	553758	Identifier	printLine		553710	0					
ANR	553759	ArgumentList	dest		553710	1					
ANR	553760	Argument	dest		553710	0					
ANR	553761	Identifier	dest		553710	0					
ANR	553762	ReturnType	void		553710	1					
ANR	553763	Identifier	CWE127_Buffer_Underread__malloc_char_cpy_54e_badSink		553710	2					
ANR	553764	ParameterList	char * data		553710	3					
ANR	553765	Parameter	char * data	25:58:859:869	553710	0	True				
ANR	553766	ParameterType	char *		553710	0					
ANR	553767	Identifier	data		553710	1					
ANR	553768	CFGEntryNode	ENTRY		553710		True				
ANR	553769	CFGExitNode	EXIT		553710		True				
ANR	553770	Symbol	data		553710						
ANR	553771	Symbol	* dest		553710						
ANR	553772	Symbol	dest		553710						
ANR	553773	Function	CWE127_Buffer_Underread__malloc_char_cpy_54e_goodG2BSink	44:0:1431:1964							
ANR	553774	FunctionDef	CWE127_Buffer_Underread__malloc_char_cpy_54e_goodG2BSink (char * data)		553773	0					
ANR	553775	CompoundStatement		45:0:1507:1964	553773	0					
ANR	553776	CompoundStatement		3:8:17:33	553773	0					
ANR	553777	IdentifierDeclStatement	char dest [ 100 * 2 ] ;	47:8:1525:1541	553773	0	True				
ANR	553778	IdentifierDecl	dest [ 100 * 2 ]		553773	0					
ANR	553779	IdentifierDeclType	char [ 100 * 2 ]		553773	0					
ANR	553780	Identifier	dest		553773	1					
ANR	553781	MultiplicativeExpression	100 * 2		553773	2		*			
ANR	553782	PrimaryExpression	100		553773	0					
ANR	553783	PrimaryExpression	2		553773	1					
ANR	553784	ExpressionStatement	"memset ( dest , 'C' , 100 * 2 - 1 )"	48:8:1552:1578	553773	1	True				
ANR	553785	CallExpression	"memset ( dest , 'C' , 100 * 2 - 1 )"		553773	0					
ANR	553786	Callee	memset		553773	0					
ANR	553787	Identifier	memset		553773	0					
ANR	553788	ArgumentList	dest		553773	1					
ANR	553789	Argument	dest		553773	0					
ANR	553790	Identifier	dest		553773	0					
ANR	553791	Argument	'C'		553773	1					
ANR	553792	PrimaryExpression	'C'		553773	0					
ANR	553793	Argument	100 * 2 - 1		553773	2					
ANR	553794	AdditiveExpression	100 * 2 - 1		553773	0		-			
ANR	553795	MultiplicativeExpression	100 * 2		553773	0		*			
ANR	553796	PrimaryExpression	100		553773	0					
ANR	553797	PrimaryExpression	2		553773	1					
ANR	553798	PrimaryExpression	1		553773	1					
ANR	553799	ExpressionStatement	dest [ 100 * 2 - 1 ] = '\\0'	49:8:1610:1630	553773	2	True				
ANR	553800	AssignmentExpression	dest [ 100 * 2 - 1 ] = '\\0'		553773	0		=			
ANR	553801	ArrayIndexing	dest [ 100 * 2 - 1 ]		553773	0					
ANR	553802	Identifier	dest		553773	0					
ANR	553803	AdditiveExpression	100 * 2 - 1		553773	1		-			
ANR	553804	MultiplicativeExpression	100 * 2		553773	0		*			
ANR	553805	PrimaryExpression	100		553773	0					
ANR	553806	PrimaryExpression	2		553773	1					
ANR	553807	PrimaryExpression	1		553773	1					
ANR	553808	PrimaryExpression	'\\0'		553773	1					
ANR	553809	ExpressionStatement	"strcpy ( dest , data )"	51:8:1763:1781	553773	3	True				
ANR	553810	CallExpression	"strcpy ( dest , data )"		553773	0					
ANR	553811	Callee	strcpy		553773	0					
ANR	553812	Identifier	strcpy		553773	0					
ANR	553813	ArgumentList	dest		553773	1					
ANR	553814	Argument	dest		553773	0					
ANR	553815	Identifier	dest		553773	0					
ANR	553816	Argument	data		553773	1					
ANR	553817	Identifier	data		553773	0					
ANR	553818	ExpressionStatement	printLine ( dest )	52:8:1792:1807	553773	4	True				
ANR	553819	CallExpression	printLine ( dest )		553773	0					
ANR	553820	Callee	printLine		553773	0					
ANR	553821	Identifier	printLine		553773	0					
ANR	553822	ArgumentList	dest		553773	1					
ANR	553823	Argument	dest		553773	0					
ANR	553824	Identifier	dest		553773	0					
ANR	553825	ReturnType	void		553773	1					
ANR	553826	Identifier	CWE127_Buffer_Underread__malloc_char_cpy_54e_goodG2BSink		553773	2					
ANR	553827	ParameterList	char * data		553773	3					
ANR	553828	Parameter	char * data	44:62:1493:1503	553773	0	True				
ANR	553829	ParameterType	char *		553773	0					
ANR	553830	Identifier	data		553773	1					
ANR	553831	CFGEntryNode	ENTRY		553773		True				
ANR	553832	CFGExitNode	EXIT		553773		True				
ANR	553833	Symbol	data		553773						
ANR	553834	Symbol	* dest		553773						
ANR	553835	Symbol	dest		553773						
