command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	555855	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/778/CWE127_Buffer_Underread__malloc_char_cpy_68a.c								
ANR	555856	DeclStmt									
ANR	555857	Decl							char	char *	CWE127_Buffer_Underread__malloc_char_cpy_68_badData
ANR	555858	DeclStmt									
ANR	555859	Decl							char	char *	CWE127_Buffer_Underread__malloc_char_cpy_68_goodG2BData
ANR	555860	DeclStmt									
ANR	555861	Decl							void	void ( )	CWE127_Buffer_Underread__malloc_char_cpy_68b_badSink
ANR	555862	Function	CWE127_Buffer_Underread__malloc_char_cpy_68_bad	29:0:883:1365							
ANR	555863	FunctionDef	CWE127_Buffer_Underread__malloc_char_cpy_68_bad ()		555862	0					
ANR	555864	CompoundStatement		30:0:939:1365	555862	0					
ANR	555865	IdentifierDeclStatement	char * data ;	31:4:946:957	555862	0	True				
ANR	555866	IdentifierDecl	* data		555862	0					
ANR	555867	IdentifierDeclType	char *		555862	0					
ANR	555868	Identifier	data		555862	1					
ANR	555869	ExpressionStatement	data = NULL	32:4:964:975	555862	1	True				
ANR	555870	AssignmentExpression	data = NULL		555862	0		=			
ANR	555871	Identifier	data		555862	0					
ANR	555872	Identifier	NULL		555862	1					
ANR	555873	CompoundStatement		5:8:53:105	555862	2					
ANR	555874	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	34:8:993:1045	555862	0	True				
ANR	555875	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		555862	0					
ANR	555876	IdentifierDeclType	char *		555862	0					
ANR	555877	Identifier	dataBuffer		555862	1					
ANR	555878	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		555862	2		=			
ANR	555879	Identifier	dataBuffer		555862	0					
ANR	555880	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		555862	1					
ANR	555881	CastTarget	char *		555862	0					
ANR	555882	CallExpression	malloc ( 100 * sizeof ( char ) )		555862	1					
ANR	555883	Callee	malloc		555862	0					
ANR	555884	Identifier	malloc		555862	0					
ANR	555885	ArgumentList	100 * sizeof ( char )		555862	1					
ANR	555886	Argument	100 * sizeof ( char )		555862	0					
ANR	555887	MultiplicativeExpression	100 * sizeof ( char )		555862	0		*			
ANR	555888	PrimaryExpression	100		555862	0					
ANR	555889	SizeofExpression	sizeof ( char )		555862	1					
ANR	555890	Sizeof	sizeof		555862	0					
ANR	555891	SizeofOperand	char		555862	1					
ANR	555892	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	35:8:1056:1086	555862	1	True				
ANR	555893	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		555862	0					
ANR	555894	Callee	memset		555862	0					
ANR	555895	Identifier	memset		555862	0					
ANR	555896	ArgumentList	dataBuffer		555862	1					
ANR	555897	Argument	dataBuffer		555862	0					
ANR	555898	Identifier	dataBuffer		555862	0					
ANR	555899	Argument	'A'		555862	1					
ANR	555900	PrimaryExpression	'A'		555862	0					
ANR	555901	Argument	100 - 1		555862	2					
ANR	555902	AdditiveExpression	100 - 1		555862	0		-			
ANR	555903	PrimaryExpression	100		555862	0					
ANR	555904	PrimaryExpression	1		555862	1					
ANR	555905	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	36:8:1097:1121	555862	2	True				
ANR	555906	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		555862	0		=			
ANR	555907	ArrayIndexing	dataBuffer [ 100 - 1 ]		555862	0					
ANR	555908	Identifier	dataBuffer		555862	0					
ANR	555909	AdditiveExpression	100 - 1		555862	1		-			
ANR	555910	PrimaryExpression	100		555862	0					
ANR	555911	PrimaryExpression	1		555862	1					
ANR	555912	PrimaryExpression	'\\0'		555862	1					
ANR	555913	ExpressionStatement	data = dataBuffer - 8	38:8:1208:1229	555862	3	True				
ANR	555914	AssignmentExpression	data = dataBuffer - 8		555862	0		=			
ANR	555915	Identifier	data		555862	0					
ANR	555916	AdditiveExpression	dataBuffer - 8		555862	1		-			
ANR	555917	Identifier	dataBuffer		555862	0					
ANR	555918	PrimaryExpression	8		555862	1					
ANR	555919	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_cpy_68_badData = data	40:4:1243:1301	555862	3	True				
ANR	555920	AssignmentExpression	CWE127_Buffer_Underread__malloc_char_cpy_68_badData = data		555862	0		=			
ANR	555921	Identifier	CWE127_Buffer_Underread__malloc_char_cpy_68_badData		555862	0					
ANR	555922	Identifier	data		555862	1					
ANR	555923	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_cpy_68b_badSink ( )	41:4:1308:1362	555862	4	True				
ANR	555924	CallExpression	CWE127_Buffer_Underread__malloc_char_cpy_68b_badSink ( )		555862	0					
ANR	555925	Callee	CWE127_Buffer_Underread__malloc_char_cpy_68b_badSink		555862	0					
ANR	555926	Identifier	CWE127_Buffer_Underread__malloc_char_cpy_68b_badSink		555862	0					
ANR	555927	ArgumentList			555862	1					
ANR	555928	ReturnType	void		555862	1					
ANR	555929	Identifier	CWE127_Buffer_Underread__malloc_char_cpy_68_bad		555862	2					
ANR	555930	ParameterList			555862	3					
ANR	555931	CFGEntryNode	ENTRY		555862		True				
ANR	555932	CFGExitNode	EXIT		555862		True				
ANR	555933	Symbol	malloc		555862						
ANR	555934	Symbol	NULL		555862						
ANR	555935	Symbol	data		555862						
ANR	555936	Symbol	dataBuffer		555862						
ANR	555937	Symbol	CWE127_Buffer_Underread__malloc_char_cpy_68_badData		555862						
ANR	555938	Symbol	* dataBuffer		555862						
ANR	555939	DeclStmt									
ANR	555940	Decl							void	void ( )	CWE127_Buffer_Underread__malloc_char_cpy_68b_goodG2BSink
ANR	555941	Function	goodG2B	52:0:1568:2013							
ANR	555942	FunctionDef	goodG2B ()		555941	0					
ANR	555943	CompoundStatement		53:0:1591:2013	555941	0					
