command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	556888	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/785/CWE127_Buffer_Underread__malloc_char_cpy_84a.cpp								
ANR	556889	Function	bad	25:0:788:988							
ANR	556890	FunctionDef	bad ()		556889	0					
ANR	556891	CompoundStatement		26:0:800:988	556889	0					
ANR	556892	IdentifierDeclStatement	char * data ;	27:4:807:818	556889	0	True				
ANR	556893	IdentifierDecl	* data		556889	0					
ANR	556894	IdentifierDeclType	char *		556889	0					
ANR	556895	Identifier	data		556889	1					
ANR	556896	ExpressionStatement	data = NULL	28:4:825:836	556889	1	True				
ANR	556897	AssignmentExpression	data = NULL		556889	0		=			
ANR	556898	Identifier	data		556889	0					
ANR	556899	Identifier	NULL		556889	1					
ANR	556900	IdentifierDeclStatement	CWE127_Buffer_Underread__malloc_char_cpy_84_bad * badObject = new CWE127_Buffer_Underread__malloc_char_cpy_84_bad ( data ) ;	29:4:843:962	556889	2	True				
ANR	556901	IdentifierDecl	* badObject = new CWE127_Buffer_Underread__malloc_char_cpy_84_bad ( data )		556889	0					
ANR	556902	IdentifierDeclType	CWE127_Buffer_Underread__malloc_char_cpy_84_bad *		556889	0					
ANR	556903	Identifier	badObject		556889	1					
ANR	556904	AssignmentExpression	* badObject = new CWE127_Buffer_Underread__malloc_char_cpy_84_bad ( data )		556889	2		=			
ANR	556905	Identifier	data		556889	0					
ANR	556906	Identifier	data		556889	1					
ANR	556907	Statement	delete	30:4:969:974	556889	3	True				
ANR	556908	ExpressionStatement	badObject	30:11:976:985	556889	4	True				
ANR	556909	Identifier	badObject		556889	0					
ANR	556910	ReturnType	void		556889	1					
ANR	556911	Identifier	bad		556889	2					
ANR	556912	ParameterList			556889	3					
ANR	556913	CFGEntryNode	ENTRY		556889		True				
ANR	556914	CFGExitNode	EXIT		556889		True				
ANR	556915	Symbol	NULL		556889						
ANR	556916	Symbol	data		556889						
ANR	556917	Symbol	badObject		556889						
ANR	556918	Function	goodG2B	38:0:1089:1317							
ANR	556919	FunctionDef	goodG2B ()		556918	0					
ANR	556920	CompoundStatement		39:0:1112:1317	556918	0					
ANR	556921	IdentifierDeclStatement	char * data ;	40:4:1119:1130	556918	0	True				
ANR	556922	IdentifierDecl	* data		556918	0					
ANR	556923	IdentifierDeclType	char *		556918	0					
ANR	556924	Identifier	data		556918	1					
ANR	556925	ExpressionStatement	data = NULL	41:4:1137:1148	556918	1	True				
ANR	556926	AssignmentExpression	data = NULL		556918	0		=			
ANR	556927	Identifier	data		556918	0					
ANR	556928	Identifier	NULL		556918	1					
ANR	556929	IdentifierDeclStatement	CWE127_Buffer_Underread__malloc_char_cpy_84_goodG2B * goodG2BObject = new CWE127_Buffer_Underread__malloc_char_cpy_84_goodG2B ( data ) ;	42:4:1155:1287	556918	2	True				
ANR	556930	IdentifierDecl	* goodG2BObject = new CWE127_Buffer_Underread__malloc_char_cpy_84_goodG2B ( data )		556918	0					
ANR	556931	IdentifierDeclType	CWE127_Buffer_Underread__malloc_char_cpy_84_goodG2B *		556918	0					
ANR	556932	Identifier	goodG2BObject		556918	1					
ANR	556933	AssignmentExpression	* goodG2BObject = new CWE127_Buffer_Underread__malloc_char_cpy_84_goodG2B ( data )		556918	2		=			
ANR	556934	Identifier	data		556918	0					
ANR	556935	Identifier	data		556918	1					
ANR	556936	Statement	delete	43:4:1294:1299	556918	3	True				
ANR	556937	ExpressionStatement	goodG2BObject	43:11:1301:1314	556918	4	True				
ANR	556938	Identifier	goodG2BObject		556918	0					
ANR	556939	ReturnType	static void		556918	1					
ANR	556940	Identifier	goodG2B		556918	2					
ANR	556941	ParameterList			556918	3					
ANR	556942	CFGEntryNode	ENTRY		556918		True				
ANR	556943	CFGExitNode	EXIT		556918		True				
ANR	556944	Symbol	NULL		556918						
ANR	556945	Symbol	data		556918						
ANR	556946	Symbol	goodG2BObject		556918						
ANR	556947	Function	good	46:0:1322:1354							
ANR	556948	FunctionDef	good ()		556947	0					
