command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	558745	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/818/CWE127_Buffer_Underread__malloc_char_loop_54e.c								
ANR	558746	Function	CWE127_Buffer_Underread__malloc_char_loop_54e_badSink	25:0:803:1474							
ANR	558747	FunctionDef	CWE127_Buffer_Underread__malloc_char_loop_54e_badSink (char * data)		558746	0					
ANR	558748	CompoundStatement		26:0:876:1474	558746	0					
ANR	558749	CompoundStatement		4:8:36:50	558746	0					
ANR	558750	IdentifierDeclStatement	size_t i ;	28:8:894:902	558746	0	True				
ANR	558751	IdentifierDecl	i		558746	0					
ANR	558752	IdentifierDeclType	size_t		558746	0					
ANR	558753	Identifier	i		558746	1					
ANR	558754	IdentifierDeclStatement	char dest [ 100 ] ;	29:8:913:927	558746	1	True				
ANR	558755	IdentifierDecl	dest [ 100 ]		558746	0					
ANR	558756	IdentifierDeclType	char [ 100 ]		558746	0					
ANR	558757	Identifier	dest		558746	1					
ANR	558758	PrimaryExpression	100		558746	2					
ANR	558759	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	30:8:938:962	558746	2	True				
ANR	558760	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		558746	0					
ANR	558761	Callee	memset		558746	0					
ANR	558762	Identifier	memset		558746	0					
ANR	558763	ArgumentList	dest		558746	1					
ANR	558764	Argument	dest		558746	0					
ANR	558765	Identifier	dest		558746	0					
ANR	558766	Argument	'C'		558746	1					
ANR	558767	PrimaryExpression	'C'		558746	0					
ANR	558768	Argument	100 - 1		558746	2					
ANR	558769	AdditiveExpression	100 - 1		558746	0		-			
ANR	558770	PrimaryExpression	100		558746	0					
ANR	558771	PrimaryExpression	1		558746	1					
ANR	558772	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	31:8:994:1012	558746	3	True				
ANR	558773	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		558746	0		=			
ANR	558774	ArrayIndexing	dest [ 100 - 1 ]		558746	0					
ANR	558775	Identifier	dest		558746	0					
ANR	558776	AdditiveExpression	100 - 1		558746	1		-			
ANR	558777	PrimaryExpression	100		558746	0					
ANR	558778	PrimaryExpression	1		558746	1					
ANR	558779	PrimaryExpression	'\\0'		558746	1					
ANR	558780	ForStatement	for ( i = 0 ; i < 100 ; i ++ )		558746	4					
ANR	558781	ForInit	i = 0 ;	33:13:1150:1155	558746	0	True				
ANR	558782	AssignmentExpression	i = 0		558746	0		=			
ANR	558783	Identifier	i		558746	0					
ANR	558784	PrimaryExpression	0		558746	1					
ANR	558785	Condition	i < 100	33:20:1157:1163	558746	1	True				
ANR	558786	RelationalExpression	i < 100		558746	0		<			
ANR	558787	Identifier	i		558746	0					
ANR	558788	PrimaryExpression	100		558746	1					
ANR	558789	PostIncDecOperationExpression	i ++	33:29:1166:1168	558746	2	True				
ANR	558790	Identifier	i		558746	0					
ANR	558791	IncDec	++		558746	1					
ANR	558792	CompoundStatement		9:8:303:303	558746	3					
ANR	558793	ExpressionStatement	dest [ i ] = data [ i ]	35:12:1195:1212	558746	0	True				
ANR	558794	AssignmentExpression	dest [ i ] = data [ i ]		558746	0		=			
ANR	558795	ArrayIndexing	dest [ i ]		558746	0					
ANR	558796	Identifier	dest		558746	0					
ANR	558797	Identifier	i		558746	1					
ANR	558798	ArrayIndexing	data [ i ]		558746	1					
ANR	558799	Identifier	data		558746	0					
ANR	558800	Identifier	i		558746	1					
ANR	558801	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	38:8:1273:1291	558746	5	True				
ANR	558802	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		558746	0		=			
ANR	558803	ArrayIndexing	dest [ 100 - 1 ]		558746	0					
ANR	558804	Identifier	dest		558746	0					
ANR	558805	AdditiveExpression	100 - 1		558746	1		-			
ANR	558806	PrimaryExpression	100		558746	0					
ANR	558807	PrimaryExpression	1		558746	1					
ANR	558808	PrimaryExpression	'\\0'		558746	1					
ANR	558809	ExpressionStatement	printLine ( dest )	39:8:1302:1317	558746	6	True				
ANR	558810	CallExpression	printLine ( dest )		558746	0					
ANR	558811	Callee	printLine		558746	0					
ANR	558812	Identifier	printLine		558746	0					
ANR	558813	ArgumentList	dest		558746	1					
ANR	558814	Argument	dest		558746	0					
ANR	558815	Identifier	dest		558746	0					
ANR	558816	ReturnType	void		558746	1					
ANR	558817	Identifier	CWE127_Buffer_Underread__malloc_char_loop_54e_badSink		558746	2					
ANR	558818	ParameterList	char * data		558746	3					
ANR	558819	Parameter	char * data	25:59:862:872	558746	0	True				
ANR	558820	ParameterType	char *		558746	0					
ANR	558821	Identifier	data		558746	1					
ANR	558822	CFGEntryNode	ENTRY		558746		True				
ANR	558823	CFGExitNode	EXIT		558746		True				
ANR	558824	Symbol	* i		558746						
ANR	558825	Symbol	data		558746						
ANR	558826	Symbol	* dest		558746						
ANR	558827	Symbol	i		558746						
ANR	558828	Symbol	dest		558746						
ANR	558829	Symbol	* data		558746						
ANR	558830	Function	CWE127_Buffer_Underread__malloc_char_loop_54e_goodG2BSink	50:0:1575:2250							
ANR	558831	FunctionDef	CWE127_Buffer_Underread__malloc_char_loop_54e_goodG2BSink (char * data)		558830	0					
ANR	558832	CompoundStatement		51:0:1652:2250	558830	0					
ANR	558833	CompoundStatement		4:8:36:50	558830	0					
ANR	558834	IdentifierDeclStatement	size_t i ;	53:8:1670:1678	558830	0	True				
ANR	558835	IdentifierDecl	i		558830	0					
ANR	558836	IdentifierDeclType	size_t		558830	0					
ANR	558837	Identifier	i		558830	1					
ANR	558838	IdentifierDeclStatement	char dest [ 100 ] ;	54:8:1689:1703	558830	1	True				
ANR	558839	IdentifierDecl	dest [ 100 ]		558830	0					
ANR	558840	IdentifierDeclType	char [ 100 ]		558830	0					
ANR	558841	Identifier	dest		558830	1					
ANR	558842	PrimaryExpression	100		558830	2					
ANR	558843	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	55:8:1714:1738	558830	2	True				
ANR	558844	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		558830	0					
ANR	558845	Callee	memset		558830	0					
ANR	558846	Identifier	memset		558830	0					
ANR	558847	ArgumentList	dest		558830	1					
ANR	558848	Argument	dest		558830	0					
ANR	558849	Identifier	dest		558830	0					
ANR	558850	Argument	'C'		558830	1					
ANR	558851	PrimaryExpression	'C'		558830	0					
ANR	558852	Argument	100 - 1		558830	2					
ANR	558853	AdditiveExpression	100 - 1		558830	0		-			
ANR	558854	PrimaryExpression	100		558830	0					
ANR	558855	PrimaryExpression	1		558830	1					
ANR	558856	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	56:8:1770:1788	558830	3	True				
ANR	558857	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		558830	0		=			
ANR	558858	ArrayIndexing	dest [ 100 - 1 ]		558830	0					
ANR	558859	Identifier	dest		558830	0					
ANR	558860	AdditiveExpression	100 - 1		558830	1		-			
ANR	558861	PrimaryExpression	100		558830	0					
ANR	558862	PrimaryExpression	1		558830	1					
ANR	558863	PrimaryExpression	'\\0'		558830	1					
ANR	558864	ForStatement	for ( i = 0 ; i < 100 ; i ++ )		558830	4					
ANR	558865	ForInit	i = 0 ;	58:13:1926:1931	558830	0	True				
ANR	558866	AssignmentExpression	i = 0		558830	0		=			
ANR	558867	Identifier	i		558830	0					
ANR	558868	PrimaryExpression	0		558830	1					
ANR	558869	Condition	i < 100	58:20:1933:1939	558830	1	True				
ANR	558870	RelationalExpression	i < 100		558830	0		<			
ANR	558871	Identifier	i		558830	0					
ANR	558872	PrimaryExpression	100		558830	1					
ANR	558873	PostIncDecOperationExpression	i ++	58:29:1942:1944	558830	2	True				
ANR	558874	Identifier	i		558830	0					
ANR	558875	IncDec	++		558830	1					
ANR	558876	CompoundStatement		9:8:303:303	558830	3					
ANR	558877	ExpressionStatement	dest [ i ] = data [ i ]	60:12:1971:1988	558830	0	True				
ANR	558878	AssignmentExpression	dest [ i ] = data [ i ]		558830	0		=			
ANR	558879	ArrayIndexing	dest [ i ]		558830	0					
ANR	558880	Identifier	dest		558830	0					
ANR	558881	Identifier	i		558830	1					
ANR	558882	ArrayIndexing	data [ i ]		558830	1					
