command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	558915	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/821/CWE127_Buffer_Underread__malloc_char_loop_63a.c								
ANR	558916	DeclStmt									
ANR	558917	Decl							void	void ( char * * dataPtr )	CWE127_Buffer_Underread__malloc_char_loop_63b_badSink
ANR	558918	Function	CWE127_Buffer_Underread__malloc_char_loop_63_bad	26:0:765:1189							
ANR	558919	FunctionDef	CWE127_Buffer_Underread__malloc_char_loop_63_bad ()		558918	0					
ANR	558920	CompoundStatement		27:0:822:1189	558918	0					
ANR	558921	IdentifierDeclStatement	char * data ;	28:4:829:840	558918	0	True				
ANR	558922	IdentifierDecl	* data		558918	0					
ANR	558923	IdentifierDeclType	char *		558918	0					
ANR	558924	Identifier	data		558918	1					
ANR	558925	ExpressionStatement	data = NULL	29:4:847:858	558918	1	True				
ANR	558926	AssignmentExpression	data = NULL		558918	0		=			
ANR	558927	Identifier	data		558918	0					
ANR	558928	Identifier	NULL		558918	1					
ANR	558929	CompoundStatement		5:8:53:105	558918	2					
ANR	558930	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	31:8:876:928	558918	0	True				
ANR	558931	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		558918	0					
ANR	558932	IdentifierDeclType	char *		558918	0					
ANR	558933	Identifier	dataBuffer		558918	1					
ANR	558934	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		558918	2		=			
ANR	558935	Identifier	dataBuffer		558918	0					
ANR	558936	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		558918	1					
ANR	558937	CastTarget	char *		558918	0					
ANR	558938	CallExpression	malloc ( 100 * sizeof ( char ) )		558918	1					
ANR	558939	Callee	malloc		558918	0					
ANR	558940	Identifier	malloc		558918	0					
ANR	558941	ArgumentList	100 * sizeof ( char )		558918	1					
ANR	558942	Argument	100 * sizeof ( char )		558918	0					
ANR	558943	MultiplicativeExpression	100 * sizeof ( char )		558918	0		*			
ANR	558944	PrimaryExpression	100		558918	0					
ANR	558945	SizeofExpression	sizeof ( char )		558918	1					
ANR	558946	Sizeof	sizeof		558918	0					
ANR	558947	SizeofOperand	char		558918	1					
ANR	558948	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	32:8:939:969	558918	1	True				
ANR	558949	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		558918	0					
ANR	558950	Callee	memset		558918	0					
