start	end	type	var
562017	562018	IS_AST_PARENT	
562017	562019	IS_AST_PARENT	
562016	562017	IS_AST_PARENT	
562015	562016	IS_AST_PARENT	
562022	562023	IS_AST_PARENT	
562022	562024	IS_AST_PARENT	
562025	562026	IS_AST_PARENT	
562027	562028	IS_AST_PARENT	
562030	562031	IS_AST_PARENT	
562029	562030	IS_AST_PARENT	
562034	562035	IS_AST_PARENT	
562036	562037	IS_AST_PARENT	
562036	562038	IS_AST_PARENT	
562034	562036	IS_AST_PARENT	
562033	562034	IS_AST_PARENT	
562032	562033	IS_AST_PARENT	
562029	562032	IS_AST_PARENT	
562027	562029	IS_AST_PARENT	
562025	562027	IS_AST_PARENT	
562022	562025	IS_AST_PARENT	
562021	562022	IS_AST_PARENT	
562020	562021	IS_AST_PARENT	
562041	562042	IS_AST_PARENT	
562040	562041	IS_AST_PARENT	
562044	562045	IS_AST_PARENT	
562043	562044	IS_AST_PARENT	
562046	562047	IS_AST_PARENT	
562043	562046	IS_AST_PARENT	
562049	562050	IS_AST_PARENT	
562049	562051	IS_AST_PARENT	
562048	562049	IS_AST_PARENT	
562043	562048	IS_AST_PARENT	
562040	562043	IS_AST_PARENT	
562039	562040	IS_AST_PARENT	
562020	562039	IS_AST_PARENT	
562054	562055	IS_AST_PARENT	
562056	562057	IS_AST_PARENT	
562056	562058	IS_AST_PARENT	
562054	562056	IS_AST_PARENT	
562053	562054	IS_AST_PARENT	
562053	562059	IS_AST_PARENT	
562052	562053	IS_AST_PARENT	
562020	562052	IS_AST_PARENT	
562061	562062	IS_AST_PARENT	
562063	562064	IS_AST_PARENT	
562063	562065	IS_AST_PARENT	
562061	562063	IS_AST_PARENT	
562060	562061	IS_AST_PARENT	
562020	562060	IS_AST_PARENT	
562015	562020	IS_AST_PARENT	
562014	562015	IS_AST_PARENT	
562014	562066	IS_AST_PARENT	
562068	562069	IS_AST_PARENT	
562068	562070	IS_AST_PARENT	
562067	562068	IS_AST_PARENT	
562014	562067	IS_AST_PARENT	
562071	562068	FLOWS_TO	
562068	562016	FLOWS_TO	
562016	562021	FLOWS_TO	
562021	562039	FLOWS_TO	
562039	562052	FLOWS_TO	
562052	562060	FLOWS_TO	
562060	562072	FLOWS_TO	
562021	562073	USE	
562025	562073	USE	
562068	562074	DEF	
562016	562074	USE	
562017	562074	USE	
562016	562075	DEF	
562017	562075	DEF	
562060	562075	DEF	
562061	562075	DEF	
562021	562076	DEF	
562025	562076	DEF	
562022	562076	DEF	
562039	562076	USE	
562044	562076	USE	
562052	562076	USE	
562054	562076	USE	
562060	562076	USE	
562061	562076	USE	
562052	562077	DEF	
562053	562077	DEF	
562068	562016	REACHES	dataCopy
562021	562039	REACHES	dataBuffer
562021	562052	REACHES	dataBuffer
562021	562060	REACHES	dataBuffer
562071	562068	CONTROLS	
562071	562016	CONTROLS	
562071	562021	CONTROLS	
562071	562039	CONTROLS	
562071	562052	CONTROLS	
562071	562060	CONTROLS	
562068	562016	DOM	
562021	562039	DOM	
562052	562060	DOM	
562071	562068	DOM	
562060	562072	DOM	
562071	562071	DOM	
562039	562052	DOM	
562016	562021	DOM	
562072	562060	POST_DOM	
562052	562039	POST_DOM	
562021	562016	POST_DOM	
562016	562068	POST_DOM	
562072	562072	POST_DOM	
562068	562071	POST_DOM	
562060	562052	POST_DOM	
562039	562021	POST_DOM	
562013	562014	IS_FUNCTION_OF_AST	
562013	562071	IS_FUNCTION_OF_CFG	
562012	562013	IS_FILE_OF	
562083	562084	IS_AST_PARENT	
562083	562085	IS_AST_PARENT	
562082	562083	IS_AST_PARENT	
562081	562082	IS_AST_PARENT	
562087	562088	IS_AST_PARENT	
562087	562089	IS_AST_PARENT	
562087	562090	IS_AST_PARENT	
562086	562087	IS_AST_PARENT	
562081	562086	IS_AST_PARENT	
562093	562094	IS_AST_PARENT	
562092	562093	IS_AST_PARENT	
562096	562097	IS_AST_PARENT	
562095	562096	IS_AST_PARENT	
562098	562099	IS_AST_PARENT	
562095	562098	IS_AST_PARENT	
562101	562102	IS_AST_PARENT	
562101	562103	IS_AST_PARENT	
562100	562101	IS_AST_PARENT	
562095	562100	IS_AST_PARENT	
562092	562095	IS_AST_PARENT	
562091	562092	IS_AST_PARENT	
562081	562091	IS_AST_PARENT	
562106	562107	IS_AST_PARENT	
562108	562109	IS_AST_PARENT	
562108	562110	IS_AST_PARENT	
562106	562108	IS_AST_PARENT	
562105	562106	IS_AST_PARENT	
562105	562111	IS_AST_PARENT	
562104	562105	IS_AST_PARENT	
562081	562104	IS_AST_PARENT	
562114	562115	IS_AST_PARENT	
562114	562116	IS_AST_PARENT	
562113	562114	IS_AST_PARENT	
562112	562113	IS_AST_PARENT	
562118	562119	IS_AST_PARENT	
562118	562120	IS_AST_PARENT	
562117	562118	IS_AST_PARENT	
562112	562117	IS_AST_PARENT	
562121	562122	IS_AST_PARENT	
562121	562123	IS_AST_PARENT	
562112	562121	IS_AST_PARENT	
562127	562128	IS_AST_PARENT	
562127	562129	IS_AST_PARENT	
562126	562127	IS_AST_PARENT	
562130	562131	IS_AST_PARENT	
562130	562132	IS_AST_PARENT	
562126	562130	IS_AST_PARENT	
562125	562126	IS_AST_PARENT	
562124	562125	IS_AST_PARENT	
562112	562124	IS_AST_PARENT	
562081	562112	IS_AST_PARENT	
562135	562136	IS_AST_PARENT	
562137	562138	IS_AST_PARENT	
562137	562139	IS_AST_PARENT	
562135	562137	IS_AST_PARENT	
562134	562135	IS_AST_PARENT	
562134	562140	IS_AST_PARENT	
562133	562134	IS_AST_PARENT	
562081	562133	IS_AST_PARENT	
562143	562144	IS_AST_PARENT	
562142	562143	IS_AST_PARENT	
562146	562147	IS_AST_PARENT	
562145	562146	IS_AST_PARENT	
562142	562145	IS_AST_PARENT	
562141	562142	IS_AST_PARENT	
562081	562141	IS_AST_PARENT	
562080	562081	IS_AST_PARENT	
562079	562080	IS_AST_PARENT	
562079	562148	IS_AST_PARENT	
562079	562149	IS_AST_PARENT	
562150	562082	FLOWS_TO	
562082	562086	FLOWS_TO	
562086	562091	FLOWS_TO	
562091	562104	FLOWS_TO	
562104	562113	FLOWS_TO	
562117	562125	FLOWS_TO	
562117	562133	FLOWS_TO	
562113	562117	FLOWS_TO	
562121	562117	FLOWS_TO	
562125	562121	FLOWS_TO	
562133	562141	FLOWS_TO	
562141	562151	FLOWS_TO	
562125	562152	DEF	
562126	562152	DEF	
562125	562152	USE	
562126	562152	USE	
562125	562153	USE	
562130	562153	USE	
562104	562154	DEF	
562105	562154	DEF	
562125	562154	DEF	
562126	562154	DEF	
562133	562154	DEF	
562134	562154	DEF	
562082	562155	DEF	
562083	562155	DEF	
562117	562155	USE	
562113	562155	DEF	
562114	562155	DEF	
562121	562155	USE	
562121	562155	DEF	
562125	562155	USE	
562127	562155	USE	
562130	562155	USE	
562086	562156	DEF	
562087	562156	DEF	
562091	562156	USE	
562096	562156	USE	
562104	562156	USE	
562106	562156	USE	
562125	562156	USE	
562127	562156	USE	
562133	562156	USE	
562135	562156	USE	
562141	562156	USE	
562146	562156	USE	
562125	562157	USE	
562126	562157	USE	
562125	562125	REACHES	* i
562121	562117	REACHES	i
562113	562117	REACHES	i
562121	562121	REACHES	i
562113	562121	REACHES	i
562121	562125	REACHES	i
562113	562125	REACHES	i
562086	562091	REACHES	dest
562086	562104	REACHES	dest
562086	562125	REACHES	dest
562086	562133	REACHES	dest
562086	562141	REACHES	dest
562150	562082	CONTROLS	
562150	562086	CONTROLS	
562150	562091	CONTROLS	
562150	562104	CONTROLS	
562150	562113	CONTROLS	
562150	562117	CONTROLS	
562150	562133	CONTROLS	
562150	562141	CONTROLS	
562117	562125	CONTROLS	
562117	562121	CONTROLS	
562113	562117	DOM	
562150	562082	DOM	
562082	562086	DOM	
562117	562125	DOM	
562091	562104	DOM	
562086	562091	DOM	
562150	562150	DOM	
562117	562133	DOM	
562133	562141	DOM	
562104	562113	DOM	
562125	562121	DOM	
562141	562151	DOM	
562133	562117	POST_DOM	
562086	562082	POST_DOM	
562091	562086	POST_DOM	
562121	562125	POST_DOM	
562113	562104	POST_DOM	
562104	562091	POST_DOM	
562141	562133	POST_DOM	
562082	562150	POST_DOM	
562151	562141	POST_DOM	
562151	562151	POST_DOM	
562117	562113	POST_DOM	
562117	562121	POST_DOM	
562078	562079	IS_FUNCTION_OF_AST	
562078	562150	IS_FUNCTION_OF_CFG	
562012	562078	IS_FILE_OF	
