command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	562302	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/833/CWE127_Buffer_Underread__malloc_char_loop_84a.cpp								
ANR	562303	Function	bad	25:0:792:994							
ANR	562304	FunctionDef	bad ()		562303	0					
ANR	562305	CompoundStatement		26:0:804:994	562303	0					
ANR	562306	IdentifierDeclStatement	char * data ;	27:4:811:822	562303	0	True				
ANR	562307	IdentifierDecl	* data		562303	0					
ANR	562308	IdentifierDeclType	char *		562303	0					
ANR	562309	Identifier	data		562303	1					
ANR	562310	ExpressionStatement	data = NULL	28:4:829:840	562303	1	True				
ANR	562311	AssignmentExpression	data = NULL		562303	0		=			
ANR	562312	Identifier	data		562303	0					
ANR	562313	Identifier	NULL		562303	1					
ANR	562314	IdentifierDeclStatement	CWE127_Buffer_Underread__malloc_char_loop_84_bad * badObject = new CWE127_Buffer_Underread__malloc_char_loop_84_bad ( data ) ;	29:4:847:968	562303	2	True				
ANR	562315	IdentifierDecl	* badObject = new CWE127_Buffer_Underread__malloc_char_loop_84_bad ( data )		562303	0					
ANR	562316	IdentifierDeclType	CWE127_Buffer_Underread__malloc_char_loop_84_bad *		562303	0					
ANR	562317	Identifier	badObject		562303	1					
ANR	562318	AssignmentExpression	* badObject = new CWE127_Buffer_Underread__malloc_char_loop_84_bad ( data )		562303	2		=			
ANR	562319	Identifier	data		562303	0					
ANR	562320	Identifier	data		562303	1					
ANR	562321	Statement	delete	30:4:975:980	562303	3	True				
ANR	562322	ExpressionStatement	badObject	30:11:982:991	562303	4	True				
ANR	562323	Identifier	badObject		562303	0					
ANR	562324	ReturnType	void		562303	1					
ANR	562325	Identifier	bad		562303	2					
ANR	562326	ParameterList			562303	3					
ANR	562327	CFGEntryNode	ENTRY		562303		True				
ANR	562328	CFGExitNode	EXIT		562303		True				
ANR	562329	Symbol	NULL		562303						
ANR	562330	Symbol	data		562303						
ANR	562331	Symbol	badObject		562303						
ANR	562332	Function	goodG2B	38:0:1095:1325							
ANR	562333	FunctionDef	goodG2B ()		562332	0					
ANR	562334	CompoundStatement		39:0:1118:1325	562332	0					
ANR	562335	IdentifierDeclStatement	char * data ;	40:4:1125:1136	562332	0	True				
ANR	562336	IdentifierDecl	* data		562332	0					
ANR	562337	IdentifierDeclType	char *		562332	0					
ANR	562338	Identifier	data		562332	1					
ANR	562339	ExpressionStatement	data = NULL	41:4:1143:1154	562332	1	True				
ANR	562340	AssignmentExpression	data = NULL		562332	0		=			
ANR	562341	Identifier	data		562332	0					
ANR	562342	Identifier	NULL		562332	1					
ANR	562343	IdentifierDeclStatement	CWE127_Buffer_Underread__malloc_char_loop_84_goodG2B * goodG2BObject = new CWE127_Buffer_Underread__malloc_char_loop_84_goodG2B ( data ) ;	42:4:1161:1295	562332	2	True				
ANR	562344	IdentifierDecl	* goodG2BObject = new CWE127_Buffer_Underread__malloc_char_loop_84_goodG2B ( data )		562332	0					
ANR	562345	IdentifierDeclType	CWE127_Buffer_Underread__malloc_char_loop_84_goodG2B *		562332	0					
ANR	562346	Identifier	goodG2BObject		562332	1					
ANR	562347	AssignmentExpression	* goodG2BObject = new CWE127_Buffer_Underread__malloc_char_loop_84_goodG2B ( data )		562332	2		=			
ANR	562348	Identifier	data		562332	0					
ANR	562349	Identifier	data		562332	1					
ANR	562350	Statement	delete	43:4:1302:1307	562332	3	True				
ANR	562351	ExpressionStatement	goodG2BObject	43:11:1309:1322	562332	4	True				
ANR	562352	Identifier	goodG2BObject		562332	0					
ANR	562353	ReturnType	static void		562332	1					
ANR	562354	Identifier	goodG2B		562332	2					
ANR	562355	ParameterList			562332	3					
ANR	562356	CFGEntryNode	ENTRY		562332		True				
ANR	562357	CFGExitNode	EXIT		562332		True				
ANR	562358	Symbol	NULL		562332						
ANR	562359	Symbol	data		562332						
ANR	562360	Symbol	goodG2BObject		562332						
ANR	562361	Function	good	46:0:1330:1362							
ANR	562362	FunctionDef	good ()		562361	0					
ANR	562363	CompoundStatement		47:0:1343:1362	562361	0					
ANR	562364	ExpressionStatement	goodG2B ( )	48:4:1350:1359	562361	0	True				
ANR	562365	CallExpression	goodG2B ( )		562361	0					
ANR	562366	Callee	goodG2B		562361	0					
ANR	562367	Identifier	goodG2B		562361	0					
ANR	562368	ArgumentList			562361	1					
ANR	562369	ReturnType	void		562361	1					
ANR	562370	Identifier	good		562361	2					
ANR	562371	ParameterList			562361	3					
ANR	562372	CFGEntryNode	ENTRY		562361		True				
ANR	562373	CFGExitNode	EXIT		562361		True				
ANR	562374	Function	main	64:0:1846:2209							
ANR	562375	FunctionDef	"main (int argc , char * argv [ ])"		562374	0					
ANR	562376	CompoundStatement		65:0:1881:2209	562374	0					
ANR	562377	ExpressionStatement	srand ( ( unsigned ) time ( NULL ) )	67:4:1915:1944	562374	0	True				
ANR	562378	CallExpression	srand ( ( unsigned ) time ( NULL ) )		562374	0					
ANR	562379	Callee	srand		562374	0					
ANR	562380	Identifier	srand		562374	0					
ANR	562381	ArgumentList	( unsigned ) time ( NULL )		562374	1					
ANR	562382	Argument	( unsigned ) time ( NULL )		562374	0					
ANR	562383	CastExpression	( unsigned ) time ( NULL )		562374	0					
ANR	562384	CastTarget	unsigned		562374	0					
ANR	562385	CallExpression	time ( NULL )		562374	1					
ANR	562386	Callee	time		562374	0					
ANR	562387	Identifier	time		562374	0					
ANR	562388	ArgumentList	NULL		562374	1					
ANR	562389	Argument	NULL		562374	0					
ANR	562390	Identifier	NULL		562374	0					
ANR	562391	ExpressionStatement	"printLine ( ""Calling good()..."" )"	69:4:1969:1999	562374	1	True				
ANR	562392	CallExpression	"printLine ( ""Calling good()..."" )"		562374	0					
ANR	562393	Callee	printLine		562374	0					
ANR	562394	Identifier	printLine		562374	0					
ANR	562395	ArgumentList	"""Calling good()..."""		562374	1					
ANR	562396	Argument	"""Calling good()..."""		562374	0					
ANR	562397	PrimaryExpression	"""Calling good()..."""		562374	0					
ANR	562398	ExpressionStatement	good ( )	70:4:2006:2012	562374	2	True				
ANR	562399	CallExpression	good ( )		562374	0					
ANR	562400	Callee	good		562374	0					
ANR	562401	Identifier	good		562374	0					
ANR	562402	ArgumentList			562374	1					
ANR	562403	ExpressionStatement	"printLine ( ""Finished good()"" )"	71:4:2019:2047	562374	3	True				
ANR	562404	CallExpression	"printLine ( ""Finished good()"" )"		562374	0					
ANR	562405	Callee	printLine		562374	0					
ANR	562406	Identifier	printLine		562374	0					
ANR	562407	ArgumentList	"""Finished good()"""		562374	1					
ANR	562408	Argument	"""Finished good()"""		562374	0					
ANR	562409	PrimaryExpression	"""Finished good()"""		562374	0					
ANR	562410	ExpressionStatement	"printLine ( ""Calling bad()..."" )"	74:4:2094:2123	562374	4	True				
ANR	562411	CallExpression	"printLine ( ""Calling bad()..."" )"		562374	0					
ANR	562412	Callee	printLine		562374	0					
ANR	562413	Identifier	printLine		562374	0					
ANR	562414	ArgumentList	"""Calling bad()..."""		562374	1					
ANR	562415	Argument	"""Calling bad()..."""		562374	0					
