command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	562827	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/864/CWE127_Buffer_Underread__malloc_char_memcpy_52a.c								
ANR	562828	DeclStmt									
ANR	562829	Decl							void	void ( char * data )	CWE127_Buffer_Underread__malloc_char_memcpy_52b_badSink
ANR	562830	Function	CWE127_Buffer_Underread__malloc_char_memcpy_52_bad	26:0:786:1213							
ANR	562831	FunctionDef	CWE127_Buffer_Underread__malloc_char_memcpy_52_bad ()		562830	0					
ANR	562832	CompoundStatement		27:0:845:1213	562830	0					
ANR	562833	IdentifierDeclStatement	char * data ;	28:4:852:863	562830	0	True				
ANR	562834	IdentifierDecl	* data		562830	0					
ANR	562835	IdentifierDeclType	char *		562830	0					
ANR	562836	Identifier	data		562830	1					
ANR	562837	ExpressionStatement	data = NULL	29:4:870:881	562830	1	True				
ANR	562838	AssignmentExpression	data = NULL		562830	0		=			
ANR	562839	Identifier	data		562830	0					
ANR	562840	Identifier	NULL		562830	1					
ANR	562841	CompoundStatement		5:8:53:105	562830	2					
ANR	562842	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	31:8:899:951	562830	0	True				
ANR	562843	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		562830	0					
ANR	562844	IdentifierDeclType	char *		562830	0					
ANR	562845	Identifier	dataBuffer		562830	1					
ANR	562846	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		562830	2		=			
ANR	562847	Identifier	dataBuffer		562830	0					
ANR	562848	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		562830	1					
ANR	562849	CastTarget	char *		562830	0					
ANR	562850	CallExpression	malloc ( 100 * sizeof ( char ) )		562830	1					
ANR	562851	Callee	malloc		562830	0					
ANR	562852	Identifier	malloc		562830	0					
ANR	562853	ArgumentList	100 * sizeof ( char )		562830	1					
ANR	562854	Argument	100 * sizeof ( char )		562830	0					
ANR	562855	MultiplicativeExpression	100 * sizeof ( char )		562830	0		*			
ANR	562856	PrimaryExpression	100		562830	0					
ANR	562857	SizeofExpression	sizeof ( char )		562830	1					
ANR	562858	Sizeof	sizeof		562830	0					
ANR	562859	SizeofOperand	char		562830	1					
ANR	562860	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	32:8:962:992	562830	1	True				
ANR	562861	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		562830	0					
ANR	562862	Callee	memset		562830	0					
ANR	562863	Identifier	memset		562830	0					
ANR	562864	ArgumentList	dataBuffer		562830	1					
ANR	562865	Argument	dataBuffer		562830	0					
ANR	562866	Identifier	dataBuffer		562830	0					
ANR	562867	Argument	'A'		562830	1					
ANR	562868	PrimaryExpression	'A'		562830	0					
ANR	562869	Argument	100 - 1		562830	2					
