start	end	type	var
563996	563997	DECLARES	
564003	564004	IS_AST_PARENT	
564002	564003	IS_AST_PARENT	
564006	564007	IS_AST_PARENT	
564005	564006	IS_AST_PARENT	
564002	564005	IS_AST_PARENT	
564001	564002	IS_AST_PARENT	
564000	564001	IS_AST_PARENT	
563999	564000	IS_AST_PARENT	
563999	564008	IS_AST_PARENT	
563999	564009	IS_AST_PARENT	
564011	564012	IS_AST_PARENT	
564011	564013	IS_AST_PARENT	
564010	564011	IS_AST_PARENT	
563999	564010	IS_AST_PARENT	
564014	564011	FLOWS_TO	
564011	564001	FLOWS_TO	
564001	564015	FLOWS_TO	
564011	564016	DEF	
564001	564016	USE	
564006	564016	USE	
564011	564001	REACHES	data
564014	564011	CONTROLS	
564014	564001	CONTROLS	
564001	564015	DOM	
564014	564011	DOM	
564014	564014	DOM	
564011	564001	DOM	
564015	564015	POST_DOM	
564001	564011	POST_DOM	
564011	564014	POST_DOM	
564015	564001	POST_DOM	
563998	563999	IS_FUNCTION_OF_AST	
563998	564014	IS_FUNCTION_OF_CFG	
563995	563998	IS_FILE_OF	
564017	564018	DECLARES	
564024	564025	IS_AST_PARENT	
564023	564024	IS_AST_PARENT	
564027	564028	IS_AST_PARENT	
564026	564027	IS_AST_PARENT	
564023	564026	IS_AST_PARENT	
564022	564023	IS_AST_PARENT	
564021	564022	IS_AST_PARENT	
564020	564021	IS_AST_PARENT	
564020	564029	IS_AST_PARENT	
564020	564030	IS_AST_PARENT	
564032	564033	IS_AST_PARENT	
564032	564034	IS_AST_PARENT	
564031	564032	IS_AST_PARENT	
564020	564031	IS_AST_PARENT	
564035	564032	FLOWS_TO	
564032	564022	FLOWS_TO	
564022	564036	FLOWS_TO	
564032	564037	DEF	
564022	564037	USE	
564027	564037	USE	
564032	564022	REACHES	data
564035	564032	CONTROLS	
564035	564022	CONTROLS	
564035	564035	DOM	
564032	564022	DOM	
564035	564032	DOM	
564022	564036	DOM	
564032	564035	POST_DOM	
564036	564022	POST_DOM	
564022	564032	POST_DOM	
564036	564036	POST_DOM	
564019	564020	IS_FUNCTION_OF_AST	
564019	564035	IS_FUNCTION_OF_CFG	
563995	564019	IS_FILE_OF	
