command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	563995	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/866/CWE127_Buffer_Underread__malloc_char_memcpy_54c.c								
ANR	563996	DeclStmt									
ANR	563997	Decl							void	void ( char * data )	CWE127_Buffer_Underread__malloc_char_memcpy_54d_badSink
ANR	563998	Function	CWE127_Buffer_Underread__malloc_char_memcpy_54c_badSink	28:0:917:1063							
ANR	563999	FunctionDef	CWE127_Buffer_Underread__malloc_char_memcpy_54c_badSink (char * data)		563998	0					
ANR	564000	CompoundStatement		29:0:992:1063	563998	0					
ANR	564001	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_memcpy_54d_badSink ( data )	30:4:999:1060	563998	0	True				
ANR	564002	CallExpression	CWE127_Buffer_Underread__malloc_char_memcpy_54d_badSink ( data )		563998	0					
ANR	564003	Callee	CWE127_Buffer_Underread__malloc_char_memcpy_54d_badSink		563998	0					
ANR	564004	Identifier	CWE127_Buffer_Underread__malloc_char_memcpy_54d_badSink		563998	0					
ANR	564005	ArgumentList	data		563998	1					
ANR	564006	Argument	data		563998	0					
ANR	564007	Identifier	data		563998	0					
ANR	564008	ReturnType	void		563998	1					
ANR	564009	Identifier	CWE127_Buffer_Underread__malloc_char_memcpy_54c_badSink		563998	2					
ANR	564010	ParameterList	char * data		563998	3					
ANR	564011	Parameter	char * data	28:61:978:988	563998	0	True				
ANR	564012	ParameterType	char *		563998	0					
ANR	564013	Identifier	data		563998	1					
ANR	564014	CFGEntryNode	ENTRY		563998		True				
ANR	564015	CFGExitNode	EXIT		563998		True				
ANR	564016	Symbol	data		563998						
ANR	564017	DeclStmt									
ANR	564018	Decl							void	void ( char * data )	CWE127_Buffer_Underread__malloc_char_memcpy_54d_goodG2BSink
ANR	564019	Function	CWE127_Buffer_Underread__malloc_char_memcpy_54c_goodG2BSink	41:0:1279:1433							
ANR	564020	FunctionDef	CWE127_Buffer_Underread__malloc_char_memcpy_54c_goodG2BSink (char * data)		564019	0					
ANR	564021	CompoundStatement		42:0:1358:1433	564019	0					
ANR	564022	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_memcpy_54d_goodG2BSink ( data )	43:4:1365:1430	564019	0	True				
ANR	564023	CallExpression	CWE127_Buffer_Underread__malloc_char_memcpy_54d_goodG2BSink ( data )		564019	0					
ANR	564024	Callee	CWE127_Buffer_Underread__malloc_char_memcpy_54d_goodG2BSink		564019	0					
ANR	564025	Identifier	CWE127_Buffer_Underread__malloc_char_memcpy_54d_goodG2BSink		564019	0					
ANR	564026	ArgumentList	data		564019	1					
ANR	564027	Argument	data		564019	0					
ANR	564028	Identifier	data		564019	0					
ANR	564029	ReturnType	void		564019	1					
ANR	564030	Identifier	CWE127_Buffer_Underread__malloc_char_memcpy_54c_goodG2BSink		564019	2					
ANR	564031	ParameterList	char * data		564019	3					
ANR	564032	Parameter	char * data	41:65:1344:1354	564019	0	True				
ANR	564033	ParameterType	char *		564019	0					
ANR	564034	Identifier	data		564019	1					
ANR	564035	CFGEntryNode	ENTRY		564019		True				
ANR	564036	CFGExitNode	EXIT		564019		True				
ANR	564037	Symbol	data		564019						
