command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	564081	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/866/CWE127_Buffer_Underread__malloc_char_memcpy_54e.c								
ANR	564082	Function	CWE127_Buffer_Underread__malloc_char_memcpy_54e_badSink	25:0:807:1419							
ANR	564083	FunctionDef	CWE127_Buffer_Underread__malloc_char_memcpy_54e_badSink (char * data)		564082	0					
ANR	564084	CompoundStatement		26:0:882:1419	564082	0					
ANR	564085	CompoundStatement		3:8:17:31	564082	0					
ANR	564086	IdentifierDeclStatement	char dest [ 100 ] ;	28:8:900:914	564082	0	True				
ANR	564087	IdentifierDecl	dest [ 100 ]		564082	0					
ANR	564088	IdentifierDeclType	char [ 100 ]		564082	0					
ANR	564089	Identifier	dest		564082	1					
ANR	564090	PrimaryExpression	100		564082	2					
ANR	564091	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	29:8:925:949	564082	1	True				
ANR	564092	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		564082	0					
ANR	564093	Callee	memset		564082	0					
ANR	564094	Identifier	memset		564082	0					
ANR	564095	ArgumentList	dest		564082	1					
ANR	564096	Argument	dest		564082	0					
ANR	564097	Identifier	dest		564082	0					
ANR	564098	Argument	'C'		564082	1					
ANR	564099	PrimaryExpression	'C'		564082	0					
ANR	564100	Argument	100 - 1		564082	2					
ANR	564101	AdditiveExpression	100 - 1		564082	0		-			
ANR	564102	PrimaryExpression	100		564082	0					
ANR	564103	PrimaryExpression	1		564082	1					
ANR	564104	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	30:8:981:999	564082	2	True				
ANR	564105	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		564082	0		=			
ANR	564106	ArrayIndexing	dest [ 100 - 1 ]		564082	0					
ANR	564107	Identifier	dest		564082	0					
ANR	564108	AdditiveExpression	100 - 1		564082	1		-			
ANR	564109	PrimaryExpression	100		564082	0					
ANR	564110	PrimaryExpression	1		564082	1					
ANR	564111	PrimaryExpression	'\\0'		564082	1					
ANR	564112	ExpressionStatement	"memcpy ( dest , data , 100 * sizeof ( char ) )"	32:8:1132:1168	564082	3	True				
ANR	564113	CallExpression	"memcpy ( dest , data , 100 * sizeof ( char ) )"		564082	0					
ANR	564114	Callee	memcpy		564082	0					
ANR	564115	Identifier	memcpy		564082	0					
ANR	564116	ArgumentList	dest		564082	1					
ANR	564117	Argument	dest		564082	0					
ANR	564118	Identifier	dest		564082	0					
ANR	564119	Argument	data		564082	1					
ANR	564120	Identifier	data		564082	0					
ANR	564121	Argument	100 * sizeof ( char )		564082	2					
ANR	564122	MultiplicativeExpression	100 * sizeof ( char )		564082	0		*			
ANR	564123	PrimaryExpression	100		564082	0					
ANR	564124	SizeofExpression	sizeof ( char )		564082	1					
ANR	564125	Sizeof	sizeof		564082	0					
ANR	564126	SizeofOperand	char		564082	1					
ANR	564127	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	34:8:1218:1236	564082	4	True				
ANR	564128	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		564082	0		=			
ANR	564129	ArrayIndexing	dest [ 100 - 1 ]		564082	0					
ANR	564130	Identifier	dest		564082	0					
ANR	564131	AdditiveExpression	100 - 1		564082	1		-			
ANR	564132	PrimaryExpression	100		564082	0					
ANR	564133	PrimaryExpression	1		564082	1					
ANR	564134	PrimaryExpression	'\\0'		564082	1					
ANR	564135	ExpressionStatement	printLine ( dest )	35:8:1247:1262	564082	5	True				
ANR	564136	CallExpression	printLine ( dest )		564082	0					
ANR	564137	Callee	printLine		564082	0					
ANR	564138	Identifier	printLine		564082	0					
ANR	564139	ArgumentList	dest		564082	1					
ANR	564140	Argument	dest		564082	0					
ANR	564141	Identifier	dest		564082	0					
ANR	564142	ReturnType	void		564082	1					
ANR	564143	Identifier	CWE127_Buffer_Underread__malloc_char_memcpy_54e_badSink		564082	2					
ANR	564144	ParameterList	char * data		564082	3					
ANR	564145	Parameter	char * data	25:61:868:878	564082	0	True				
ANR	564146	ParameterType	char *		564082	0					
ANR	564147	Identifier	data		564082	1					
ANR	564148	CFGEntryNode	ENTRY		564082		True				
ANR	564149	CFGExitNode	EXIT		564082		True				
ANR	564150	Symbol	data		564082						
ANR	564151	Symbol	* dest		564082						
ANR	564152	Symbol	dest		564082						
ANR	564153	Function	CWE127_Buffer_Underread__malloc_char_memcpy_54e_goodG2BSink	46:0:1520:2136							
ANR	564154	FunctionDef	CWE127_Buffer_Underread__malloc_char_memcpy_54e_goodG2BSink (char * data)		564153	0					
ANR	564155	CompoundStatement		47:0:1599:2136	564153	0					
ANR	564156	CompoundStatement		3:8:17:31	564153	0					
ANR	564157	IdentifierDeclStatement	char dest [ 100 ] ;	49:8:1617:1631	564153	0	True				
ANR	564158	IdentifierDecl	dest [ 100 ]		564153	0					
ANR	564159	IdentifierDeclType	char [ 100 ]		564153	0					
ANR	564160	Identifier	dest		564153	1					
ANR	564161	PrimaryExpression	100		564153	2					
ANR	564162	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	50:8:1642:1666	564153	1	True				
ANR	564163	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		564153	0					
ANR	564164	Callee	memset		564153	0					
ANR	564165	Identifier	memset		564153	0					
ANR	564166	ArgumentList	dest		564153	1					
ANR	564167	Argument	dest		564153	0					
ANR	564168	Identifier	dest		564153	0					
ANR	564169	Argument	'C'		564153	1					
ANR	564170	PrimaryExpression	'C'		564153	0					
ANR	564171	Argument	100 - 1		564153	2					
ANR	564172	AdditiveExpression	100 - 1		564153	0		-			
ANR	564173	PrimaryExpression	100		564153	0					
ANR	564174	PrimaryExpression	1		564153	1					
ANR	564175	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	51:8:1698:1716	564153	2	True				
ANR	564176	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		564153	0		=			
ANR	564177	ArrayIndexing	dest [ 100 - 1 ]		564153	0					
ANR	564178	Identifier	dest		564153	0					
ANR	564179	AdditiveExpression	100 - 1		564153	1		-			
ANR	564180	PrimaryExpression	100		564153	0					
ANR	564181	PrimaryExpression	1		564153	1					
ANR	564182	PrimaryExpression	'\\0'		564153	1					
ANR	564183	ExpressionStatement	"memcpy ( dest , data , 100 * sizeof ( char ) )"	53:8:1849:1885	564153	3	True				
ANR	564184	CallExpression	"memcpy ( dest , data , 100 * sizeof ( char ) )"		564153	0					
ANR	564185	Callee	memcpy		564153	0					
ANR	564186	Identifier	memcpy		564153	0					
ANR	564187	ArgumentList	dest		564153	1					
ANR	564188	Argument	dest		564153	0					
ANR	564189	Identifier	dest		564153	0					
ANR	564190	Argument	data		564153	1					
ANR	564191	Identifier	data		564153	0					
ANR	564192	Argument	100 * sizeof ( char )		564153	2					
ANR	564193	MultiplicativeExpression	100 * sizeof ( char )		564153	0		*			
ANR	564194	PrimaryExpression	100		564153	0					
ANR	564195	SizeofExpression	sizeof ( char )		564153	1					
ANR	564196	Sizeof	sizeof		564153	0					
ANR	564197	SizeofOperand	char		564153	1					
ANR	564198	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	55:8:1935:1953	564153	4	True				
ANR	564199	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		564153	0		=			
ANR	564200	ArrayIndexing	dest [ 100 - 1 ]		564153	0					
ANR	564201	Identifier	dest		564153	0					
ANR	564202	AdditiveExpression	100 - 1		564153	1		-			
ANR	564203	PrimaryExpression	100		564153	0					
ANR	564204	PrimaryExpression	1		564153	1					
ANR	564205	PrimaryExpression	'\\0'		564153	1					
ANR	564206	ExpressionStatement	printLine ( dest )	56:8:1964:1979	564153	5	True				
ANR	564207	CallExpression	printLine ( dest )		564153	0					
ANR	564208	Callee	printLine		564153	0					
ANR	564209	Identifier	printLine		564153	0					
ANR	564210	ArgumentList	dest		564153	1					
ANR	564211	Argument	dest		564153	0					
ANR	564212	Identifier	dest		564153	0					
ANR	564213	ReturnType	void		564153	1					
ANR	564214	Identifier	CWE127_Buffer_Underread__malloc_char_memcpy_54e_goodG2BSink		564153	2					
ANR	564215	ParameterList	char * data		564153	3					
ANR	564216	Parameter	char * data	46:65:1585:1595	564153	0	True				
ANR	564217	ParameterType	char *		564153	0					
ANR	564218	Identifier	data		564153	1					
ANR	564219	CFGEntryNode	ENTRY		564153		True				
ANR	564220	CFGExitNode	EXIT		564153		True				
ANR	564221	Symbol	data		564153						
ANR	564222	Symbol	* dest		564153						
ANR	564223	Symbol	dest		564153						
