command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	564467	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/869/CWE127_Buffer_Underread__malloc_char_memcpy_63b.c								
ANR	564468	Function	CWE127_Buffer_Underread__malloc_char_memcpy_63b_badSink	23:0:656:1302							
ANR	564469	FunctionDef	CWE127_Buffer_Underread__malloc_char_memcpy_63b_badSink (char * * dataPtr)		564468	0					
ANR	564470	CompoundStatement		24:0:736:1302	564468	0					
ANR	564471	IdentifierDeclStatement	char * data = * dataPtr ;	25:4:743:765	564468	0	True				
ANR	564472	IdentifierDecl	* data = * dataPtr		564468	0					
ANR	564473	IdentifierDeclType	char *		564468	0					
ANR	564474	Identifier	data		564468	1					
ANR	564475	AssignmentExpression	* data = * dataPtr		564468	2		=			
ANR	564476	Identifier	data		564468	0					
ANR	564477	UnaryOperationExpression	* dataPtr		564468	1					
ANR	564478	UnaryOperator	*		564468	0					
ANR	564479	Identifier	dataPtr		564468	1					
ANR	564480	CompoundStatement		4:8:46:60	564468	1					
ANR	564481	IdentifierDeclStatement	char dest [ 100 ] ;	27:8:783:797	564468	0	True				
ANR	564482	IdentifierDecl	dest [ 100 ]		564468	0					
ANR	564483	IdentifierDeclType	char [ 100 ]		564468	0					
ANR	564484	Identifier	dest		564468	1					
ANR	564485	PrimaryExpression	100		564468	2					
ANR	564486	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	28:8:808:832	564468	1	True				
ANR	564487	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		564468	0					
ANR	564488	Callee	memset		564468	0					
ANR	564489	Identifier	memset		564468	0					
ANR	564490	ArgumentList	dest		564468	1					
ANR	564491	Argument	dest		564468	0					
ANR	564492	Identifier	dest		564468	0					
ANR	564493	Argument	'C'		564468	1					
ANR	564494	PrimaryExpression	'C'		564468	0					
ANR	564495	Argument	100 - 1		564468	2					
ANR	564496	AdditiveExpression	100 - 1		564468	0		-			
ANR	564497	PrimaryExpression	100		564468	0					
ANR	564498	PrimaryExpression	1		564468	1					
ANR	564499	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	29:8:864:882	564468	2	True				
ANR	564500	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		564468	0		=			
ANR	564501	ArrayIndexing	dest [ 100 - 1 ]		564468	0					
ANR	564502	Identifier	dest		564468	0					
ANR	564503	AdditiveExpression	100 - 1		564468	1		-			
ANR	564504	PrimaryExpression	100		564468	0					
ANR	564505	PrimaryExpression	1		564468	1					
ANR	564506	PrimaryExpression	'\\0'		564468	1					
ANR	564507	ExpressionStatement	"memcpy ( dest , data , 100 * sizeof ( char ) )"	31:8:1015:1051	564468	3	True				
ANR	564508	CallExpression	"memcpy ( dest , data , 100 * sizeof ( char ) )"		564468	0					
ANR	564509	Callee	memcpy		564468	0					
ANR	564510	Identifier	memcpy		564468	0					
ANR	564511	ArgumentList	dest		564468	1					
ANR	564512	Argument	dest		564468	0					
ANR	564513	Identifier	dest		564468	0					
ANR	564514	Argument	data		564468	1					
ANR	564515	Identifier	data		564468	0					
ANR	564516	Argument	100 * sizeof ( char )		564468	2					
ANR	564517	MultiplicativeExpression	100 * sizeof ( char )		564468	0		*			
ANR	564518	PrimaryExpression	100		564468	0					
ANR	564519	SizeofExpression	sizeof ( char )		564468	1					
ANR	564520	Sizeof	sizeof		564468	0					
ANR	564521	SizeofOperand	char		564468	1					
ANR	564522	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	33:8:1101:1119	564468	4	True				
ANR	564523	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		564468	0		=			
ANR	564524	ArrayIndexing	dest [ 100 - 1 ]		564468	0					
ANR	564525	Identifier	dest		564468	0					
ANR	564526	AdditiveExpression	100 - 1		564468	1		-			
ANR	564527	PrimaryExpression	100		564468	0					
ANR	564528	PrimaryExpression	1		564468	1					
ANR	564529	PrimaryExpression	'\\0'		564468	1					
ANR	564530	ExpressionStatement	printLine ( dest )	34:8:1130:1145	564468	5	True				
ANR	564531	CallExpression	printLine ( dest )		564468	0					
ANR	564532	Callee	printLine		564468	0					
ANR	564533	Identifier	printLine		564468	0					
ANR	564534	ArgumentList	dest		564468	1					
ANR	564535	Argument	dest		564468	0					
ANR	564536	Identifier	dest		564468	0					
ANR	564537	ReturnType	void		564468	1					
ANR	564538	Identifier	CWE127_Buffer_Underread__malloc_char_memcpy_63b_badSink		564468	2					
ANR	564539	ParameterList	char * * dataPtr		564468	3					
ANR	564540	Parameter	char * * dataPtr	23:61:717:732	564468	0	True				
ANR	564541	ParameterType	char * *		564468	0					
ANR	564542	Identifier	dataPtr		564468	1					
ANR	564543	CFGEntryNode	ENTRY		564468		True				
ANR	564544	CFGExitNode	EXIT		564468		True				
ANR	564545	Symbol	dataPtr		564468						
ANR	564546	Symbol	data		564468						
ANR	564547	Symbol	* dest		564468						
ANR	564548	Symbol	* dataPtr		564468						
ANR	564549	Symbol	dest		564468						
ANR	564550	Function	CWE127_Buffer_Underread__malloc_char_memcpy_63b_goodG2BSink	45:0:1403:2053							
ANR	564551	FunctionDef	CWE127_Buffer_Underread__malloc_char_memcpy_63b_goodG2BSink (char * * dataPtr)		564550	0					
ANR	564552	CompoundStatement		46:0:1487:2053	564550	0					
ANR	564553	IdentifierDeclStatement	char * data = * dataPtr ;	47:4:1494:1516	564550	0	True				
ANR	564554	IdentifierDecl	* data = * dataPtr		564550	0					
ANR	564555	IdentifierDeclType	char *		564550	0					
ANR	564556	Identifier	data		564550	1					
ANR	564557	AssignmentExpression	* data = * dataPtr		564550	2		=			
ANR	564558	Identifier	data		564550	0					
ANR	564559	UnaryOperationExpression	* dataPtr		564550	1					
ANR	564560	UnaryOperator	*		564550	0					
ANR	564561	Identifier	dataPtr		564550	1					
ANR	564562	CompoundStatement		4:8:46:60	564550	1					
ANR	564563	IdentifierDeclStatement	char dest [ 100 ] ;	49:8:1534:1548	564550	0	True				
ANR	564564	IdentifierDecl	dest [ 100 ]		564550	0					
ANR	564565	IdentifierDeclType	char [ 100 ]		564550	0					
ANR	564566	Identifier	dest		564550	1					
