start	end	type	var
567145	567146	IS_AST_PARENT	
567145	567147	IS_AST_PARENT	
567144	567145	IS_AST_PARENT	
567143	567144	IS_AST_PARENT	
567150	567151	IS_AST_PARENT	
567150	567152	IS_AST_PARENT	
567153	567154	IS_AST_PARENT	
567155	567156	IS_AST_PARENT	
567158	567159	IS_AST_PARENT	
567157	567158	IS_AST_PARENT	
567162	567163	IS_AST_PARENT	
567164	567165	IS_AST_PARENT	
567164	567166	IS_AST_PARENT	
567162	567164	IS_AST_PARENT	
567161	567162	IS_AST_PARENT	
567160	567161	IS_AST_PARENT	
567157	567160	IS_AST_PARENT	
567155	567157	IS_AST_PARENT	
567153	567155	IS_AST_PARENT	
567150	567153	IS_AST_PARENT	
567149	567150	IS_AST_PARENT	
567148	567149	IS_AST_PARENT	
567169	567170	IS_AST_PARENT	
567168	567169	IS_AST_PARENT	
567172	567173	IS_AST_PARENT	
567171	567172	IS_AST_PARENT	
567174	567175	IS_AST_PARENT	
567171	567174	IS_AST_PARENT	
567177	567178	IS_AST_PARENT	
567177	567179	IS_AST_PARENT	
567176	567177	IS_AST_PARENT	
567171	567176	IS_AST_PARENT	
567168	567171	IS_AST_PARENT	
567167	567168	IS_AST_PARENT	
567148	567167	IS_AST_PARENT	
567182	567183	IS_AST_PARENT	
567184	567185	IS_AST_PARENT	
567184	567186	IS_AST_PARENT	
567182	567184	IS_AST_PARENT	
567181	567182	IS_AST_PARENT	
567181	567187	IS_AST_PARENT	
567180	567181	IS_AST_PARENT	
567148	567180	IS_AST_PARENT	
567189	567190	IS_AST_PARENT	
567191	567192	IS_AST_PARENT	
567191	567193	IS_AST_PARENT	
567189	567191	IS_AST_PARENT	
567188	567189	IS_AST_PARENT	
567148	567188	IS_AST_PARENT	
567143	567148	IS_AST_PARENT	
567142	567143	IS_AST_PARENT	
567142	567194	IS_AST_PARENT	
567196	567197	IS_AST_PARENT	
567196	567198	IS_AST_PARENT	
567195	567196	IS_AST_PARENT	
567142	567195	IS_AST_PARENT	
