command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	567140	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/881/CWE127_Buffer_Underread__malloc_char_memcpy_84_bad.cpp								
ANR	567141	Function	CWE127_Buffer_Underread__malloc_char_memcpy_84_bad :: CWE127_Buffer_Underread__malloc_char_memcpy_84_bad	23:0:802:1209							
ANR	567142	FunctionDef	CWE127_Buffer_Underread__malloc_char_memcpy_84_bad :: CWE127_Buffer_Underread__malloc_char_memcpy_84_bad (char * dataCopy)		567141	0					
ANR	567143	CompoundStatement		24:0:923:1209	567141	0					
ANR	567144	ExpressionStatement	data = dataCopy	25:4:930:945	567141	0	True				
ANR	567145	AssignmentExpression	data = dataCopy		567141	0		=			
ANR	567146	Identifier	data		567141	0					
ANR	567147	Identifier	dataCopy		567141	1					
ANR	567148	CompoundStatement		4:8:39:91	567141	1					
ANR	567149	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	27:8:963:1015	567141	0	True				
ANR	567150	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		567141	0					
ANR	567151	IdentifierDeclType	char *		567141	0					
ANR	567152	Identifier	dataBuffer		567141	1					
ANR	567153	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		567141	2		=			
ANR	567154	Identifier	dataBuffer		567141	0					
ANR	567155	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		567141	1					
ANR	567156	CastTarget	char *		567141	0					
ANR	567157	CallExpression	malloc ( 100 * sizeof ( char ) )		567141	1					
ANR	567158	Callee	malloc		567141	0					
ANR	567159	Identifier	malloc		567141	0					
ANR	567160	ArgumentList	100 * sizeof ( char )		567141	1					
ANR	567161	Argument	100 * sizeof ( char )		567141	0					
ANR	567162	MultiplicativeExpression	100 * sizeof ( char )		567141	0		*			
ANR	567163	PrimaryExpression	100		567141	0					
ANR	567164	SizeofExpression	sizeof ( char )		567141	1					
ANR	567165	Sizeof	sizeof		567141	0					
ANR	567166	SizeofOperand	char		567141	1					
ANR	567167	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	28:8:1026:1056	567141	1	True				
ANR	567168	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		567141	0					
ANR	567169	Callee	memset		567141	0					
ANR	567170	Identifier	memset		567141	0					
ANR	567171	ArgumentList	dataBuffer		567141	1					
ANR	567172	Argument	dataBuffer		567141	0					
ANR	567173	Identifier	dataBuffer		567141	0					
ANR	567174	Argument	'A'		567141	1					
ANR	567175	PrimaryExpression	'A'		567141	0					
ANR	567176	Argument	100 - 1		567141	2					
ANR	567177	AdditiveExpression	100 - 1		567141	0		-			
ANR	567178	PrimaryExpression	100		567141	0					
ANR	567179	PrimaryExpression	1		567141	1					
ANR	567180	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	29:8:1067:1091	567141	2	True				
ANR	567181	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		567141	0		=			
ANR	567182	ArrayIndexing	dataBuffer [ 100 - 1 ]		567141	0					
ANR	567183	Identifier	dataBuffer		567141	0					
ANR	567184	AdditiveExpression	100 - 1		567141	1		-			
ANR	567185	PrimaryExpression	100		567141	0					
ANR	567186	PrimaryExpression	1		567141	1					
ANR	567187	PrimaryExpression	'\\0'		567141	1					
ANR	567188	ExpressionStatement	data = dataBuffer - 8	31:8:1178:1199	567141	3	True				
ANR	567189	AssignmentExpression	data = dataBuffer - 8		567141	0		=			
ANR	567190	Identifier	data		567141	0					
ANR	567191	AdditiveExpression	dataBuffer - 8		567141	1		-			
ANR	567192	Identifier	dataBuffer		567141	0					
ANR	567193	PrimaryExpression	8		567141	1					
ANR	567194	Identifier	CWE127_Buffer_Underread__malloc_char_memcpy_84_bad :: CWE127_Buffer_Underread__malloc_char_memcpy_84_bad		567141	1					
ANR	567195	ParameterList	char * dataCopy		567141	2					
ANR	567196	Parameter	char * dataCopy	23:103:905:919	567141	0	True				
ANR	567197	ParameterType	char *		567141	0					
ANR	567198	Identifier	dataCopy		567141	1					
ANR	567199	CFGEntryNode	ENTRY		567141		True				
ANR	567200	CFGExitNode	EXIT		567141		True				
ANR	567201	Symbol	malloc		567141						
ANR	567202	Symbol	dataCopy		567141						
ANR	567203	Symbol	data		567141						
ANR	567204	Symbol	dataBuffer		567141						
ANR	567205	Symbol	* dataBuffer		567141						
ANR	567206	Function	CWE127_Buffer_Underread__malloc_char_memcpy_84_bad :: ~CWE127_Buffer_Underread__malloc_char_memcpy_84_bad	35:0:1214:1858							
ANR	567207	FunctionDef	CWE127_Buffer_Underread__malloc_char_memcpy_84_bad :: ~CWE127_Buffer_Underread__malloc_char_memcpy_84_bad ()		567206	0					
ANR	567208	CompoundStatement		36:0:1321:1858	567206	0					
ANR	567209	CompoundStatement		3:8:17:31	567206	0					
ANR	567210	IdentifierDeclStatement	char dest [ 100 ] ;	38:8:1339:1353	567206	0	True				
ANR	567211	IdentifierDecl	dest [ 100 ]		567206	0					
ANR	567212	IdentifierDeclType	char [ 100 ]		567206	0					
ANR	567213	Identifier	dest		567206	1					
ANR	567214	PrimaryExpression	100		567206	2					
ANR	567215	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	39:8:1364:1388	567206	1	True				
ANR	567216	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		567206	0					
ANR	567217	Callee	memset		567206	0					
ANR	567218	Identifier	memset		567206	0					
ANR	567219	ArgumentList	dest		567206	1					
ANR	567220	Argument	dest		567206	0					
ANR	567221	Identifier	dest		567206	0					
ANR	567222	Argument	'C'		567206	1					
ANR	567223	PrimaryExpression	'C'		567206	0					
ANR	567224	Argument	100 - 1		567206	2					
ANR	567225	AdditiveExpression	100 - 1		567206	0		-			
ANR	567226	PrimaryExpression	100		567206	0					
ANR	567227	PrimaryExpression	1		567206	1					
ANR	567228	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	40:8:1420:1438	567206	2	True				
ANR	567229	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		567206	0		=			
ANR	567230	ArrayIndexing	dest [ 100 - 1 ]		567206	0					
ANR	567231	Identifier	dest		567206	0					
ANR	567232	AdditiveExpression	100 - 1		567206	1		-			
ANR	567233	PrimaryExpression	100		567206	0					
ANR	567234	PrimaryExpression	1		567206	1					
ANR	567235	PrimaryExpression	'\\0'		567206	1					
ANR	567236	ExpressionStatement	"memcpy ( dest , data , 100 * sizeof ( char ) )"	42:8:1571:1607	567206	3	True				
ANR	567237	CallExpression	"memcpy ( dest , data , 100 * sizeof ( char ) )"		567206	0					
ANR	567238	Callee	memcpy		567206	0					
ANR	567239	Identifier	memcpy		567206	0					
ANR	567240	ArgumentList	dest		567206	1					
ANR	567241	Argument	dest		567206	0					
ANR	567242	Identifier	dest		567206	0					
ANR	567243	Argument	data		567206	1					
ANR	567244	Identifier	data		567206	0					
ANR	567245	Argument	100 * sizeof ( char )		567206	2					
ANR	567246	MultiplicativeExpression	100 * sizeof ( char )		567206	0		*			
ANR	567247	PrimaryExpression	100		567206	0					
ANR	567248	SizeofExpression	sizeof ( char )		567206	1					
ANR	567249	Sizeof	sizeof		567206	0					
ANR	567250	SizeofOperand	char		567206	1					
ANR	567251	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	44:8:1657:1675	567206	4	True				
ANR	567252	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		567206	0		=			
ANR	567253	ArrayIndexing	dest [ 100 - 1 ]		567206	0					
ANR	567254	Identifier	dest		567206	0					
ANR	567255	AdditiveExpression	100 - 1		567206	1		-			
ANR	567256	PrimaryExpression	100		567206	0					
ANR	567257	PrimaryExpression	1		567206	1					
ANR	567258	PrimaryExpression	'\\0'		567206	1					
