command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	567273	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/881/CWE127_Buffer_Underread__malloc_char_memcpy_84_goodG2B.cpp								
ANR	567274	Function	CWE127_Buffer_Underread__malloc_char_memcpy_84_goodG2B :: CWE127_Buffer_Underread__malloc_char_memcpy_84_goodG2B	23:0:811:1214							
ANR	567275	FunctionDef	CWE127_Buffer_Underread__malloc_char_memcpy_84_goodG2B :: CWE127_Buffer_Underread__malloc_char_memcpy_84_goodG2B (char * dataCopy)		567274	0					
ANR	567276	CompoundStatement		24:0:940:1214	567274	0					
ANR	567277	ExpressionStatement	data = dataCopy	25:4:947:962	567274	0	True				
ANR	567278	AssignmentExpression	data = dataCopy		567274	0		=			
ANR	567279	Identifier	data		567274	0					
ANR	567280	Identifier	dataCopy		567274	1					
ANR	567281	CompoundStatement		4:8:39:91	567274	1					
ANR	567282	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	27:8:980:1032	567274	0	True				
ANR	567283	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		567274	0					
ANR	567284	IdentifierDeclType	char *		567274	0					
ANR	567285	Identifier	dataBuffer		567274	1					
ANR	567286	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		567274	2		=			
ANR	567287	Identifier	dataBuffer		567274	0					
ANR	567288	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		567274	1					
ANR	567289	CastTarget	char *		567274	0					
ANR	567290	CallExpression	malloc ( 100 * sizeof ( char ) )		567274	1					
ANR	567291	Callee	malloc		567274	0					
ANR	567292	Identifier	malloc		567274	0					
ANR	567293	ArgumentList	100 * sizeof ( char )		567274	1					
ANR	567294	Argument	100 * sizeof ( char )		567274	0					
ANR	567295	MultiplicativeExpression	100 * sizeof ( char )		567274	0		*			
ANR	567296	PrimaryExpression	100		567274	0					
ANR	567297	SizeofExpression	sizeof ( char )		567274	1					
ANR	567298	Sizeof	sizeof		567274	0					
ANR	567299	SizeofOperand	char		567274	1					
ANR	567300	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	28:8:1043:1073	567274	1	True				
ANR	567301	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		567274	0					
ANR	567302	Callee	memset		567274	0					
ANR	567303	Identifier	memset		567274	0					
ANR	567304	ArgumentList	dataBuffer		567274	1					
ANR	567305	Argument	dataBuffer		567274	0					
ANR	567306	Identifier	dataBuffer		567274	0					
ANR	567307	Argument	'A'		567274	1					
ANR	567308	PrimaryExpression	'A'		567274	0					
ANR	567309	Argument	100 - 1		567274	2					
ANR	567310	AdditiveExpression	100 - 1		567274	0		-			
ANR	567311	PrimaryExpression	100		567274	0					
ANR	567312	PrimaryExpression	1		567274	1					
ANR	567313	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	29:8:1084:1108	567274	2	True				
ANR	567314	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		567274	0		=			
ANR	567315	ArrayIndexing	dataBuffer [ 100 - 1 ]		567274	0					
ANR	567316	Identifier	dataBuffer		567274	0					
ANR	567317	AdditiveExpression	100 - 1		567274	1		-			
ANR	567318	PrimaryExpression	100		567274	0					
ANR	567319	PrimaryExpression	1		567274	1					
ANR	567320	PrimaryExpression	'\\0'		567274	1					
ANR	567321	ExpressionStatement	data = dataBuffer	31:8:1187:1204	567274	3	True				
ANR	567322	AssignmentExpression	data = dataBuffer		567274	0		=			
ANR	567323	Identifier	data		567274	0					
ANR	567324	Identifier	dataBuffer		567274	1					
ANR	567325	Identifier	CWE127_Buffer_Underread__malloc_char_memcpy_84_goodG2B :: CWE127_Buffer_Underread__malloc_char_memcpy_84_goodG2B		567274	1					
ANR	567326	ParameterList	char * dataCopy		567274	2					
ANR	567327	Parameter	char * dataCopy	23:111:922:936	567274	0	True				
ANR	567328	ParameterType	char *		567274	0					
ANR	567329	Identifier	dataCopy		567274	1					
ANR	567330	CFGEntryNode	ENTRY		567274		True				
ANR	567331	CFGExitNode	EXIT		567274		True				
ANR	567332	Symbol	malloc		567274						
ANR	567333	Symbol	dataCopy		567274						
ANR	567334	Symbol	data		567274						
ANR	567335	Symbol	dataBuffer		567274						
ANR	567336	Symbol	* dataBuffer		567274						
ANR	567337	Function	CWE127_Buffer_Underread__malloc_char_memcpy_84_goodG2B :: ~CWE127_Buffer_Underread__malloc_char_memcpy_84_goodG2B	35:0:1219:1871							
ANR	567338	FunctionDef	CWE127_Buffer_Underread__malloc_char_memcpy_84_goodG2B :: ~CWE127_Buffer_Underread__malloc_char_memcpy_84_goodG2B ()		567337	0					
ANR	567339	CompoundStatement		36:0:1334:1871	567337	0					
ANR	567340	CompoundStatement		3:8:17:31	567337	0					
ANR	567341	IdentifierDeclStatement	char dest [ 100 ] ;	38:8:1352:1366	567337	0	True				
ANR	567342	IdentifierDecl	dest [ 100 ]		567337	0					
ANR	567343	IdentifierDeclType	char [ 100 ]		567337	0					
ANR	567344	Identifier	dest		567337	1					
ANR	567345	PrimaryExpression	100		567337	2					
ANR	567346	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	39:8:1377:1401	567337	1	True				
ANR	567347	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		567337	0					
ANR	567348	Callee	memset		567337	0					
ANR	567349	Identifier	memset		567337	0					
ANR	567350	ArgumentList	dest		567337	1					
ANR	567351	Argument	dest		567337	0					
ANR	567352	Identifier	dest		567337	0					
ANR	567353	Argument	'C'		567337	1					
ANR	567354	PrimaryExpression	'C'		567337	0					
ANR	567355	Argument	100 - 1		567337	2					
ANR	567356	AdditiveExpression	100 - 1		567337	0		-			
ANR	567357	PrimaryExpression	100		567337	0					
ANR	567358	PrimaryExpression	1		567337	1					
ANR	567359	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	40:8:1433:1451	567337	2	True				
ANR	567360	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		567337	0		=			
ANR	567361	ArrayIndexing	dest [ 100 - 1 ]		567337	0					
ANR	567362	Identifier	dest		567337	0					
ANR	567363	AdditiveExpression	100 - 1		567337	1		-			
ANR	567364	PrimaryExpression	100		567337	0					
ANR	567365	PrimaryExpression	1		567337	1					
ANR	567366	PrimaryExpression	'\\0'		567337	1					
ANR	567367	ExpressionStatement	"memcpy ( dest , data , 100 * sizeof ( char ) )"	42:8:1584:1620	567337	3	True				
ANR	567368	CallExpression	"memcpy ( dest , data , 100 * sizeof ( char ) )"		567337	0					
ANR	567369	Callee	memcpy		567337	0					
ANR	567370	Identifier	memcpy		567337	0					
ANR	567371	ArgumentList	dest		567337	1					
ANR	567372	Argument	dest		567337	0					
ANR	567373	Identifier	dest		567337	0					
ANR	567374	Argument	data		567337	1					
ANR	567375	Identifier	data		567337	0					
ANR	567376	Argument	100 * sizeof ( char )		567337	2					
ANR	567377	MultiplicativeExpression	100 * sizeof ( char )		567337	0		*			
ANR	567378	PrimaryExpression	100		567337	0					
ANR	567379	SizeofExpression	sizeof ( char )		567337	1					
ANR	567380	Sizeof	sizeof		567337	0					
ANR	567381	SizeofOperand	char		567337	1					
ANR	567382	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	44:8:1670:1688	567337	4	True				
ANR	567383	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		567337	0		=			
ANR	567384	ArrayIndexing	dest [ 100 - 1 ]		567337	0					
ANR	567385	Identifier	dest		567337	0					
ANR	567386	AdditiveExpression	100 - 1		567337	1		-			
ANR	567387	PrimaryExpression	100		567337	0					
ANR	567388	PrimaryExpression	1		567337	1					
ANR	567389	PrimaryExpression	'\\0'		567337	1					
ANR	567390	ExpressionStatement	printLine ( dest )	45:8:1699:1714	567337	5	True				
ANR	567391	CallExpression	printLine ( dest )		567337	0					
ANR	567392	Callee	printLine		567337	0					
ANR	567393	Identifier	printLine		567337	0					
ANR	567394	ArgumentList	dest		567337	1					
ANR	567395	Argument	dest		567337	0					
ANR	567396	Identifier	dest		567337	0					
ANR	567397	Identifier	CWE127_Buffer_Underread__malloc_char_memcpy_84_goodG2B :: ~CWE127_Buffer_Underread__malloc_char_memcpy_84_goodG2B		567337	1					
ANR	567398	ParameterList			567337	2					
ANR	567399	CFGEntryNode	ENTRY		567337		True				
ANR	567400	CFGExitNode	EXIT		567337		True				
ANR	567401	Symbol	data		567337						
ANR	567402	Symbol	* dest		567337						
ANR	567403	Symbol	dest		567337						
